wavelength_air_A,elo_eV,eup_eV,loggf_asplund,rew_agss21,in_graded,graded_gf,in_domain,axis,domain_reason
6999.9,4.10337,5.87412,-1.38,-5.082413,True,-1.38,False,Eup-Elo (= hc/lambda: WAVELENGTH),"transition energy Eup-Elo 1.7707 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction"
7008.0,4.1777,5.9464,-1.77,-5.375772,True,-1.77,False,Eup-Elo (= hc/lambda: WAVELENGTH),"transition energy Eup-Elo 1.7687 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction"
7219.7,4.07581,5.79265,-1.43,-5.168323,True,-1.43,False,Eup-Elo (= hc/lambda: WAVELENGTH),"transition energy Eup-Elo 1.7168 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction"
7401.7,4.18636,5.86098,-1.5,-5.250238,False,,False,Eup-Elo (= hc/lambda: WAVELENGTH),"transition energy Eup-Elo 1.6746 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction"
7443.0,4.18636,5.85168,-1.64,-5.316654,True,-1.64,False,Eup-Elo (= hc/lambda: WAVELENGTH),"transition energy Eup-Elo 1.6653 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction"
7912.9,0.859,2.42543,-4.848,-5.238419,False,,False,Eup-Elo (= hc/lambda: WAVELENGTH); Eup,"Eup 2.4254 eV outside training [2.4483, 3.9848] (lt02, n=17); transition energy Eup-Elo 1.5664 eV outside training [1.8382, 2.4829] (lt02, n=17);   -> that is a WAVELENGTH statement: the network saw 4994.1-6739.5 A only, and Eup-Elo is hc/lambda_vac by construction"
8293.5,3.30092,4.79547,-2.203,-5.151582,False,,False,Eup-Elo (= hc/lambda: WAVELENGTH),"transition energy Eup-Elo 1.4945 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction"
8571.8,5.00952,6.45554,-1.11,-5.432013,True,-1.11,False,Eup-Elo (= hc/lambda: WAVELENGTH),"transition energy Eup-Elo 1.4460 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction"
8598.8,4.38646,5.82794,-1.2,-5.180855,True,-1.2,False,Eup-Elo (= hc/lambda: WAVELENGTH),"transition energy Eup-Elo 1.4415 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction"
8876.0,5.02028,6.41674,-1.05,-5.397989,True,-1.05,False,Eup-Elo (= hc/lambda: WAVELENGTH); Elo level match,"transition energy Eup-Elo 1.3965 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction; lower level 5.0203 eV is not within 0.02 eV of any level in the training set"
8906.0,5.06378,6.45554,-1.22,-5.556986,True,-1.22,False,Eup-Elo (= hc/lambda: WAVELENGTH),"transition energy Eup-Elo 1.3918 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction"
9103.6,4.1777,5.53924,-2.19,-5.675912,True,-2.19,False,Eup-Elo (= hc/lambda: WAVELENGTH),"transition energy Eup-Elo 1.3615 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction"
9786.6,4.60759,5.87412,-1.84,-5.73056,True,-1.84,False,Eup-Elo (= hc/lambda: WAVELENGTH),"transition energy Eup-Elo 1.2665 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction"
