element,ion,band,instrument,holding,selector,treatment,A,sigma_stat,sigma_syst,n_lines,n_excluded,dominant_term,red_chi2_median,red_chi2_max,gf_rung,n_agss21_indicators_in_pool,agss21_indicators_in_pool,pool_wavelengths_A
N,I,red-optical,kpno_solar_atlas,solar_kpno_molecfit_corrected,SET-AGSS21_ENGINE-A,ENGINE-A,8.016,0.1551,0.042,2,2,line-to-line scatter,,,"gf rung 2 (gf scale (cited NIST class)): all 4 N I lines carry a NIST ASD accuracy class (RMS 0.0294 dex over classes B+). ⚠️ COMPILATION, NOT LABORATORY: no primary-laboratory gf table exists for N I and none will — the accepted standard for the light elements is critically-evaluated theory (Opacity Project / MCHF, RYA-1172) — so rung 3 is structurally unreachable and this is the pool's true ceiling",0,,
O,I,VIS,harps,solar_harps_molecfit_corrected,SET-AGSS21,1D-LTE,9.084,0.0774,0.17,6,3,gf scale (UNGRADED),82.6,90.2,"gf rung 1 (gf scale (UNGRADED)): no primary-laboratory gf table exists for O I (the laboratory ladder covers ['Al I', 'Fe I', 'Fe II']), so the best rung available is the NIST compilation — and this pool does not reach it either: 2 of 6 lines carry a NIST accuracy class, the rest are UNRESOLVED x3, systematic:K07 x1. A pool is graded only if every line in it is",4,615.6nm|615.8nm|630.0nm|636.4nm,6155.961|6155.971|6155.989|6158.186|6300.304|6363.776
O,I,VIS,kpno_solar_atlas,solar_kpno_kurucz2005_corrected,SET-AGSS21,1D-LTE,9.017,0.0883,0.17,6,3,gf scale (UNGRADED),83.0,84.1,"gf rung 1 (gf scale (UNGRADED)): no primary-laboratory gf table exists for O I (the laboratory ladder covers ['Al I', 'Fe I', 'Fe II']), so the best rung available is the NIST compilation — and this pool does not reach it either: 2 of 6 lines carry a NIST accuracy class, the rest are UNRESOLVED x3, systematic:K07 x1. A pool is graded only if every line in it is",4,615.6nm|615.8nm|630.0nm|636.4nm,6155.961|6155.971|6155.989|6158.186|6300.304|6363.776
O,I,VIS,kpno_solar_atlas,solar_kpno_molecfit_corrected,SET-AGSS21,1D-LTE,8.979,0.0951,0.17,6,3,gf scale (UNGRADED),82.3,132.0,"gf rung 1 (gf scale (UNGRADED)): no primary-laboratory gf table exists for O I (the laboratory ladder covers ['Al I', 'Fe I', 'Fe II']), so the best rung available is the NIST compilation — and this pool does not reach it either: 2 of 6 lines carry a NIST accuracy class, the rest are UNRESOLVED x3, systematic:K07 x1. A pool is graded only if every line in it is",4,615.6nm|615.8nm|630.0nm|636.4nm,6155.961|6155.971|6155.989|6158.186|6300.304|6363.776
O,I,red-optical,iag_fts_solar_atlas,solar_iag,SET-AGSS21,1D-LTE,8.899,0.044,0.0429,6,0,line-to-line scatter,47.1,72.1,"gf rung 2 (gf scale (cited NIST class)): all 6 O I lines carry a NIST ASD accuracy class (RMS 0.0306 dex over classes A, B). ⚠️ COMPILATION, NOT LABORATORY: no primary-laboratory gf table exists for O I and none will — the accepted standard for the light elements is critically-evaluated theory (Opacity Project / MCHF, RYA-1172) — so rung 3 is structurally unreachable and this is the pool's true ceiling",5,777.2nm|777.4nm|777.5nm|844.6nm|844.7nm,7771.944|7774.166|7775.388|8446.247|8446.359|8446.758
O,I,red-optical,kpno_solar_atlas,solar_kpno_kurucz2005_corrected,SET-AGSS21,1D-LTE,8.894,0.0249,0.0429,6,0,gf scale (cited NIST class),43.3,81.3,"gf rung 2 (gf scale (cited NIST class)): all 6 O I lines carry a NIST ASD accuracy class (RMS 0.0306 dex over classes A, B). ⚠️ COMPILATION, NOT LABORATORY: no primary-laboratory gf table exists for O I and none will — the accepted standard for the light elements is critically-evaluated theory (Opacity Project / MCHF, RYA-1172) — so rung 3 is structurally unreachable and this is the pool's true ceiling",5,777.2nm|777.4nm|777.5nm|844.6nm|844.7nm,7771.944|7774.166|7775.388|8446.247|8446.359|8446.758
O,I,red-optical,kpno_solar_atlas,solar_kpno_molecfit_corrected,SET-AGSS21,1D-LTE,8.873,0.0332,0.0429,6,0,line-to-line scatter,44.5,49.0,"gf rung 2 (gf scale (cited NIST class)): all 6 O I lines carry a NIST ASD accuracy class (RMS 0.0306 dex over classes A, B). ⚠️ COMPILATION, NOT LABORATORY: no primary-laboratory gf table exists for O I and none will — the accepted standard for the light elements is critically-evaluated theory (Opacity Project / MCHF, RYA-1172) — so rung 3 is structurally unreachable and this is the pool's true ceiling",5,777.2nm|777.4nm|777.5nm|844.6nm|844.7nm,7771.944|7774.166|7775.388|8446.247|8446.359|8446.758
O,I,red-optical,iag_fts_solar_atlas,solar_iag,depth-ranked (select_lines),1D-LTE,8.901,0.1045,0.0429,2,0,line-to-line scatter,57.8,72.1,"gf rung 2 (gf scale (cited NIST class)): all 2 O I lines carry a NIST ASD accuracy class (RMS 0.0306 dex over classes A, B). ⚠️ COMPILATION, NOT LABORATORY: no primary-laboratory gf table exists for O I and none will — the accepted standard for the light elements is critically-evaluated theory (Opacity Project / MCHF, RYA-1172) — so rung 3 is structurally unreachable and this is the pool's true ceiling",2,777.2nm|844.6nm,7771.944|8446.359
O,I,red-optical,kpno_solar_atlas,solar_kpno_kurucz2005_corrected,depth-ranked (select_lines),1D-LTE,8.912,0.07,0.0429,2,0,line-to-line scatter,64.0,81.3,"gf rung 2 (gf scale (cited NIST class)): all 2 O I lines carry a NIST ASD accuracy class (RMS 0.0306 dex over classes A, B). ⚠️ COMPILATION, NOT LABORATORY: no primary-laboratory gf table exists for O I and none will — the accepted standard for the light elements is critically-evaluated theory (Opacity Project / MCHF, RYA-1172) — so rung 3 is structurally unreachable and this is the pool's true ceiling",2,777.2nm|844.6nm,7771.944|8446.359
O,I,red-optical,kpno_solar_atlas,solar_kpno_molecfit_corrected,depth-ranked (select_lines),1D-LTE,8.892,0.0845,0.0429,2,0,line-to-line scatter,44.6,48.7,"gf rung 2 (gf scale (cited NIST class)): all 2 O I lines carry a NIST ASD accuracy class (RMS 0.0306 dex over classes A, B). ⚠️ COMPILATION, NOT LABORATORY: no primary-laboratory gf table exists for O I and none will — the accepted standard for the light elements is critically-evaluated theory (Opacity Project / MCHF, RYA-1172) — so rung 3 is structurally unreachable and this is the pool's true ceiling",2,777.2nm|844.6nm,7771.944|8446.359
