line_set,species,wavelength_air_A,lower_level,upper_level,elo_eV,loggf,loggf_sigma_dex,gf_source_per_line,gamma6_sigma_au,gamma6_alpha,eup_eV,source_band,role,role_basis,source,source_key
nordlander_lind2017_analysis_lines,Al I,2210.046,3p 2Po J=3/2,7d 2D J=5/2,0.014,-0.641,0.06,"TOPbase: Mendoza et al. 1995, and C. Mendoza, W. Eissner, M. Le Dourneuf & C. J. Zeippen (unpublished) -- Opacity Project, THEORY",2340.0,1.07,5.622279,NUV,ANALYSIS_LINE_ROLE_NOT_STATED_PER_LINE,"Table A.1's note says only that the table lists 'lines used in the spectrum analyses'. The paper states no role for THIS row, and RYA-946 forbids inferring one from the wavelength. NOT part of the solar abundance set.","Nordlander & Lind 2017, A&A 607, A75, Table A.1",nordlander_lind2017
nordlander_lind2017_analysis_lines,Al I,2210.13,3p 2Po J=3/2,7d 2D J=3/2,0.014,-1.595,0.06,"TOPbase: Mendoza et al. 1995, and C. Mendoza, W. Eissner, M. Le Dourneuf & C. J. Zeippen (unpublished) -- Opacity Project, THEORY",2340.0,1.07,5.622066,NUV,ANALYSIS_LINE_ROLE_NOT_STATED_PER_LINE,"Table A.1's note says only that the table lists 'lines used in the spectrum analyses'. The paper states no role for THIS row, and RYA-946 forbids inferring one from the wavelength. NOT part of the solar abundance set.","Nordlander & Lind 2017, A&A 607, A75, Table A.1",nordlander_lind2017
nordlander_lind2017_analysis_lines,Al I,2269.096,3p 2Po J=3/2,6d 2D J=5/2,0.014,-0.454,0.04,"TOPbase: Mendoza et al. 1995, and C. Mendoza, W. Eissner, M. Le Dourneuf & C. J. Zeippen (unpublished) -- Opacity Project, THEORY + Davidson et al. 1990",2084.0,0.96,5.476346,NUV,ANALYSIS_LINE_ROLE_NOT_STATED_PER_LINE,"Table A.1's note says only that the table lists 'lines used in the spectrum analyses'. The paper states no role for THIS row, and RYA-946 forbids inferring one from the wavelength. NOT part of the solar abundance set.","Nordlander & Lind 2017, A&A 607, A75, Table A.1",nordlander_lind2017
nordlander_lind2017_analysis_lines,Al I,2269.22,3p 2Po J=3/2,6d 2D J=3/2,0.014,-1.409,0.06,Davidson et al. 1990,2084.0,0.96,5.476047,NUV,ANALYSIS_LINE_ROLE_NOT_STATED_PER_LINE,"Table A.1's note says only that the table lists 'lines used in the spectrum analyses'. The paper states no role for THIS row, and RYA-946 forbids inferring one from the wavelength. NOT part of the solar abundance set.","Nordlander & Lind 2017, A&A 607, A75, Table A.1",nordlander_lind2017
nordlander_lind2017_analysis_lines,Al I,2367.052,3p 2Po J=1/2,5d 2D J=3/2,0.0,-0.592,0.06,"TOPbase: Mendoza et al. 1995, and C. Mendoza, W. Eissner, M. Le Dourneuf & C. J. Zeippen (unpublished) -- Opacity Project, THEORY",,,5.236316,NUV,ANALYSIS_LINE_ROLE_NOT_STATED_PER_LINE,"Table A.1's note says only that the table lists 'lines used in the spectrum analyses'. The paper states no role for THIS row, and RYA-946 forbids inferring one from the wavelength. NOT part of the solar abundance set.","Nordlander & Lind 2017, A&A 607, A75, Table A.1",nordlander_lind2017
nordlander_lind2017_analysis_lines,Al I,2372.07,3p 2Po J=1/2,6s 2S J=1/2,0.0,-2.012,0.1,"TOPbase: Mendoza et al. 1995, and C. Mendoza, W. Eissner, M. Le Dourneuf & C. J. Zeippen (unpublished) -- Opacity Project, THEORY",,,5.22524,NUV,ANALYSIS_LINE_ROLE_NOT_STATED_PER_LINE,"Table A.1's note says only that the table lists 'lines used in the spectrum analyses'. The paper states no role for THIS row, and RYA-946 forbids inferring one from the wavelength. NOT part of the solar abundance set.","Nordlander & Lind 2017, A&A 607, A75, Table A.1",nordlander_lind2017
nordlander_lind2017_analysis_lines,Al I,2373.124,3p 2Po J=3/2,5d 2D J=5/2,0.014,-0.337,0.04,"TOPbase: Mendoza et al. 1995, and C. Mendoza, W. Eissner, M. Le Dourneuf & C. J. Zeippen (unpublished) -- Opacity Project, THEORY",,,5.236919,NUV,ANALYSIS_LINE_ROLE_NOT_STATED_PER_LINE,"Table A.1's note says only that the table lists 'lines used in the spectrum analyses'. The paper states no role for THIS row, and RYA-946 forbids inferring one from the wavelength. NOT part of the solar abundance set.","Nordlander & Lind 2017, A&A 607, A75, Table A.1",nordlander_lind2017
nordlander_lind2017_analysis_lines,Al I,2373.349,3p 2Po J=3/2,5d 2D J=3/2,0.014,-1.291,0.06,"TOPbase: Mendoza et al. 1995, and C. Mendoza, W. Eissner, M. Le Dourneuf & C. J. Zeippen (unpublished) -- Opacity Project, THEORY",,,5.236424,NUV,ANALYSIS_LINE_ROLE_NOT_STATED_PER_LINE,"Table A.1's note says only that the table lists 'lines used in the spectrum analyses'. The paper states no role for THIS row, and RYA-946 forbids inferring one from the wavelength. NOT part of the solar abundance set.","Nordlander & Lind 2017, A&A 607, A75, Table A.1",nordlander_lind2017
nordlander_lind2017_analysis_lines,Al I,2567.984,3p 2Po J=1/2,4d 2D J=3/2,0.0,-1.119,0.04,Davidson et al. 1990,1385.0,0.249,4.826629,NUV,ANALYSIS_LINE_ROLE_NOT_STATED_PER_LINE,"Table A.1's note says only that the table lists 'lines used in the spectrum analyses'. The paper states no role for THIS row, and RYA-946 forbids inferring one from the wavelength. NOT part of the solar abundance set.","Nordlander & Lind 2017, A&A 607, A75, Table A.1",nordlander_lind2017
nordlander_lind2017_analysis_lines,Al I,2575.094,3p 2Po J=3/2,4d 2D J=5/2,0.014,-0.668,0.06,"TOPbase: Mendoza et al. 1995, and C. Mendoza, W. Eissner, M. Le Dourneuf & C. J. Zeippen (unpublished) -- Opacity Project, THEORY + Davidson et al. 1990",1387.0,0.249,4.827303,NUV,ANALYSIS_LINE_ROLE_NOT_STATED_PER_LINE,"Table A.1's note says only that the table lists 'lines used in the spectrum analyses'. The paper states no role for THIS row, and RYA-946 forbids inferring one from the wavelength. NOT part of the solar abundance set.","Nordlander & Lind 2017, A&A 607, A75, Table A.1",nordlander_lind2017
nordlander_lind2017_analysis_lines,Al I,2575.393,3p 2Po J=3/2,4d 2D J=3/2,0.014,-1.623,0.06,Davidson et al. 1990,1385.0,0.249,4.826744,NUV,ANALYSIS_LINE_ROLE_NOT_STATED_PER_LINE,"Table A.1's note says only that the table lists 'lines used in the spectrum analyses'. The paper states no role for THIS row, and RYA-946 forbids inferring one from the wavelength. NOT part of the solar abundance set.","Nordlander & Lind 2017, A&A 607, A75, Table A.1",nordlander_lind2017
nordlander_lind2017_analysis_lines,Al I,2652.484,3p 2Po J=1/2,5s 2S J=1/2,0.0,-1.523,0.04,"Vujnovic et al. 2002, A&A 388, 704",2150.0,0.307,4.672876,NUV,ANALYSIS_LINE_ROLE_NOT_STATED_PER_LINE,"Table A.1's note says only that the table lists 'lines used in the spectrum analyses'. The paper states no role for THIS row, and RYA-946 forbids inferring one from the wavelength. NOT part of the solar abundance set.","Nordlander & Lind 2017, A&A 607, A75, Table A.1",nordlander_lind2017
nordlander_lind2017_analysis_lines,Al I,2660.392,3p 2Po J=3/2,5s 2S J=1/2,0.014,-1.219,0.04,"Vujnovic et al. 2002, A&A 388, 704",2150.0,0.307,4.672987,NUV,ANALYSIS_LINE_ROLE_NOT_STATED_PER_LINE,"Table A.1's note says only that the table lists 'lines used in the spectrum analyses'. The paper states no role for THIS row, and RYA-946 forbids inferring one from the wavelength. NOT part of the solar abundance set.","Nordlander & Lind 2017, A&A 607, A75, Table A.1",nordlander_lind2017
nordlander_lind2017_analysis_lines,Al I,3082.153,3p 2Po J=1/2,3d 2D J=3/2,0.0,-0.476,0.025,"TOPbase: Mendoza et al. 1995, and C. Mendoza, W. Eissner, M. Le Dourneuf & C. J. Zeippen (unpublished) -- Opacity Project, THEORY + Davidson et al. 1990",576.0,0.292,4.021481,near-UV,ANALYSIS_LINE_ROLE_NOT_STATED_PER_LINE,"Table A.1's note says only that the table lists 'lines used in the spectrum analyses'. The paper states no role for THIS row, and RYA-946 forbids inferring one from the wavelength. NOT part of the solar abundance set.","Nordlander & Lind 2017, A&A 607, A75, Table A.1",nordlander_lind2017
nordlander_lind2017_analysis_lines,Al I,3092.71,3p 2Po J=3/2,3d 2D J=5/2,0.014,-0.202,0.025,"TOPbase: Mendoza et al. 1995, and C. Mendoza, W. Eissner, M. Le Dourneuf & C. J. Zeippen (unpublished) -- Opacity Project, THEORY + Tachiev & Froese Fischer 2002, A&A 385, 716",576.0,0.292,4.021754,near-UV,ANALYSIS_LINE_ROLE_NOT_STATED_PER_LINE,"Table A.1's note says only that the table lists 'lines used in the spectrum analyses'. The paper states no role for THIS row, and RYA-946 forbids inferring one from the wavelength. NOT part of the solar abundance set.","Nordlander & Lind 2017, A&A 607, A75, Table A.1",nordlander_lind2017
nordlander_lind2017_analysis_lines,Al I,3092.839,3p 2Po J=3/2,3d 2D J=3/2,0.014,-1.175,0.04,"TOPbase: Mendoza et al. 1995, and C. Mendoza, W. Eissner, M. Le Dourneuf & C. J. Zeippen (unpublished) -- Opacity Project, THEORY",576.0,0.292,4.021587,near-UV,ANALYSIS_LINE_ROLE_NOT_STATED_PER_LINE,"Table A.1's note says only that the table lists 'lines used in the spectrum analyses'. The paper states no role for THIS row, and RYA-946 forbids inferring one from the wavelength. NOT part of the solar abundance set.","Nordlander & Lind 2017, A&A 607, A75, Table A.1",nordlander_lind2017
nordlander_lind2017_analysis_lines,Al I,3944.006,3p 2Po J=1/2,4s 2S J=1/2,0.0,-0.635,0.025,"TOPbase: Mendoza et al. 1995, and C. Mendoza, W. Eissner, M. Le Dourneuf & C. J. Zeippen (unpublished) -- Opacity Project, THEORY + Tachiev & Froese Fischer 2002, A&A 385, 716",655.0,0.243,3.142721,VIS,SOLAR_DIAGNOSTIC_NAMED_IN_TEXT,"Sect. 3.3: 'We also include the resonance line at 3944 A, which is heavily blended with strong lines of CH in carbon-rich stars and therefore not normally recommended for use in abundance analyses.'","Nordlander & Lind 2017, A&A 607, A75, Table A.1",nordlander_lind2017
nordlander_lind2017_analysis_lines,Al I,3961.52,3p 2Po J=3/2,4s 2S J=1/2,0.014,-0.333,0.025,"TOPbase: Mendoza et al. 1995, and C. Mendoza, W. Eissner, M. Le Dourneuf & C. J. Zeippen (unpublished) -- Opacity Project, THEORY",655.0,0.243,3.142827,VIS,SOLAR_DIAGNOSTIC_NAMED_IN_TEXT,Sect. 3.1.1 is titled 'The solar 3961 A resonance line'; Fig. 3 compares the KPNO flux atlas to NLTE synthesis for it.,"Nordlander & Lind 2017, A&A 607, A75, Table A.1",nordlander_lind2017
nordlander_lind2017_analysis_lines,Al I,6696.015,4s 2S J=1/2,5p 2Po J=3/2,3.143,-1.569,0.06,"TOPbase: Mendoza et al. 1995, and C. Mendoza, W. Eissner, M. Le Dourneuf & C. J. Zeippen (unpublished) -- Opacity Project, THEORY",1860.0,0.226,4.994101,VIS,SOLAR_ABUNDANCE_USED,In the six-line set NL2017 Fig. 8 names.,"Nordlander & Lind 2017, A&A 607, A75, Table A.1",nordlander_lind2017
nordlander_lind2017_analysis_lines,Al I,6698.672,4s 2S J=1/2,5p 2Po J=1/2,3.143,-1.87,0.06,"TOPbase: Mendoza et al. 1995, and C. Mendoza, W. Eissner, M. Le Dourneuf & C. J. Zeippen (unpublished) -- Opacity Project, THEORY",1860.0,0.226,4.993366,VIS,SOLAR_ABUNDANCE_USED,In the six-line set NL2017 Fig. 8 names.,"Nordlander & Lind 2017, A&A 607, A75, Table A.1",nordlander_lind2017
nordlander_lind2017_analysis_lines,Al I,7835.309,3d 2D J=3/2,6f 2Fo J=5/2,4.022,-0.689,0.04,"TOPbase: Mendoza et al. 1995, and C. Mendoza, W. Eissner, M. Le Dourneuf & C. J. Zeippen (unpublished) -- Opacity Project, THEORY",3850.0,1.6,5.603943,red-optical,SOLAR_ABUNDANCE_USED,In the six-line set NL2017 Fig. 8 names.,"Nordlander & Lind 2017, A&A 607, A75, Table A.1",nordlander_lind2017
nordlander_lind2017_analysis_lines,Al I,7836.134,3d 2D J=5/2,6f 2Fo J=5/2,4.022,-1.834,0.06,"TOPbase: Mendoza et al. 1995, and C. Mendoza, W. Eissner, M. Le Dourneuf & C. J. Zeippen (unpublished) -- Opacity Project, THEORY",3850.0,1.6,5.603776,red-optical,ANALYSIS_LINE_ROLE_NOT_STATED_PER_LINE,"Table A.1's note says only that the table lists 'lines used in the spectrum analyses'. The paper states no role for THIS row, and RYA-946 forbids inferring one from the wavelength. NOT part of the solar abundance set.","Nordlander & Lind 2017, A&A 607, A75, Table A.1",nordlander_lind2017
nordlander_lind2017_analysis_lines,Al I,7836.134,3d 2D J=5/2,6f 2Fo J=7/2,4.022,-0.534,0.025,"TOPbase: Mendoza et al. 1995, and C. Mendoza, W. Eissner, M. Le Dourneuf & C. J. Zeippen (unpublished) -- Opacity Project, THEORY",3850.0,1.6,5.603776,red-optical,ANALYSIS_LINE_ROLE_NOT_STATED_PER_LINE,"Table A.1's note says only that the table lists 'lines used in the spectrum analyses'. The paper states no role for THIS row, and RYA-946 forbids inferring one from the wavelength. NOT part of the solar abundance set.","Nordlander & Lind 2017, A&A 607, A75, Table A.1",nordlander_lind2017
nordlander_lind2017_analysis_lines,Al I,8772.866,3d 2D J=3/2,5f 2Fo J=5/2,4.022,-0.349,0.025,"TOPbase: Mendoza et al. 1995, and C. Mendoza, W. Eissner, M. Le Dourneuf & C. J. Zeippen (unpublished) -- Opacity Project, THEORY",2983.0,0.344,5.434881,red-optical,ANALYSIS_LINE_ROLE_NOT_STATED_PER_LINE,"Table A.1's note says only that the table lists 'lines used in the spectrum analyses'. The paper states no role for THIS row, and RYA-946 forbids inferring one from the wavelength. NOT part of the solar abundance set.","Nordlander & Lind 2017, A&A 607, A75, Table A.1",nordlander_lind2017
nordlander_lind2017_analysis_lines,Al I,8773.895,3d 2D J=5/2,5f 2Fo J=5/2,4.022,-1.495,0.06,"TOPbase: Mendoza et al. 1995, and C. Mendoza, W. Eissner, M. Le Dourneuf & C. J. Zeippen (unpublished) -- Opacity Project, THEORY",2983.0,0.344,5.434715,red-optical,ANALYSIS_LINE_ROLE_NOT_STATED_PER_LINE,"Table A.1's note says only that the table lists 'lines used in the spectrum analyses'. The paper states no role for THIS row, and RYA-946 forbids inferring one from the wavelength. NOT part of the solar abundance set.","Nordlander & Lind 2017, A&A 607, A75, Table A.1",nordlander_lind2017
nordlander_lind2017_analysis_lines,Al I,8773.895,3d 2D J=5/2,5f 2Fo J=7/2,4.022,-0.192,0.025,"TOPbase: Mendoza et al. 1995, and C. Mendoza, W. Eissner, M. Le Dourneuf & C. J. Zeippen (unpublished) -- Opacity Project, THEORY",2983.0,0.344,5.434715,red-optical,ANALYSIS_LINE_ROLE_NOT_STATED_PER_LINE,"Table A.1's note says only that the table lists 'lines used in the spectrum analyses'. The paper states no role for THIS row, and RYA-946 forbids inferring one from the wavelength. NOT part of the solar abundance set.","Nordlander & Lind 2017, A&A 607, A75, Table A.1",nordlander_lind2017
nordlander_lind2017_analysis_lines,Al I,8912.9,4p 2Po J=1/2,6d 2D J=3/2,4.085,-1.963,0.06,"TOPbase: Mendoza et al. 1995, and C. Mendoza, W. Eissner, M. Le Dourneuf & C. J. Zeippen (unpublished) -- Opacity Project, THEORY",,,5.475683,red-optical,SOLAR_ABUNDANCE_USED,In the six-line set NL2017 Fig. 8 names.,"Nordlander & Lind 2017, A&A 607, A75, Table A.1",nordlander_lind2017
nordlander_lind2017_analysis_lines,Al I,8923.555,4p 2Po J=3/2,6d 2D J=5/2,4.087,-1.709,0.06,"TOPbase: Mendoza et al. 1995, and C. Mendoza, W. Eissner, M. Le Dourneuf & C. J. Zeippen (unpublished) -- Opacity Project, THEORY",,,5.476022,red-optical,ANALYSIS_LINE_ROLE_NOT_STATED_PER_LINE,"Table A.1's note says only that the table lists 'lines used in the spectrum analyses'. The paper states no role for THIS row, and RYA-946 forbids inferring one from the wavelength. NOT part of the solar abundance set.","Nordlander & Lind 2017, A&A 607, A75, Table A.1",nordlander_lind2017
nordlander_lind2017_analysis_lines,Al I,8925.503,4p 2Po J=3/2,6d 2D J=3/2,4.087,-2.663,,"TOPbase: Mendoza et al. 1995, and C. Mendoza, W. Eissner, M. Le Dourneuf & C. J. Zeippen (unpublished) -- Opacity Project, THEORY",,,5.475719,red-optical,ANALYSIS_LINE_ROLE_NOT_STATED_PER_LINE,"Table A.1's note says only that the table lists 'lines used in the spectrum analyses'. The paper states no role for THIS row, and RYA-946 forbids inferring one from the wavelength. NOT part of the solar abundance set.","Nordlander & Lind 2017, A&A 607, A75, Table A.1",nordlander_lind2017
nordlander_lind2017_analysis_lines,Al I,10768.363,4p 2Po J=1/2,5d 2D J=3/2,4.085,-2.02,0.06,"TOPbase: Mendoza et al. 1995, and C. Mendoza, W. Eissner, M. Le Dourneuf & C. J. Zeippen (unpublished) -- Opacity Project, THEORY",,,5.236059,NIR,SOLAR_ABUNDANCE_USED,In the six-line set NL2017 Fig. 8 names.,"Nordlander & Lind 2017, A&A 607, A75, Table A.1",nordlander_lind2017
nordlander_lind2017_analysis_lines,Al I,10782.046,4p 2Po J=3/2,5d 2D J=5/2,4.087,-1.764,0.06,"TOPbase: Mendoza et al. 1995, and C. Mendoza, W. Eissner, M. Le Dourneuf & C. J. Zeippen (unpublished) -- Opacity Project, THEORY",,,5.236599,NIR,ANALYSIS_LINE_ROLE_NOT_STATED_PER_LINE,"Table A.1's note says only that the table lists 'lines used in the spectrum analyses'. The paper states no role for THIS row, and RYA-946 forbids inferring one from the wavelength. NOT part of the solar abundance set.","Nordlander & Lind 2017, A&A 607, A75, Table A.1",nordlander_lind2017
nordlander_lind2017_analysis_lines,Al I,10786.77,4p 2Po J=3/2,5d 2D J=3/2,4.087,-2.719,0.1,"TOPbase: Mendoza et al. 1995, and C. Mendoza, W. Eissner, M. Le Dourneuf & C. J. Zeippen (unpublished) -- Opacity Project, THEORY",,,5.236095,NIR,ANALYSIS_LINE_ROLE_NOT_STATED_PER_LINE,"Table A.1's note says only that the table lists 'lines used in the spectrum analyses'. The paper states no role for THIS row, and RYA-946 forbids inferring one from the wavelength. NOT part of the solar abundance set.","Nordlander & Lind 2017, A&A 607, A75, Table A.1",nordlander_lind2017
nordlander_lind2017_analysis_lines,Al I,10872.975,4p 2Po J=1/2,6s 2S J=1/2,4.085,-1.326,0.06,"TOPbase: Mendoza et al. 1995, and C. Mendoza, W. Eissner, M. Le Dourneuf & C. J. Zeippen (unpublished) -- Opacity Project, THEORY",,,5.224985,NIR,SOLAR_ABUNDANCE_USED,In the six-line set NL2017 Fig. 8 names.,"Nordlander & Lind 2017, A&A 607, A75, Table A.1",nordlander_lind2017
nordlander_lind2017_analysis_lines,Al I,10891.732,4p 2Po J=3/2,6s 2S J=1/2,4.087,-1.027,0.04,"TOPbase: Mendoza et al. 1995, and C. Mendoza, W. Eissner, M. Le Dourneuf & C. J. Zeippen (unpublished) -- Opacity Project, THEORY",,,5.225021,NIR,SOLAR_ABUNDANCE_EXCLUDED_TELLURIC,Scott retained it; NL2017 disregarded it for telluric contamination.,"Nordlander & Lind 2017, A&A 607, A75, Table A.1",nordlander_lind2017
nordlander_lind2017_analysis_lines,Al I,13123.416,4s 2S J=1/2,4p 2Po J=3/2,3.143,0.219,0.013,"TOPbase: Mendoza et al. 1995, and C. Mendoza, W. Eissner, M. Le Dourneuf & C. J. Zeippen (unpublished) -- Opacity Project, THEORY",815.0,0.223,4.087497,OUTSIDE_CURRENT_INSTRUMENT_REACH,SOLAR_DIAGNOSTIC_NAMED_IN_TEXT,"Abstract/Sect. 3.1.4: cited as the line indicating hydrogen collisional rates, and Fig. 7 shows it as one of 'two near-IR lines sensitive to hyperfine splitting'.","Nordlander & Lind 2017, A&A 607, A75, Table A.1",nordlander_lind2017
nordlander_lind2017_analysis_lines,Al I,13150.753,4s 2S J=1/2,4p 2Po J=1/2,3.143,-0.083,0.013,"TOPbase: Mendoza et al. 1995, and C. Mendoza, W. Eissner, M. Le Dourneuf & C. J. Zeippen (unpublished) -- Opacity Project, THEORY",815.0,0.223,4.085534,OUTSIDE_CURRENT_INSTRUMENT_REACH,ANALYSIS_LINE_ROLE_NOT_STATED_PER_LINE,"Table A.1's note says only that the table lists 'lines used in the spectrum analyses'. The paper states no role for THIS row, and RYA-946 forbids inferring one from the wavelength. NOT part of the solar abundance set.","Nordlander & Lind 2017, A&A 607, A75, Table A.1",nordlander_lind2017
nordlander_lind2017_analysis_lines,Al I,16718.974,4p 2Po J=1/2,4d 2D J=3/2,4.085,0.22,0.013,"TOPbase: Mendoza et al. 1995, and C. Mendoza, W. Eissner, M. Le Dourneuf & C. J. Zeippen (unpublished) -- Opacity Project, THEORY",1147.0,0.311,4.826375,H,ANALYSIS_LINE_ROLE_NOT_STATED_PER_LINE,"Table A.1's note says only that the table lists 'lines used in the spectrum analyses'. The paper states no role for THIS row, and RYA-946 forbids inferring one from the wavelength. NOT part of the solar abundance set.","Nordlander & Lind 2017, A&A 607, A75, Table A.1",nordlander_lind2017
nordlander_lind2017_analysis_lines,Al I,16750.519,4p 2Po J=3/2,4d 2D J=5/2,4.087,0.474,0.013,"TOPbase: Mendoza et al. 1995, and C. Mendoza, W. Eissner, M. Le Dourneuf & C. J. Zeippen (unpublished) -- Opacity Project, THEORY",1147.0,0.311,4.826979,H,SOLAR_DIAGNOSTIC_NAMED_IN_TEXT,"Fig. 7, the second of the 'two near-IR lines sensitive to hyperfine splitting': 'assuming A(Al) = 6.43 at 13123 A and 6.33 at 16750 A for the Sun'.","Nordlander & Lind 2017, A&A 607, A75, Table A.1",nordlander_lind2017
