ion,source,year,wavelength_coverage,evidence_type,method,published_transition_count,uncertainty,hfs_isotope_support,machine_readable,doi,already_cited_in_ion_ticket,gap_class,already_represented_in_canonical_gf,uv_overlap_with_holdings,action
Co II,Lawler et al.,2018.0,UV-visible,PRIMARY_LAB,echelle BF+LIF,84.0,paper-reported,yes (28 levels),yes,10.3847/1538-4365/aac773,RYA-1061,SOURCE_KNOWN_NOT_INGESTED,no,potential: STIS/COS or near-UV,Acquire table; reconcile physical transitions; propose separate ingest ticket.
Ni II,modern experimental/evaluated search,,FUV-NUV,UNVERIFIED_SEED,unknown,,unknown,unknown,unknown,,none found,NEW_LAB_SOURCE,no,potential: STIS/COS or near-UV,Verify bibliography/table and route to RYA-1061/946 plus ion ticket.
Cu II,UV resonance/subordinate search,,FUV-NUV,UNVERIFIED_SEED,unknown,,unknown,yes,unknown,,none found,ROADMAP_ION_MISSING,no,potential: STIS/COS or near-UV,Open roadmap discovery ticket only after photospheric diagnostic/reach validation.
Zn II,UV resonance/subordinate search,,FUV-NUV,UNVERIFIED_SEED,unknown,,unknown,isotope check,unknown,,none found,ROADMAP_ION_MISSING,no,potential: STIS/COS or near-UV,Open roadmap discovery ticket only after photospheric diagnostic/reach validation.
Sr II,primary/evaluated UV source search,,NUV-blue,UNVERIFIED_SEED,unknown,,unknown,isotope check,unknown,,RYA-421/551,SOURCE_KNOWN_NOT_INGESTED,no,potential: STIS/COS or near-UV,Acquire table; reconcile physical transitions; propose separate ingest ticket.
Y II,Hannaford et al.,1982.0,UV-visible,PRIMARY_LAB,BF+lifetimes,,paper-reported,no,verify,,RYA-475 seed,SOURCE_KNOWN_NOT_INGESTED,no,potential: STIS/COS or near-UV,Acquire table; reconcile physical transitions; propose separate ingest ticket.
Zr II,modern laboratory source search,,NUV-blue,UNVERIFIED_SEED,unknown,,unknown,isotope check,unknown,,RYA-560,NEW_LAB_SOURCE,no,potential: STIS/COS or near-UV,Verify bibliography/table and route to RYA-1061/946 plus ion ticket.
Ba II,laboratory/evaluated source family,,NUV-blue,UNVERIFIED_SEED,unknown,,unknown,yes,unknown,,RYA-559/581,SOURCE_KNOWN_NOT_INGESTED,no,potential: STIS/COS or near-UV,Acquire table; reconcile physical transitions; propose separate ingest ticket.
Ce II,Lawler et al.,2009.0,UV-visible,PRIMARY_LAB,BF+LIF,,paper-reported,no,yes,,none found,NEW_LAB_SOURCE,no,potential: STIS/COS or near-UV,Verify bibliography/table and route to RYA-1061/946 plus ion ticket.
Nd II,Den Hartog et al.,2003.0,UV-visible,PRIMARY_LAB,BF+LIF,,paper-reported,no,yes,,none found,NEW_LAB_SOURCE,no,potential: STIS/COS or near-UV,Verify bibliography/table and route to RYA-1061/946 plus ion ticket.
Eu II,Lawler et al.,2001.0,UV-visible,PRIMARY_LAB,BF+LIF,,paper-reported,yes + isotope,yes,,RYA-565 source family needs check,SOURCE_KNOWN_NOT_INGESTED,no,potential: STIS/COS or near-UV,Acquire table; reconcile physical transitions; propose separate ingest ticket.
P II,UV laboratory/evaluated search,,FUV-NUV,UNVERIFIED_SEED,unknown,,unknown,no,unknown,,none found,ROADMAP_ION_MISSING,no,potential: STIS/COS or near-UV,Open roadmap discovery ticket only after photospheric diagnostic/reach validation.
S II,UV laboratory/evaluated search,,FUV-NUV,UNVERIFIED_SEED,unknown,,unknown,no,unknown,,none found,ROADMAP_ION_MISSING,no,potential: STIS/COS or near-UV,Open roadmap discovery ticket only after photospheric diagnostic/reach validation.
