wavelength_air_A,elo_eV,eup_eV,loggf_asplund,rew_agss21,ew_mA_agss21,a_1dlte,a_published_3dnlte_agss21,status,reason,red_chi2,obs_source,fit_seconds,network,domain_reason,aberr,a_3dnlte,in_domain
6311.5,2.83159,4.79547,-3.141,-5.375251,26.6,7.495,7.492,ok,,85.208,holding=solar_harps_molecfit_corrected · solar_normalized_tellcorr.csv,57.76,gt02,,0.01762533784541525,7.5126253378454155,True
6498.9,0.95816,2.86539,-4.695,-5.193747,41.6,7.428,7.469,ok,,68.636,holding=solar_harps_molecfit_corrected · solar_normalized_tellcorr.csv,60.97,lt02,,-0.042724086394085085,7.3852759136059145,True
6518.4,2.83159,4.73314,-2.448,-5.056745,57.2,7.388,7.405,ok,,88.47,holding=solar_harps_molecfit_corrected · solar_normalized_tellcorr.csv,48.34,gt02,,-0.008273920044536046,7.379726079955464,True
6574.2,0.99011,2.8755,-5.01,-5.413009,25.4,7.511,7.465,ok,,56.293,holding=solar_harps_molecfit_corrected · solar_normalized_tellcorr.csv,49.97,lt02,,-0.04825631174727426,7.462743688252726,True
6699.1,4.59311,6.44335,-2.101,-5.933922,7.8,7.586,7.487,ok,,52.106,holding=solar_harps_molecfit_corrected · solar_normalized_tellcorr.csv,70.43,gt02,,0.044875202842611206,7.630875202842612,True
6793.3,4.07581,5.90041,-2.326,-5.735171,12.5,7.689,7.445,ok,,71.043,holding=solar_harps_molecfit_corrected · solar_normalized_tellcorr.csv,73.07,gt02,,0.042280012885189,7.731280012885189,True
6837.0,4.59311,6.40604,-1.687,-5.586892,17.7,7.663,7.486,ok,,56.915,holding=solar_harps_molecfit_corrected · solar_normalized_tellcorr.csv,56.91,gt02,"transition energy Eup-Elo 1.8129 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",,,False
6843.7,4.54851,6.35967,-0.73,-5.022378,65.0,7.566,7.409,ok,,57.251,holding=solar_harps_molecfit_corrected · solar_normalized_tellcorr.csv,51.58,gt02,"transition energy Eup-Elo 1.8112 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",,,False
6854.8,4.59311,6.40133,-1.926,-5.725405,12.9,7.664,7.434,ok,,52.613,holding=solar_harps_molecfit_corrected · solar_normalized_tellcorr.csv,66.48,gt02,"transition energy Eup-Elo 1.8082 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",,,False
6858.1,4.60759,6.41493,-0.9,-5.095841,55.0,7.538,7.464,ok,,51.25,holding=solar_harps_molecfit_corrected · solar_normalized_tellcorr.csv,60.18,gt02,"transition energy Eup-Elo 1.8073 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",,,False
6999.9,4.10337,5.87412,-1.38,-5.082413,57.9,,7.482,no_atlas,"no harps holding covers 6999.900 +/- 1.020 A (solar_harps_molecfit_corrected 3782.6-6910.0 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement.",,kitt peak atlas segments (default reader),0.0,,no 1D-LTE abundance (no_atlas),,,False
7008.0,4.1777,5.9464,-1.77,-5.375772,29.5,,7.435,no_atlas,"no harps holding covers 7008.000 +/- 1.020 A (solar_harps_molecfit_corrected 3782.6-6910.0 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement.",,kitt peak atlas segments (default reader),0.0,,no 1D-LTE abundance (no_atlas),,,False
7219.7,4.07581,5.79265,-1.43,-5.168323,49.0,,7.399,no_atlas,"no harps holding covers 7219.700 +/- 1.020 A (solar_harps_molecfit_corrected 3782.6-6910.0 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement.",,kitt peak atlas segments (default reader),0.0,,no 1D-LTE abundance (no_atlas),,,False
7401.7,4.18636,5.86098,-1.5,-5.250238,41.6,,7.423,no_atlas,"no harps holding covers 7401.700 +/- 1.020 A (solar_harps_molecfit_corrected 3782.6-6910.0 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement.",,kitt peak atlas segments (default reader),0.0,,no 1D-LTE abundance (no_atlas),,,False
7443.0,4.18636,5.85168,-1.64,-5.316654,35.9,,7.45,no_atlas,"no harps holding covers 7443.000 +/- 1.020 A (solar_harps_molecfit_corrected 3782.6-6910.0 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement.",,kitt peak atlas segments (default reader),0.0,,no 1D-LTE abundance (no_atlas),,,False
7912.9,0.859,2.42543,-4.848,-5.238419,45.7,,7.48,no_atlas,"no harps holding covers 7912.900 +/- 1.020 A (solar_harps_molecfit_corrected 3782.6-6910.0 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement.",,kitt peak atlas segments (default reader),0.0,,no 1D-LTE abundance (no_atlas),,,False
8293.5,3.30092,4.79547,-2.203,-5.151582,58.5,,7.486,no_atlas,"no harps holding covers 8293.500 +/- 1.020 A (solar_harps_molecfit_corrected 3782.6-6910.0 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement.",,kitt peak atlas segments (default reader),0.0,,no 1D-LTE abundance (no_atlas),,,False
8571.8,5.00952,6.45554,-1.11,-5.432013,31.7,,7.499,no_atlas,"no harps holding covers 8571.800 +/- 1.020 A (solar_harps_molecfit_corrected 3782.6-6910.0 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement.",,kitt peak atlas segments (default reader),0.0,,no 1D-LTE abundance (no_atlas),,,False
8598.8,4.38646,5.82794,-1.2,-5.180855,56.7,,7.419,no_atlas,"no harps holding covers 8598.800 +/- 1.020 A (solar_harps_molecfit_corrected 3782.6-6910.0 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement.",,kitt peak atlas segments (default reader),0.0,,no 1D-LTE abundance (no_atlas),,,False
8876.0,5.02028,6.41674,-1.05,-5.397989,35.5,,7.502,no_atlas,"no harps holding covers 8876.000 +/- 1.020 A (solar_harps_molecfit_corrected 3782.6-6910.0 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement.",,kitt peak atlas segments (default reader),0.0,,no 1D-LTE abundance (no_atlas),,,False
8906.0,5.06378,6.45554,-1.22,-5.556986,24.7,,7.492,no_atlas,"no harps holding covers 8906.000 +/- 1.020 A (solar_harps_molecfit_corrected 3782.6-6910.0 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement.",,kitt peak atlas segments (default reader),0.0,,no 1D-LTE abundance (no_atlas),,,False
9103.6,4.1777,5.53924,-2.19,-5.675912,19.2,,7.481,no_atlas,"no harps holding covers 9103.600 +/- 1.020 A (solar_harps_molecfit_corrected 3782.6-6910.0 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement.",,kitt peak atlas segments (default reader),0.0,,no 1D-LTE abundance (no_atlas),,,False
9786.6,4.60759,5.87412,-1.84,-5.73056,18.2,,7.466,no_atlas,"no harps holding covers 9786.600 +/- 1.020 A (solar_harps_molecfit_corrected 3782.6-6910.0 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement.",,kitt peak atlas segments (default reader),0.0,,no 1D-LTE abundance (no_atlas),,,False
