readme_section,species,reference_class,caveat_wavelength_A,caveat_wavelength_tol_A,n_paper_citations,n_catalog_citations,primary_source,caveats,references_raw
Atomic Species: Other Elements,Mg II,UNSOURCED,,,0,0,(catalogue only),,UV lines from NIST
Atomic Species: Other Elements,Al I,UNSOURCED,,,0,0,(catalogue only),,Added log(gf) values from NIST. Also included HFS from VALD for a few lines where available.
Atomic Species: Other Elements,Al II,PRIMARY_LAB,,,1,0,"Roederer & Lawler (2021, ApJ, 912, 119)",,"[Roederer & Lawler (2021, ApJ, 912, 119)](https://ui.adsabs.harvard.edu/abs/2021ApJ...912..119R). This is the HFS for one UV resonance line"
Atomic Species: Other Elements,Si I,PRIMARY_LAB,,,2,0,"Den Hartog et al. (2023, ApJS, 265, 42); Pehlivan Rhodin et al. (2024, A&A, 682, A184)",,"A mix of NIST values and updates based on new branching fraction measurements by [Den Hartog et al. (2023, ApJS, 265, 42)](https://ui.adsabs.harvard.edu/abs/2023arXiv230111391D), and some of the new theoretical branching fraction calculations by [Pehlivan Rhodin et al. (2024, A&A, 682, A184)](https://ui.adsabs.harvard.edu/abs/2024A%26A...682A.184P).  (The `Si I` transitions from Pehlivan Rhodin et al. not included in LINEMAKE at present are generally weak, but they could be added with some effort in the future if needs arise.)"
Atomic Species: Other Elements,Si II,PRIMARY_LAB,,,2,0,"Den Hartog et al. (2023, ApJS, 265, 42); Pehlivan Rhodin et al. (2024, A&A, 682, A184)",,"Two UV lines with updates from new branching fraction measurements by [Den Hartog et al. (2023, ApJS, 265, 42)](https://ui.adsabs.harvard.edu/abs/2023arXiv230111391D), and various other Si II lines with EP < 9 eV added from [Pehlivan Rhodin et al. (2024, A&A, 682, A184)](https://ui.adsabs.harvard.edu/abs/2024A%26A...682A.184P)"
Atomic Species: Other Elements,Ca I,PRIMARY_LAB,,,1,0,"Den Hartog et al. (2021, ApJS, 255, 227)",,"[Den Hartog et al. (2021, ApJS, 255, 227)](https://ui.adsabs.harvard.edu/abs/2021ApJS..255...27D). This is a combined lab and theoretical study, and the included transitions have transition probabilities now with very small uncertainties"
Atomic Species: Other Elements,Ca II,PRIMARY_LAB,,,1,0,"Den Hartog et al. (2021, ApJS, 255, 227)",,"[Den Hartog et al. (2021, ApJS, 255, 227)](https://ui.adsabs.harvard.edu/abs/2021ApJS..255...27D). No new lab data here, but Ca II is a well-studied single electron species"
Molecular (mostly diatomic) Species,MgH,PRIMARY_LAB,,,1,0,"Hinkle et al. (2013, ApJS, 207, 26)",,"[Hinkle et al. (2013, ApJS, 207, 26)](https://ui.adsabs.harvard.edu/abs/2013ApJS..207...26H)"
Molecular (mostly diatomic) Species,C2,PRIMARY_LAB,,,1,0,"Ram et al. (2014, ApJS, 211, 5)",,"Swan bands.  [Ram et al. (2014, ApJS, 211, 5)](https://ui.adsabs.harvard.edu/abs/2014ApJS..211....5R); note that 0.089 eV has been added to all of the excitation energies to account for the fact that the lower level of the Swan system is not exactly at the lowest possible vibrational state"
Molecular (mostly diatomic) Species,CH,PRIMARY_LAB,,,1,0,"Masseron et al. (2014, A&A, 571, 47)",,"[Masseron et al. (2014, A&A, 571, 47)](https://ui.adsabs.harvard.edu/abs/2014A%26A...571A..47M); files obtained from Bertrand Plez"
Molecular (mostly diatomic) Species,CN,PRIMARY_LAB,,,1,0,"Sneden et al. (2014, ApJS, 214, 26)",,"[Sneden et al. (2014, ApJS, 214, 26)](https://ui.adsabs.harvard.edu/abs/2014ApJS..214...26S); violet and red"
Molecular (mostly diatomic) Species,CO,MIXED,,,1,1,"Li et al. (2015, ApJS, 216, 15)",non-primary: deliberate pragmatic gf offset,"Pretty much the relatively simply CO parameters in the IR ro-vibrational bands have been known for a couple of decades. However, in trial syntheses conducted by Chris Sneden and Melike Afsar it was noticed that that K-band &Delta;v = 2 first overtone band strengths were too strong for the C and O abundances derived from optical data. But they also clashed with the H-band &Delta;v = 3 ""second overtone"" bands in similar fashion.  Therefore we decided to raise the *gf*-values of the &Delta;v = 2 lines by 0.15 dex, and leave the &Delta;v = 3 lines alone.  This small pragmatic alteration is in the CO line list here; users need to be aware of this if CO is used for abundance determinations. To be updated with [HITRAN](https://hitran.org/lbl/) line parameters from [Li et al. (2015, ApJS, 216, 15)](https://ui.adsabs.harvard.edu/abs/2015ApJS..216...15L)"
Molecular (mostly diatomic) Species,OH,PRIMARY_LAB,,,1,0,"Brooke et al. (2016, JQSRT, 168, 142)",,"Ro-vibrational bands:  [Brooke et al. (2016, JQSRT, 168, 142)](https://www.sciencedirect.com/science/article/abs/pii/S0022407315002721?via%3Dihub); these are only for the IR transitions"
Molecular (mostly diatomic) Species,HCl,CATALOG,,,0,1,(catalogue only),,[HITRAN](https://hitran.org/lbl/); IR transitions only
Molecular (mostly diatomic) Species,HF,CATALOG,,,0,1,(catalogue only),,[HITRAN](https://hitran.org/lbl/); IR transitions only
Molecular (mostly diatomic) Species,SiO,CATALOG,,,0,1,(catalogue only),,[Kurucz database](http://kurucz.harvard.edu/molecules/sio/); IR transitions only
Molecular (mostly diatomic) Species,SiH,CATALOG,,,0,1,(catalogue only),,"[Kurucz database](http://kurucz.harvard.edu/molecules/sih/); in earlier `linemake` versions SiH was lumped in with the other hydrides but this is unsatisfactory. Now it will be included only if the user desires it. Since the solar isotopic fractions are <sup>28,29,30</sup>Si = 92.22%, 4.69%, and 3.09%, in other words dominated by a single isotope, the solar isotopic fractions are included in the effective *gf* values of SiH lines"
Molecular (mostly diatomic) Species,H2O,MIXED,,,1,1,MOOG,,"[HITRAN](https://hitran.org/lbl/); the whole list has 84K lines, so to limit that a bit we include here only those in the 1-5&mu;m wavelength regime. It would be easy to add optical-region lines if a need arises. Note that the [MOOG](https://www.as.utexas.edu/~chris/moog.html) version from November 2019 has the ability to do triatomic molecules; earlier versions cannot work on H<sub>2</sub>O"
Molecular (mostly diatomic) Species,TiO,CATALOG,,,0,1,(catalogue only),,"[ExoMol](http://www.exomol.com/data/molecules/). This molecule has many electronic-vabrational-rotational band systems, leading to nearly 8 million transitions cataloged in HITRAN. Additionally, Ti has 5 isotopes with substantial contributions to the solar-system Ti elemental abundance. The major isotope is <sup>48</sup>Ti, with 72.73% of the fractional contribution, and <sup>46,47,49,50</sup>Ti isotopes have 8.25%, 7.44%, 5.41%, and 5.18% fractions, respectively. Briefly we outline our line cut-down procedures here. We define a species-specific relative strength as log(*gf*) - &theta;&chi;, where &chi; is the excitation energy in eV, and &theta; = 5040/T. We choose &theta; = 1.5 (T = 3600K) as a representative very cool stellar temperature. Then for <sup>48</sup>TiO we retained all lines whose strengths were predicted to be >0.1% of the strongest line in a 10 Å wavelength interval, thus cutting out a large number of extremely weak TiO lines. This reduced the original 8 x 10<sup>6</sup> list to about 1.7 x 10<sup>6</sup>, still large but manageable. For the other isotopes we used the same procedure, but cut individual line strengths down by the additional factor of the isotopic ratio with respect to <sup>48</sup>Ti. In `linemake` for TiO the user has options of including only <sup>48</sup>TiO or adding in the other isotopic lines also. For now we have cut down the *gf*'s of the minor isotopic lines by their solar-system abundance ratios. This may be revisited in the future it is not satisfactory to users"
Molecular (mostly diatomic) Species,FeH,MIXED,,,3,1,"Dulick et al. (2003, ApJ, 594, 651); MOOG; Hargreaves et al. (2010, AJ, 140, 919)",,"There appear to be two sources for FeH line data that can be used in synthesis lists. First, the [Kuruz website](http://kurucz.harvard.edu/molecules/feh/) has lines from [Dulick et al. (2003, ApJ, 594, 651)](https://ui.adsabs.harvard.edu/abs/2003ApJ...594..651D). These were translated into [MOOG](https://www.as.utexas.edu/~chris/moog.html) style in a straightforward manner. Second, [Hargreaves et al. (2010, AJ, 140, 919)](https://ui.adsabs.harvard.edu/abs/2010AJ....140..919H) studied a different `FeH` electronic band system, creating a list of about 6300 lines with wavelengths, measured intensities, and excitation energies. For a small subset of about 260 lines they computed transition probabilities. We combined the Kurucz/Dulick and Hargreaves lines. After examining the relative strengths of the total FeH line list, we elected to eliminate those lines that were ≃10<sup>-7</sup> weaker than the maximum FeH line strengths. Fe exists predominantly as <sup>56</sup>Fe (91.7%) and the minor isotopes have not gotten much attention, so they were ignored. The data sources tabulate `FeH` lines from \~ 6200 Å to far into the IR, but there are relatively few lines beyond 5&mu;, and we ignored them"
Molecular (mostly diatomic) Species,MgO,CATALOG,,,0,1,(catalogue only),,Probably in the near future from [ExoMol](http://www.exomol.com/data/molecules/)
