element,Z,canonical_species,solar_3d_nlte,solar_reference,solar_doi,offsolar_3d_nlte,offsolar_reference,offsolar_doi,our_holding,note
K,19,K I,FULL_3D_NLTE,"Asplund, Amarsi & Grevesse 2021, A&A 653, A141, using the Reggiani et al. 2019 model atom",10.1051/0004-6361/202140445,SOLAR_ONLY,"Reggiani, Amarsi, Lind et al. 2019, A&A 627, A177 — 1D/<3D> non-LTE K corrections over stellar parameters; the FULL 3D calculation is solar only",10.1051/0004-6361/201935156,data/nlte_grids/K_Amarsi2020_PySME.csv,Solar 3D-NLTE minus 3D-LTE is about -0.05 dex on the retained weak K I lines.
Ca,20,Ca I,FULL_3D_NLTE,"Asplund, Amarsi & Grevesse 2021, A&A 653, A141 (consistent 3D non-LTE reanalysis of Ca)",10.1051/0004-6361/202140445,GRID_PUBLIC_ION_II,"Lagae, Amarsi, Lind et al. 2025, A&A 697, A60 — 3D non-LTE Ca II abundance corrections for metal-poor FGK stars",10.1051/0004-6361/202452874,data/nlte_grids/Ca_Mashonkina2017.csv,"The public off-solar 3D-NLTE product is Ca II; our production leg is Ca I on a 1D-NLTE grid, so the two do not substitute for each other."
Sc,21,Sc II,MEAN3D_NLTE,"Asplund, Amarsi & Grevesse 2021, A&A 653, A141, Table 1 (3D LTE + 1D/<3D> non-LTE row)",10.1051/0004-6361/202140445,NONE,no 3D non-LTE Sc study found in this survey,,none,Asplund+2021 explicitly postpone a 3D non-LTE Sc study. Sc I departures are large; the mean is driven by Sc II.
Ti,22,Ti I,MEAN3D_NLTE,"Asplund, Amarsi & Grevesse 2021, A&A 653, A141, Table 1 (3D LTE + 1D/<3D> non-LTE row)",10.1051/0004-6361/202140445,NONE,no 3D non-LTE Ti study found in this survey,,data/nlte_grids/Ti_Bergemann2011_MPIA.csv,"Asplund+2021 state outright that the adopted 1D non-LTE corrections are probably NOT appropriate in 3D, and that consistent 3D non-LTE would RAISE Ti I. Directly relevant to our Ti I/Ti II discordance."
V,23,V I,3D_LTE_ONLY,"Asplund, Amarsi & Grevesse 2021, A&A 653, A141, Table 1 (3D LTE row)",10.1051/0004-6361/202140445,NONE,no 3D non-LTE V study found in this survey,,none,The genuine NLTE void (RYA-404): no usable neutral V I model atom at any dimensionality.
Cr,24,Cr I,MEAN3D_NLTE,"Asplund, Amarsi & Grevesse 2021, A&A 653, A141, Table 1 (3D LTE + 1D/<3D> non-LTE row)",10.1051/0004-6361/202140445,NONE,no 3D non-LTE Cr study found in this survey,,data/nlte_grids/Cr_Bergemann2010_MPIA.csv,RYA-558 excludes Cr II.
Mn,25,Mn I,3D_NLTE_PUBLISHED_NOT_ADOPTED,"Bergemann, Gallagher, Eitner et al. 2019, A&A 631, A80 — full 3D non-LTE, A(Mn)=5.52",10.1051/0004-6361/201935811,NONE,no off-solar 3D non-LTE Mn grid found in this survey,,data/nlte_grids/Mn_Bergemann_MPIA.csv,"THE CONTESTED ROW: Asplund+2021 declined to adopt Bergemann+2019's 3D-NLTE value, suspecting incomplete UV line blanketing overestimated the photoionisation rates, and kept 5.42 instead. A 3D-NLTE model existing is not the same as it being ratified. Our RYA-546 value is 5.466."
Fe,26,Fe I + Fe II,FULL_3D_NLTE,"Asplund, Amarsi & Grevesse 2021, A&A 653, A141; Amarsi, Liljegren & Nissen 2022, A&A 668, A68",10.1051/0004-6361/202140445,GRID_VENDORED,"Amarsi, Liljegren & Nissen 2022, A&A 668, A68 — MLP over 32 STAGGER models: Teff 5000-6500 K, logg 4.0-4.5, [Fe/H] -3..0",10.1051/0004-6361/202244542,vendor/1L-3NErrors/,"RYA-817: the grid is OPTICAL ONLY (4787.83-6810.26 A, Jofre+2014 golden lines). Reactivated with a line-parameter domain check; the near-IR band is entirely outside it."
Co,27,Co I,MEAN3D_NLTE,"Asplund, Amarsi & Grevesse 2021, A&A 653, A141, Table 1 (3D LTE + 1D/<3D> non-LTE row)",10.1051/0004-6361/202140445,NONE,no 3D non-LTE Co study found in this survey,,none,No NLTE grid held; continuum-limited blue-edge lines (RYA-564).
Ni,28,Ni I,3D_LTE_ONLY,"Asplund, Amarsi & Grevesse 2021, A&A 653, A141, Table 1 (3D LTE row)",10.1051/0004-6361/202140445,NONE,no 3D non-LTE Ni study found in this survey,,none,"Blocker is the gf scale (BAD_GF), not NLTE (RYA-398/161)."
Cu,29,Cu I,MEAN3D_NLTE,"Asplund, Amarsi & Grevesse 2021, A&A 653, A141, Table 1 (3D LTE + 1D/<3D> non-LTE row)",10.1051/0004-6361/202140445,NONE,no 3D non-LTE Cu study found in this survey,,data/nlte_grids/Cu_Caliskan2024_PySME.csv,"Cu NLTE is small (solar delta +0.001, RYA-540)."
Zn,30,Zn I,MEAN3D_NLTE,"Asplund, Amarsi & Grevesse 2021, A&A 653, A141, Table 1 (3D LTE + 1D/<3D> non-LTE row)",10.1051/0004-6361/202140445,NONE,no 3D non-LTE Zn study found in this survey,,none,"The 28th canonical species (RYA-757), intake only — not yet measured here."
Sr,38,Sr II,MEAN3D_NLTE,"Asplund, Amarsi & Grevesse 2021, A&A 653, A141, Table 1 (3D LTE + 1D/<3D> non-LTE row)",10.1051/0004-6361/202140445,NONE,no 3D non-LTE Sr study found in this survey,,data/nlte_grids/Sr_Bergemann2012_INSPECT.csv,RYA-643 corrected Sr II to 2.759.
Y,39,Y II,3D_LTE_ONLY,"Asplund, Amarsi & Grevesse 2021, A&A 653, A141, Table 1 (3D LTE row, Z>=31)",10.1051/0004-6361/202140445,NONE,no 3D non-LTE Y study found in this survey,,none,"Y II (the dominant ion) is absent from our pool — a DATA_GAP, not an NLTE gap."
Zr,40,Zr II,3D_LTE_ONLY,"Asplund, Amarsi & Grevesse 2021, A&A 653, A141, Table 1 (3D LTE row, Z>=31)",10.1051/0004-6361/202140445,NONE,no 3D non-LTE Zr study found in this survey,,none,"Zr II is the majority ion, so LTE is comparatively robust; no NLTE grid is NEEDED."
Ba,56,Ba II,FULL_3D_NLTE,"Gallagher, Bergemann, Collet et al. 2020, A&A 634, A55 — full 3D non-LTE Ba II, adopted by Asplund+2021 (A(Ba)=2.27)",10.1051/0004-6361/201936104,SOLAR_ONLY,no off-solar 3D non-LTE Ba grid found in this survey,,data/nlte_grids/Ba_Korotin2015.csv,"Gallagher+2020 apply 3D corrections to a 1D LTE MARCS synthesis rather than fitting 3D profiles directly. Our RYA-672 value is 2.237. RYA-817 review note (Ryan, 2026-08-14): the only off-solar work in the pipeline is Steffen (in prep), and it is 1.5D-NLTE, NOT full 3D -- reported, not independently verifiable while unpublished, so this row stays SOLAR_ONLY."
Eu,63,Eu II,MEAN3D_NLTE,"Asplund, Amarsi & Grevesse 2021, A&A 653, A141, Table 1 (3D LTE + 1D/<3D> non-LTE row)",10.1051/0004-6361/202140445,NONE,no 3D non-LTE Eu study found in this survey,,none,Eu II 6645 is HFS-summed and noise-floor-limited (RYA-565).
