element,ion,wavelength_air_A,instrument,ew_mA,ew_method,abundance,rew,treatment,in_aggregate,excluded_reason,ep_eV,ew_inversion,sigma_A,frac_rise_weaker,edge_distance_dex,red_chi2
Fe,I,3249.191,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",8.047,,1D-LTE,True,,2.5592,False,0.07268397838621497,8.341452512796478,3.550916625489001,126.289
Fe,I,3253.942,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.249,,1D-LTE,True,,2.6085,False,0.07101959271932787,10.29105548339207,2.752832986788671,119.715
Fe,I,3261.325,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.51,,1D-LTE,True,,3.417,False,0.04617928445487387,7.692310400146826,3.013939925077513,62.337
Fe,I,3292.033,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",8.385,,1D-LTE,True,,3.0176,False,0.07219698246843582,3.5983114098352083,3.888828444394817,139.066
Fe,I,3312.698,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",8.165,,1D-LTE,True,,2.8581,False,0.0801481396390992,2.180342474318704,3.6688667338570644,258.993
Fe,I,3334.218,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.558,,1D-LTE,True,,2.4327,False,0.18150035660582992,1.1824484416039431,3.0623443333813976,462.217
Fe,I,3387.405,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.719,,1D-LTE,True,,2.7586,False,0.02935417878471968,8.280304604313605,3.22337828684011,78.383
Fe,I,3393.588,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.328,,1D-LTE,True,,2.7586,False,0.07547594258752914,7.422720034997794,2.8318888284419153,82.845
Fe,I,3439.035,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.537,,1D-LTE,True,,2.7275,False,0.030160985825232092,6.171393444222042,3.040542084542243,51.808
Fe,I,3457.086,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.225,,1D-LTE,True,,3.6025,False,0.034461264086669836,5.0974515932170705,2.7289434776100068,44.508
Fe,I,3469.83,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.418,,1D-LTE,True,,2.6085,False,0.06768711884449911,6.860501595192481,2.9215086926412477,77.661
Fe,I,3476.344,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.29,,1D-LTE,True,,3.6025,False,0.020952531876963047,2.330931118613744,2.7942724701199424,61.211
Fe,I,3509.862,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",6.986,,1D-LTE,True,,2.2227,False,0.12041284924684985,0.45976952205662136,2.4901420674420356,82.015
Fe,I,3559.503,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.73,,1D-LTE,True,,3.0713,False,0.06331557802346449,0.7396692049081517,3.2338503968226284,124.531
Fe,I,3572.59,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.199,,1D-LTE,True,,2.8512,False,0.05727963318692561,1.7008362595835589,2.7029907335379297,79.697
Fe,I,3576.758,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",8.398,,1D-LTE,True,,3.2671,False,0.12145885223340006,0.5406888501544104,3.90160028550629,410.068
Fe,I,3599.625,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.601,,1D-LTE,True,,3.5732,False,0.16221595221220664,0.18507607293426395,3.1047004078976643,523.505
Fe,I,3617.318,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.477,,1D-LTE,False,"NON-MINIMUM: chi2 at a bracket end is not above the reported minimum (frac_rise = -0.117 <= 0), so the optimizer returned a point that is not a minimum and the fit did not determine A(X). A correctness failure, not a quality threshold. Measured and retained; excluded from the aggregate only (RYA-711).",3.4149,False,0.03276146087654598,-0.11727073398945383,2.9805728592085314,136.767
Fe,I,3624.28,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.406,,1D-LTE,True,,3.8835,False,0.08507920252360011,2.861752503729306,2.910162215692944,131.9
Fe,I,3632.555,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.639,,1D-LTE,True,,2.9488,False,0.03130231638865984,0.5059253547108727,3.1431446976011888,138.467
Fe,I,3636.994,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.247,,1D-LTE,True,,2.5881,False,0.04110982994740956,0.705585799323531,2.7509588731504744,103.949
Fe,I,3643.715,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.252,,1D-LTE,True,,2.6085,False,0.03295228205141342,3.2695582299033625,2.755789144719265,27.67
Fe,I,3650.098,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.048,,1D-LTE,True,,3.9841,False,0.05859648461969713,0.11336587919413783,2.5523082990964703,307.508
Fe,I,3656.21,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.498,,1D-LTE,True,,3.274,False,0.06700905977843938,1.5248561722192049,3.002479247284918,61.785
Fe,I,3664.537,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.648,,1D-LTE,True,,2.998,False,0.2736497011967314,0.3001014131136573,3.1520420896960815,281.879
Fe,I,3680.784,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.78,,1D-LTE,True,,3.9841,False,0.03023816666700639,0.07110961619630358,3.283667530350977,137.525
Fe,I,3703.821,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.386,,1D-LTE,True,,2.8581,False,0.03486084074022916,8.388466806219643,2.8901508613517803,42.162
Fe,I,3731.373,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.772,,1D-LTE,True,,2.6085,False,0.04224374103143927,0.7262008280071462,3.2762007600176055,116.243
Fe,I,3756.937,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.409,,1D-LTE,True,,3.5732,False,0.02781957274520842,1.4322995356270467,2.9127086047120114,63.747
Fe,I,3778.793,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-0.4 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule)",7.005,,1D-LTE,True,,3.2671,False,0.0449317088193296,0.5059286603146526,2.5087373672867583,66.935
