element,species,intake_status,primary_source_status,canonical_gf_status,HFS_status,band_coverage_status,source_ticket,last_verified,notes
K,K I|K II|K III,NOT_STARTED,PRIMARY_LAB=0;EVALUATED_NIST=0;FALLBACK=131,246 atomic rows inventoried,57 component rows,REPORT_PENDING,RECONCILE_EXISTING_TICKET,2026-08-29,Phase A wave not yet executed
Ba,Ba I|Ba II,NOT_STARTED,PRIMARY_LAB=0;EVALUATED_NIST=1;FALLBACK=10,115 atomic rows inventoried,4 component rows,REPORT_PENDING,RECONCILE_EXISTING_TICKET,2026-08-29,Phase A wave not yet executed
Y,Y I|Y II,NOT_STARTED,PRIMARY_LAB=0;EVALUATED_NIST=0;FALLBACK=2142,2160 atomic rows inventoried,76 component rows,REPORT_PENDING,RECONCILE_EXISTING_TICKET,2026-08-29,Phase A wave not yet executed
V,V I|V II|V III|V IV|V V,NOT_STARTED,PRIMARY_LAB=0;EVALUATED_NIST=0;FALLBACK=9586,9841 atomic rows inventoried,888 component rows,REPORT_PENDING,RECONCILE_EXISTING_TICKET,2026-08-29,Phase A wave not yet executed
Cu,Cu I|Cu II,NOT_STARTED,PRIMARY_LAB=0;EVALUATED_NIST=0;FALLBACK=2985,3030 atomic rows inventoried,332 component rows,REPORT_PENDING,RECONCILE_EXISTING_TICKET,2026-08-29,Phase A wave not yet executed
Mn,Mn I|Mn II|Mn III|Mn IV,NOT_STARTED,PRIMARY_LAB=0;EVALUATED_NIST=0;FALLBACK=9019,9318 atomic rows inventoried,1104 component rows,REPORT_PENDING,RECONCILE_EXISTING_TICKET,2026-08-29,Phase A wave not yet executed
Sc,Sc I|Sc II|Sc III|Sc IV|Sc V,NOT_STARTED,PRIMARY_LAB=0;EVALUATED_NIST=0;FALLBACK=3447,3609 atomic rows inventoried,515 component rows,REPORT_PENDING,RECONCILE_EXISTING_TICKET,2026-08-29,Phase A wave not yet executed
Li,Li I|Li II,NOT_STARTED,PRIMARY_LAB=0;EVALUATED_NIST=2;FALLBACK=0,18 atomic rows inventoried,12 component rows,REPORT_PENDING,RECONCILE_EXISTING_TICKET,2026-08-29,Phase A wave not yet executed
Eu,Eu I|Eu II|Eu III,NOT_STARTED,PRIMARY_LAB=0;EVALUATED_NIST=0;FALLBACK=70,280 atomic rows inventoried,7 component rows,REPORT_PENDING,RECONCILE_EXISTING_TICKET,2026-08-29,Phase A wave not yet executed
Zr,Zr I|Zr II,NOT_STARTED,PRIMARY_LAB=0;EVALUATED_NIST=0;FALLBACK=506,1048 atomic rows inventoried,3 component rows,REPORT_PENDING,RECONCILE_EXISTING_TICKET,2026-08-29,Phase A wave not yet executed
Sr,Sr I|Sr II,NOT_STARTED,PRIMARY_LAB=0;EVALUATED_NIST=0;FALLBACK=21,121 atomic rows inventoried,2 component rows,REPORT_PENDING,RECONCILE_EXISTING_TICKET,2026-08-29,Phase A wave not yet executed
