key_z,ion,element_raw,wavelength_air_A,excitation_potential_eV,gf_linelist_vald,reference_code,hfs_n_components,nist_log_gf,nist_grade,nist_acc_pct,nist_ref_tp,nist_ref_line,nist_wavelength_A,nist_ei_eV,n_nist_candidates,adjudicated,delta_nist_minus_vald,log_gf_used,gf_grade,gf_grade_source,gf_sigma_dex,gf_reference_tag,gf_ref_loggf,gf_delta_dex,gf_note
26,1,Fe 1,3004.074,3.2515,-1.617,VALD3,1,,,,,,,,0,False,,-1.617,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,VALD3,-1.617,0.0,"value confirmed against canonical_gf reference 'VALD3', but that reference publishes no per-line uncertainty we can cite and the line carries no NIST accuracy class — attributed, not graded. (NIST ASD itself is reachable again via astroquery; the lines1.pl CGI is broken only in its `unit` path — RYA-822.)"
26,1,Fe 1,3004.113,2.4327,-1.382,VALD3,1,-1.382265964635982,B,10.0,T5720,L11631,3004.1134,2.4326947,1,True,-0.0002659646359821,-1.382265964635982,GF-NIST,NIST ASD accuracy class B (<=10.0% on A_ki),0.04139268515822507,NIST ASD (astroquery) T5720,-1.382265964635982,0.0,"graded against NIST ASD, which for Fe I in this regime is largely a COMPILATION — agreement proves no transcription error, not independence (RYA-760: FMW *is* NIST and VALD copies it)"
26,1,Fe 1,3004.482,2.2227,-4.255,VALD3,1,,,,,,,,0,False,,-4.255,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,VALD3,-4.255,0.0,"value confirmed against canonical_gf reference 'VALD3', but that reference publishes no per-line uncertainty we can cite and the line carries no NIST accuracy class — attributed, not graded. (NIST ASD itself is reachable again via astroquery; the lines1.pl CGI is broken only in its `unit` path — RYA-822.)"
26,1,Fe 1,3004.488,3.274,-4.964,VALD3,1,,,,,,,,0,False,,-4.964,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,VALD3,-4.964,0.0,"value confirmed against canonical_gf reference 'VALD3', but that reference publishes no per-line uncertainty we can cite and the line carries no NIST accuracy class — attributed, not graded. (NIST ASD itself is reachable again via astroquery; the lines1.pl CGI is broken only in its `unit` path — RYA-822.)"
26,1,Fe 1,3004.628,1.5574,-2.237,VALD3,1,,,,,,,,0,False,,-2.237,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,VALD3,-2.237,0.0,"value confirmed against canonical_gf reference 'VALD3', but that reference publishes no per-line uncertainty we can cite and the line carries no NIST accuracy class — attributed, not graded. (NIST ASD itself is reachable again via astroquery; the lines1.pl CGI is broken only in its `unit` path — RYA-822.)"
26,1,Fe 1,3004.686,3.2515,-3.171,VALD3,1,,,,,,,,0,False,,-3.171,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,VALD3,-3.171,0.0,"value confirmed against canonical_gf reference 'VALD3', but that reference publishes no per-line uncertainty we can cite and the line carries no NIST accuracy class — attributed, not graded. (NIST ASD itself is reachable again via astroquery; the lines1.pl CGI is broken only in its `unit` path — RYA-822.)"
26,1,Fe 1,3004.853,2.998,-3.377,VALD3,1,,,,,,,,0,False,,-3.377,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,VALD3,-3.377,0.0,"value confirmed against canonical_gf reference 'VALD3', but that reference publishes no per-line uncertainty we can cite and the line carries no NIST accuracy class — attributed, not graded. (NIST ASD itself is reachable again via astroquery; the lines1.pl CGI is broken only in its `unit` path — RYA-822.)"
26,1,Fe 1,3004.879,2.8755,-4.555,VALD3,1,,,,,,,,0,False,,-4.555,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,VALD3,-4.555,0.0,"value confirmed against canonical_gf reference 'VALD3', but that reference publishes no per-line uncertainty we can cite and the line carries no NIST accuracy class — attributed, not graded. (NIST ASD itself is reachable again via astroquery; the lines1.pl CGI is broken only in its `unit` path — RYA-822.)"
26,1,Fe 1,3005.014,2.8325,-3.239,VALD3,1,,,,,,,,0,False,,-3.239,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,VALD3,-3.239,0.0,"value confirmed against canonical_gf reference 'VALD3', but that reference publishes no per-line uncertainty we can cite and the line carries no NIST accuracy class — attributed, not graded. (NIST ASD itself is reachable again via astroquery; the lines1.pl CGI is broken only in its `unit` path — RYA-822.)"
26,1,Fe 1,3005.303,2.4041,-1.224,VALD3,1,-1.224243962155902,C,25.0,T5720,L11631,3005.3025,2.40407444,1,True,-0.000243962155902,-1.224243962155902,GF-NIST,NIST ASD accuracy class C (<=25.0% on A_ki),0.09691001300805642,NIST ASD (astroquery) T5720,-1.224243962155902,0.0,"graded against NIST ASD, which for Fe I in this regime is largely a COMPILATION — agreement proves no transcription error, not independence (RYA-760: FMW *is* NIST and VALD copies it)"
26,1,Fe 1,3005.572,3.5465,-3.003,VALD3,1,,,,,,,,0,False,,-3.003,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,VALD3,-3.003,0.0,"value confirmed against canonical_gf reference 'VALD3', but that reference publishes no per-line uncertainty we can cite and the line carries no NIST accuracy class — attributed, not graded. (NIST ASD itself is reachable again via astroquery; the lines1.pl CGI is broken only in its `unit` path — RYA-822.)"
26,1,Fe 1,3005.723,2.5881,-1.907,VALD3,1,,,,,,,,0,False,,-1.907,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,VALD3,-1.907,0.0,"value confirmed against canonical_gf reference 'VALD3', but that reference publishes no per-line uncertainty we can cite and the line carries no NIST accuracy class — attributed, not graded. (NIST ASD itself is reachable again via astroquery; the lines1.pl CGI is broken only in its `unit` path — RYA-822.)"
26,1,Fe 1,3005.782,2.8316,-2.697,VALD3,1,,,,,,,,0,False,,-2.697,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,VALD3,-2.697,0.0,"value confirmed against canonical_gf reference 'VALD3', but that reference publishes no per-line uncertainty we can cite and the line carries no NIST accuracy class — attributed, not graded. (NIST ASD itself is reachable again via astroquery; the lines1.pl CGI is broken only in its `unit` path — RYA-822.)"
26,1,Fe 1,3005.973,2.998,-1.726,VALD3,1,,,,,,,,0,False,,-1.726,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,VALD3,-1.726,0.0,"value confirmed against canonical_gf reference 'VALD3', but that reference publishes no per-line uncertainty we can cite and the line carries no NIST accuracy class — attributed, not graded. (NIST ASD itself is reachable again via astroquery; the lines1.pl CGI is broken only in its `unit` path — RYA-822.)"
26,1,Fe 1,3006.448,3.3009,-2.616,VALD3,1,,,,,,,,0,False,,-2.616,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,VALD3,-2.616,0.0,"value confirmed against canonical_gf reference 'VALD3', but that reference publishes no per-line uncertainty we can cite and the line carries no NIST accuracy class — attributed, not graded. (NIST ASD itself is reachable again via astroquery; the lines1.pl CGI is broken only in its `unit` path — RYA-822.)"
26,1,Fe 1,3006.478,2.2786,-5.489,VALD3,1,,,,,,,,0,False,,-5.489,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,VALD3,-5.489,0.0,"value confirmed against canonical_gf reference 'VALD3', but that reference publishes no per-line uncertainty we can cite and the line carries no NIST accuracy class — attributed, not graded. (NIST ASD itself is reachable again via astroquery; the lines1.pl CGI is broken only in its `unit` path — RYA-822.)"
26,1,Fe 1,3006.538,3.2657,-1.67,VALD3,1,,,,,,,,0,False,,-1.67,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,VALD3,-1.67,0.0,"value confirmed against canonical_gf reference 'VALD3', but that reference publishes no per-line uncertainty we can cite and the line carries no NIST accuracy class — attributed, not graded. (NIST ASD itself is reachable again via astroquery; the lines1.pl CGI is broken only in its `unit` path — RYA-822.)"
26,1,Fe 1,3006.557718250326,3.23885,-0.9440027967300698,VALD3,2,,,,,,,,0,False,,-0.9440027967300698,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,VALD3,-0.9440027967300698,0.0,"value confirmed against canonical_gf reference 'VALD3', but that reference publishes no per-line uncertainty we can cite and the line carries no NIST accuracy class — attributed, not graded. (NIST ASD itself is reachable again via astroquery; the lines1.pl CGI is broken only in its `unit` path — RYA-822.)"
26,1,Fe 1,3006.605,2.5592,-2.334,VALD3,1,,,,,,,,0,False,,-2.334,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,VALD3,-2.334,0.0,"value confirmed against canonical_gf reference 'VALD3', but that reference publishes no per-line uncertainty we can cite and the line carries no NIST accuracy class — attributed, not graded. (NIST ASD itself is reachable again via astroquery; the lines1.pl CGI is broken only in its `unit` path — RYA-822.)"
26,1,Fe 1,3006.638,2.6085,-2.484,VALD3,1,,,,,,,,0,False,,-2.484,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,VALD3,-2.484,0.0,"value confirmed against canonical_gf reference 'VALD3', but that reference publishes no per-line uncertainty we can cite and the line carries no NIST accuracy class — attributed, not graded. (NIST ASD itself is reachable again via astroquery; the lines1.pl CGI is broken only in its `unit` path — RYA-822.)"
26,1,Fe 1,3006.662,3.283,-2.6,VALD3,1,,,,,,,,0,False,,-2.6,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,VALD3,-2.6,0.0,"value confirmed against canonical_gf reference 'VALD3', but that reference publishes no per-line uncertainty we can cite and the line carries no NIST accuracy class — attributed, not graded. (NIST ASD itself is reachable again via astroquery; the lines1.pl CGI is broken only in its `unit` path — RYA-822.)"
26,1,Fe 1,3006.798,3.3014,-4.194,VALD3,1,,,,,,,,0,False,,-4.194,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,VALD3,-4.194,0.0,"value confirmed against canonical_gf reference 'VALD3', but that reference publishes no per-line uncertainty we can cite and the line carries no NIST accuracy class — attributed, not graded. (NIST ASD itself is reachable again via astroquery; the lines1.pl CGI is broken only in its `unit` path — RYA-822.)"
26,1,Fe 1,3006.814,2.4688,-5.683,VALD3,1,,,,,,,,0,False,,-5.683,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,VALD3,-5.683,0.0,"value confirmed against canonical_gf reference 'VALD3', but that reference publishes no per-line uncertainty we can cite and the line carries no NIST accuracy class — attributed, not graded. (NIST ASD itself is reachable again via astroquery; the lines1.pl CGI is broken only in its `unit` path — RYA-822.)"
26,1,Fe 1,3007.145,1.4849,-1.157,VALD3,1,-1.1570165298777826,B+,7.0,T5720,L11631,3007.145,1.48486439,1,True,-1.6529877782556213e-05,-1.1570165298777826,GF-NIST,NIST ASD accuracy class B+ (<=7.0% on A_ki),0.029383777685209667,NIST ASD (astroquery) T5720,-1.1570165298777826,0.0,"graded against NIST ASD, which for Fe I in this regime is largely a COMPILATION — agreement proves no transcription error, not independence (RYA-760: FMW *is* NIST and VALD copies it)"
26,1,Fe 1,3007.178,3.2671,-3.269,VALD3,1,,,,,,,,0,False,,-3.269,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,VALD3,-3.269,0.0,"value confirmed against canonical_gf reference 'VALD3', but that reference publishes no per-line uncertainty we can cite and the line carries no NIST accuracy class — attributed, not graded. (NIST ASD itself is reachable again via astroquery; the lines1.pl CGI is broken only in its `unit` path — RYA-822.)"
26,1,Fe 1,3007.282,0.0873,-1.732,VALD3,1,-1.7316560860489354,A,3.0,T3547,L11631,3007.2822,0.08728574,1,True,0.0003439139510645,-1.7316560860489354,GF-NIST,NIST ASD accuracy class A (<=3.0% on A_ki),0.012837224705172217,NIST ASD (astroquery) T3547,-1.7316560860489354,0.0,"graded against NIST ASD, which for Fe I in this regime is largely a COMPILATION — agreement proves no transcription error, not independence (RYA-760: FMW *is* NIST and VALD copies it)"
26,1,Fe 1,3007.467,2.2786,-4.618,VALD3,1,,,,,,,,0,False,,-4.618,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,VALD3,-4.618,0.0,"value confirmed against canonical_gf reference 'VALD3', but that reference publishes no per-line uncertainty we can cite and the line carries no NIST accuracy class — attributed, not graded. (NIST ASD itself is reachable again via astroquery; the lines1.pl CGI is broken only in its `unit` path — RYA-822.)"
