element,ion,wavelength_air_A,instrument,ew_mA,ew_method,abundance,rew,treatment,in_aggregate,excluded_reason,problem_class,problem_status,problem_tickets,problem_action,ep_eV,continuum_level,continuum_method,continuum_ref,nlte_delta_dex,nlte_source,ew_inversion,profile_sigma_A,profile_sigma_floor_A,profile_gamma_A,sigma_A,frac_rise_weaker,edge_distance_dex,red_chi2,observed_depth,implied_width_A,observed_conditioning
Fe,I,4875.8768,kpno_solar_atlas,100.4706295961383,"PROFILE-FIT (voigt); gap 0.309 A; model integrated; chi2_red=0.03105; sigma_fit=0.0041 A (init 0.0280, floor 0.0041); ew_err=17.42 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno_molecfit_corrected · lm0484[uncorrected: no telluric band registered]",,-4.6860135998963655,,False,REW -4.686 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditioned here. Measured and reported; excluded from the aggregate only.,,,,,3.332,1.0,"pre-normalised: solar_kpno_molecfit_corrected ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.004141188540950052,0.004141188540950051,0.06125715770954884,,,,0.03105049155230922,0.59392,0.15892014893762935,
Fe,I,4896.4382,kpno_solar_atlas,58.57232634191704,"PROFILE-FIT (voigt); gap 0.539 A; model integrated; chi2_red=0.0004843; sigma_fit=0.0042 A (init 0.0281, floor 0.0042); ew_err=2.79 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno_molecfit_corrected · lm0488[uncorrected: no telluric band registered]",,-4.9221878040353335,,True,,,,,,3.8835,1.0,"pre-normalised: solar_kpno_molecfit_corrected ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.004158651786849055,0.00415865178654844,0.0560294127365965,,,,0.0004842745052309886,0.36475,0.15085682485471819,
Fe,I,4905.1325,kpno_solar_atlas,49.11897352248977,"PROFILE-FIT (voigt); gap 0.086 A; model integrated; chi2_red=0.0003678; sigma_fit=0.0042 A (init 0.0281, floor 0.0042); ew_err=16.61 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno_molecfit_corrected · lm0488[uncorrected: no telluric band registered]",,-4.999401460826367,,True,,,,,,3.9286,1.0,"pre-normalised: solar_kpno_molecfit_corrected ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.004166036342879743,0.0041660360452178925,0.048503755109718646,,,,0.00036777241796960813,0.34006000000000003,0.13569427400602252,
Fe,I,4907.7315,kpno_solar_atlas,89.74055493975509,"PROFILE-FIT (voigt); gap 0.224 A; model integrated; chi2_red=0.007667; sigma_fit=0.0042 A (init 0.0281, floor 0.0042); ew_err=6.54 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno_molecfit_corrected · lm0488[uncorrected: no telluric band registered]",,-4.737892043824127,,False,REW -4.738 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditioned here. Measured and reported; excluded from the aggregate only.,,,,,3.4302,1.0,"pre-normalised: solar_kpno_molecfit_corrected ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.0041682434333935375,0.004168243432619054,0.05043002432293303,,,,0.0076667938193613,0.59267,0.14224715730777682,
Fe,I,4911.5294,kpno_solar_atlas,195.76577380423305,"PROFILE-FIT (voigt); gap 0.269 A; model integrated; chi2_red=0.01802; sigma_fit=0.4000 A (init 0.0282, floor 0.0042); ew_err=249.58 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno_molecfit_corrected · lm0488[uncorrected: no telluric band registered]",,-4.399479982673926,,False,"OVER-PHYSICAL-WIDTH: the fitted voigt profile has Gaussian sigma 0.4000 A, PINNED at the optimiser's upper bound 0.4000 A, against the 0.0716 A that instrumental + thermal + microturbulent + macroturbulent + rotational broadening together permit at this wavelength (instrumental sigma 0.0042 A; vmac and vsini are counted as Gaussian sigmas, which overstates both, so this is a ceiling and not an expectation). No Doppler mechanism can make a line this wide, so the integrated EW is absorption from something else, not this line's EW.",,,,,4.2562,1.0,"pre-normalised: solar_kpno_molecfit_corrected ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.39999999999999997,0.004171469071946051,0.39999999999999997,,,,0.01801675283570747,0.45084,0.4079266830919621,
Fe,I,4934.0834,kpno_solar_atlas,253.71779834331838,"PROFILE-FIT (voigt); gap 0.893 A; model integrated; chi2_red=0.005434; sigma_fit=0.0480 A (init 0.0283, floor 0.0042); ew_err=39.96 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno_molecfit_corrected · lm0492[uncorrected: no telluric band registered]",,-4.288855551907596,,False,REW -4.289 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditioned here. Measured and reported; excluded from the aggregate only.,,,,,3.3014,1.0,"pre-normalised: solar_kpno_molecfit_corrected ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.04802933052331526,0.004190624676196058,0.07667418164937126,,,,0.005433835079913078,0.90613,0.26304388777914206,
Fe,I,5023.497,kpno_solar_atlas,123.70008827782364,"PROFILE-FIT (voigt); gap 0.312 A; model integrated; chi2_red=0.009956; sigma_fit=0.3825 A (init 0.0288, floor 0.0043); ew_err=152.78 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno_molecfit_corrected · lm0500[uncorrected: no telluric band registered]",,-4.608636137676887,,False,"OVER-PHYSICAL-WIDTH: the fitted voigt profile has Gaussian sigma 0.3825 A, against the 0.0732 A that instrumental + thermal + microturbulent + macroturbulent + rotational broadening together permit at this wavelength (instrumental sigma 0.0043 A; vmac and vsini are counted as Gaussian sigmas, which overstates both, so this is a ceiling and not an expectation). No Doppler mechanism can make a line this wide, so the integrated EW is absorption from something else, not this line's EW.",,,,,4.3125,1.0,"pre-normalised: solar_kpno_molecfit_corrected ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.38245934909355206,0.004266565597370499,0.13266115313750315,,,,0.009955572820643728,0.38682000000000005,0.3004200256104268,
Fe,I,5099.0767,kpno_solar_atlas,350.2444459604622,"PROFILE-FIT (voigt); gap 1.557 A; model integrated; chi2_red=0.03923; sigma_fit=0.4000 A (init 0.0292, floor 0.0043); ew_err=201.31 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno_molecfit_corrected · lm0508[uncorrected: no telluric band registered]",,-4.163120287507395,,False,"OVER-PHYSICAL-WIDTH: the fitted voigt profile has Gaussian sigma 0.4000 A, PINNED at the optimiser's upper bound 0.4000 A, against the 0.0743 A that instrumental + thermal + microturbulent + macroturbulent + rotational broadening together permit at this wavelength (instrumental sigma 0.0043 A; vmac and vsini are counted as Gaussian sigmas, which overstates both, so this is a ceiling and not an expectation). No Doppler mechanism can make a line this wide, so the integrated EW is absorption from something else, not this line's EW.",,,,,3.9841,1.0,"pre-normalised: solar_kpno_molecfit_corrected ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.3999999999658259,0.004330757085467254,0.30354550558413035,,,,0.039225597025623116,0.77855,0.42262242526846544,
Fe,I,5129.6308,kpno_solar_atlas,210.5209843230474,"PROFILE-FIT (voigt); gap 0.270 A; model integrated; chi2_red=0.01796; sigma_fit=0.2926 A (init 0.0294, floor 0.0044); ew_err=39.76 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno_molecfit_corrected · lm0512[uncorrected: no telluric band registered]",,-4.3867907163693625,,False,"OVER-PHYSICAL-WIDTH: the fitted voigt profile has Gaussian sigma 0.2926 A, against the 0.0748 A that instrumental + thermal + microturbulent + macroturbulent + rotational broadening together permit at this wavelength (instrumental sigma 0.0044 A; vmac and vsini are counted as Gaussian sigmas, which overstates both, so this is a ceiling and not an expectation). No Doppler mechanism can make a line this wide, so the integrated EW is absorption from something else, not this line's EW.",,,,,3.9433,1.0,"pre-normalised: solar_kpno_molecfit_corrected ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.2925777467510942,0.004356707349181678,5.143314992032662e-09,,,,0.01796324628900637,0.56301,0.35127486300707916,
Fe,I,5285.1268,kpno_solar_atlas,41.08937130908383,"PROFILE-FIT (voigt); gap 0.509 A; model integrated; chi2_red=0.003813; sigma_fit=0.0045 A (init 0.0303, floor 0.0045); ew_err=13.51 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno_molecfit_corrected · lm0528[uncorrected: no telluric band registered]",,-5.109325914940639,,True,,,,,,4.4346,1.0,"pre-normalised: solar_kpno_molecfit_corrected ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.004488887115803385,0.004488773494364749,0.04936857183915291,,,,0.0038129143489641524,0.27741000000000005,0.13914742498859176,
Fe,I,5288.5247,kpno_solar_atlas,67.55425362657324,"PROFILE-FIT (voigt); gap 0.059 A; model integrated; chi2_red=0.0001397; sigma_fit=0.0272 A (init 0.0303, floor 0.0045); ew_err=1.28 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno_molecfit_corrected · lm0528[uncorrected: no telluric band registered]",,-4.8936818370215995,,False,REW -4.894 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditioned here. Measured and reported; excluded from the aggregate only.,,,,,3.6946,1.0,"pre-normalised: solar_kpno_molecfit_corrected ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.027225807922141188,0.004491659404965135,0.02602840640772166,,,,0.00013972078659258043,0.53896,0.11775082416419408,
Fe,I,5373.7082,kpno_solar_atlas,73.16921904701917,"PROFILE-FIT (voigt); gap 2.272 A; model integrated; chi2_red=9.137e-05; sigma_fit=0.0323 A (init 0.0308, floor 0.0046); ew_err=0.74 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno_molecfit_corrected · lm0536[uncorrected: no telluric band registered]",,-4.865945660202369,,False,REW -4.866 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditioned here. Measured and reported; excluded from the aggregate only.,,,,,4.4733,1.0,"pre-normalised: solar_kpno_molecfit_corrected ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.03229958256020111,0.004564007609923476,0.02476447850704316,,,,9.136687321881265e-05,0.5474399999999999,0.12556242150027475,
Fe,I,5379.5734,kpno_solar_atlas,67.65803003345668,"PROFILE-FIT (voigt); gap 0.764 A; model integrated; chi2_red=4.097e-05; sigma_fit=0.0354 A (init 0.0308, floor 0.0046); ew_err=3.63 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno_molecfit_corrected · lm0536[uncorrected: no telluric band registered]",,-4.900428489002141,,True,,,,,,3.6946,1.0,"pre-normalised: solar_kpno_molecfit_corrected ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.035388279165873365,0.0045689890522417845,0.01647831379218618,,,,4.096991407939888e-05,0.55314,0.11490847817335548,
Fe,I,5403.8215,kpno_solar_atlas,261.28717965469997,"PROFILE-FIT (voigt); gap 0.472 A; model integrated; chi2_red=0.01504; sigma_fit=0.0046 A (init 0.0310, floor 0.0046); ew_err=19.34 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno_molecfit_corrected · lm0540[uncorrected: no telluric band registered]",,-4.315582893784188,,False,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.327 A from the catalogued position (depth 0.788 vs 0.565 at the line) — the EW is an upper bound on a blend, not this line",,,,,4.0758,1.0,"pre-normalised: solar_kpno_molecfit_corrected ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.004589583492582384,0.004589583492581174,0.1462557335909583,,,,0.015040763470113157,0.79026,0.31061032699860586,
Fe,I,5473.9004,kpno_solar_atlas,102.9119462935694,"PROFILE-FIT (voigt); gap 0.323 A; model integrated; chi2_red=0.001105; sigma_fit=0.0174 A (init 0.0314, floor 0.0046); ew_err=9.15 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno_molecfit_corrected · lm0544[uncorrected: no telluric band registered]",,-4.725831099216819,,False,REW -4.726 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditioned here. Measured and reported; excluded from the aggregate only.,,,,,4.1544,1.0,"pre-normalised: solar_kpno_molecfit_corrected ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.017423624235432245,0.004649103031229563,0.048884338751567655,,,,0.001105471600485511,0.62607,0.15442253864857847,
Fe,I,5481.438,kpno_solar_atlas,196.371812876993,"PROFILE-FIT (voigt); gap 0.028 A; model integrated; chi2_red=0.02476; sigma_fit=0.0047 A (init 0.0314, floor 0.0047); ew_err=43.62 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno_molecfit_corrected · lm0544,lm0548[uncorrected: no telluric band registered]",,-4.4458153567236485,,False,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.573 A from the catalogued position (depth 0.501 vs 0.481 at the line) — the EW is an upper bound on a blend, not this line",,,,,4.1909,1.0,"pre-normalised: solar_kpno_molecfit_corrected ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.004655504879353837,0.004655504879353836,0.2317774664610508,,,,0.024760993148548426,0.5010399999999999,0.3681921633052841,
Fe,I,5483.0985,kpno_solar_atlas,75.47372458569774,"PROFILE-FIT (voigt); gap 0.279 A; model integrated; chi2_red=0.01069; sigma_fit=0.0047 A (init 0.0314, floor 0.0047); ew_err=9.34 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno_molecfit_corrected · lm0548[uncorrected: no telluric band registered]",,-4.861230265040091,,False,REW -4.861 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditioned here. Measured and reported; excluded from the aggregate only.,,,,,4.1544,1.0,"pre-normalised: solar_kpno_molecfit_corrected ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.004656915178230183,0.0046569151782301825,0.06631287118425308,,,,0.010690677170921425,0.42896,0.16529007468788431,
Fe,I,5493.4987,kpno_solar_atlas,67.41741491433592,"PROFILE-FIT (voigt); gap 0.177 A; model integrated; chi2_red=0.005064; sigma_fit=0.0047 A (init 0.0315, floor 0.0047); ew_err=10.60 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno_molecfit_corrected · lm0548[uncorrected: no telluric band registered]",,-4.911076930370425,,True,,,,,,4.1034,1.0,"pre-normalised: solar_kpno_molecfit_corrected ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.004665748294986454,0.004665748294986453,0.07270986393380309,,,,0.005063564299589352,0.36305,0.1744509924365488,
Fe,I,5532.7462,kpno_solar_atlas,66.44469201610461,"PROFILE-FIT (voigt); gap 0.118 A; model integrated; chi2_red=0.0009585; sigma_fit=0.0627 A (init 0.0317, floor 0.0047); ew_err=6.70 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno_molecfit_corrected · lm0552[uncorrected: no telluric band registered]",,-4.920480455843014,,True,,,,,,3.5732,1.0,"pre-normalised: solar_kpno_molecfit_corrected ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.06266362168487083,0.004699082052980695,0.03475265652224739,,,,0.0009584593931121783,0.35682,0.17493587986000161,
Fe,I,5554.8938,kpno_solar_atlas,110.41710933860429,"PROFILE-FIT (voigt); gap 0.228 A; model integrated; chi2_red=0.000261; sigma_fit=0.0440 A (init 0.0319, floor 0.0047); ew_err=6.01 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno_molecfit_corrected · lm0552[uncorrected: no telluric band registered]",,-4.701639387040318,,False,REW -4.702 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditioned here. Measured and reported; excluded from the aggregate only.,,,,,4.5485,1.0,"pre-normalised: solar_kpno_molecfit_corrected ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.04395360669937605,0.004717892492844464,0.036144382290585274,,,,0.00026099323076951835,0.61312,0.16918376291580814,
Fe,I,5563.5995,kpno_solar_atlas,108.84250569929547,"PROFILE-FIT (voigt); gap 0.085 A; model integrated; chi2_red=0.0004798; sigma_fit=0.0603 A (init 0.0319, floor 0.0047); ew_err=19.90 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno_molecfit_corrected · lm0556[uncorrected: no telluric band registered]",,-4.708557328162439,,False,REW -4.709 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditioned here. Measured and reported; excluded from the aggregate only.,,,,,4.1909,1.0,"pre-normalised: solar_kpno_molecfit_corrected ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.06027851769130381,0.004725286433782625,0.019067860131667235,,,,0.00047979057046808473,0.60405,0.16927523774687103,
Fe,I,5573.1017,kpno_solar_atlas,263.0909947401096,"PROFILE-FIT (voigt); gap 0.574 A; model integrated; chi2_red=0.005464; sigma_fit=0.0047 A (init 0.0320, floor 0.0047); ew_err=9.97 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno_molecfit_corrected · lm0556[uncorrected: no telluric band registered]",,-4.325990985283937,,False,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.247 A from the catalogued position (depth 0.791 vs 0.442 at the line) — the EW is an upper bound on a blend, not this line",,,,,4.1909,1.0,"pre-normalised: solar_kpno_molecfit_corrected ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.004733356859562906,0.004733356859547651,0.13965450753305972,,,,0.005463501789576124,0.7924,0.31191000523603335,
Fe,I,5618.632,kpno_solar_atlas,59.252497142566334,"PROFILE-FIT (voigt); gap 0.963 A; model integrated; chi2_red=0.0001783; sigma_fit=0.0307 A (init 0.0322, floor 0.0048); ew_err=7.11 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno_molecfit_corrected · lm0560[uncorrected: no telluric band registered]",,-4.976923930300804,,True,,,,,,4.2089,1.0,"pre-normalised: solar_kpno_molecfit_corrected ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.0307292118679135,0.004772026736650783,0.025183075589185297,,,,0.0001782831186141231,0.45348,0.1227485328388714,
Fe,I,5638.2617,kpno_solar_atlas,90.85125990953051,"PROFILE-FIT (voigt); gap 0.476 A; model integrated; chi2_red=0.0007763; sigma_fit=0.0335 A (init 0.0323, floor 0.0048); ew_err=12.14 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno_molecfit_corrected · lm0560[uncorrected: no telluric band registered]",,-4.792814275381756,,False,REW -4.793 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditioned here. Measured and reported; excluded from the aggregate only.,,,,,4.2204,1.0,"pre-normalised: solar_kpno_molecfit_corrected ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.03352881254689763,0.004788698669112713,0.031521558220007316,,,,0.0007763091070118913,0.59903,0.1424787746454169,
Fe,I,5658.5313,kpno_solar_atlas,281.55472433539677,"PROFILE-FIT (voigt); gap 0.126 A; model integrated; chi2_red=0.01206; sigma_fit=0.1546 A (init 0.0324, floor 0.0048); ew_err=62.07 mA; continuum linear anchors at +/-1.2 A; source holding=solar_kpno_molecfit_corrected · lm0564[uncorrected: no telluric band registered]",,-4.303140903553705,,False,"OVER-PHYSICAL-WIDTH: the fitted voigt profile has Gaussian sigma 0.1546 A, against the 0.0825 A that instrumental + thermal + microturbulent + macroturbulent + rotational broadening together permit at this wavelength (instrumental sigma 0.0048 A; vmac and vsini are counted as Gaussian sigmas, which overstates both, so this is a ceiling and not an expectation). No Doppler mechanism can make a line this wide, so the integrated EW is absorption from something else, not this line's EW.",,,,,3.4302,1.0,"pre-normalised: solar_kpno_molecfit_corrected ships its own continuum and unity IS it, by construction — no local fit is made",,,,True,0.15456024622207817,0.004805914082605039,0.09787595193214131,,,,0.012055468481111307,0.7060500000000001,0.374623615940338,
