# Heiter et al. 2021, A&A 645 A106 (2021A&A...645A.106H) — VizieR J/A+A/645/A106, refs.dat. THE DECODER: reference code -> author + bibcode.
# Source: J_A+A_645_A106_refs.dat.fits.gz  md5 a13d2b2da911f2983eb86e7eb2d8e14b
Ref	Aut	BibCode	Com
LGWSC	Lawler et al.	2013ApJS..205...11L	
LGa	Loginov and Gruzdev	1978OptSp..44..500L	
LGb	Lotrian and Guern	1982JPhB...15...69L	
LMW	Lambert et al.	1969MNRAS.142...71L	
LN	Lindgard and Nielson	1977ADNDT..19..533L	
LNAJ	Ljung et al.	2006A&A...456.1181L	
LNWLX	Lundqvist et al.	2006A&A...450..407L	
LSC	Lawler et al.	2004ApJ...604..850L	
LSCI	Lawler et al.	2009ApJS..182...51L	
LSCW	Lawler et al.	2008ApJS..178...71L	
LV	Laughlin and Victor	1974ApJ...192..551L	
LWCS	Lawler et al.	2001ApJS..137..341L	
LWG	Lawler et al.	1990Natur.346..635L	
LWHS	Lawler et al.	2001ApJ...562.1075L	
LWST	Lennard et al.	1975ApJ...197..517L	
LWa	Lambert and Warner	1968MNRAS.138..181L	
LZ	Lincke and Ziegenbein	1971ZPhy..241..369L	
LZLS	Li et al.		2001, Journal of Physics B: Atomic, Molecular and Optical Physics, 34, 1349
La	Lilly	1976JOSA...66..971L	
M	Murphy	1968JOSA...58.1200M	
MC	Meggers et al.	1975tsip.book.....M	
MCa	McEachran and Cohen,	1971JQSRT..11.1819M	
MER	Matheron et al.	2001JQSRT..69..535M	
MFW	Martin et al.		1988, J. Phys. Chem. Ref. Data Suppl., 17, 3
MIGa	Migdalek	1976JQSRT..16..265M	
MIGb	Migdalek	1976CaJPh..54.2272M	
MRB	Miller et al.	1971PhRvA...4.1709M	
MRW	May et al.	1974A&AS...18..405M	
MULT	Kurucz		1993, estimated from multiplet table intensity
MW	Miles and Wiese	1969AD......1....1M	
MWRB	Miller et al.	1974PhRvA...9.2312M	
NG	Grevesse	1969SoPh....6..381G	
NHEL	Nilsson et al.	2010A&A...511A..16N	
NI	Nilsson and Ivarsson	2008A&A...492..609N	
NIJL	Nilsson et al.	2002A&A...381.1090N	
NIST10	Ralchenko et al.		2010, NIST Atomic Spectra Database (ver. 4.0.0)
NLLN	Nilsson et al.	2006A&A...445.1165N	
NUSb	Nussbaumer	1971ApJ...170...93N	
NWL	Nitz et al.	1998AoJS..117..313N	
NZL	Nilsson et al.	2002A&A...382..368N	
OK	Obbarius and Kock	1982JPhB...15..527O	
PGBH	Pinnington et al.	1993CaJPh..71..470P	
PGHcor	Pauls et al.	1990A&A...231..536P	
PGK	Penkin et al.	1984OptSp..57..488P	
PK	Penkin and Komarovskii	1976JQSRT..16..217.	
PN	Pitts and Newsom	1986JQSRT..35..383P	
PQB	Palmeri et al.		2001, Physica Scripta, 63, 468
PQWB	Palmeri et al.		2000, Physica Scripta, 61, 323
PRT	Parkinson et al.	1976RSPSA.351..569P	
PST	Pfennig et al.	1965JQSRT...5..335P	
PSa	Penkin and Shabanova	1963OptSp..14....5P	
PTP	Pickering et al.	2001ApJS..132..403P	
PV	Plekhotkin and Verolainen	1985OptSp..58..447P	
QPB	Quinet et al.		1999, Journal of Quantative Spectrsocopy and radiative transfert, 62, 625
QPBM	Quinet et al.	1999MNRAS.307..934Q	
RHL	Ryabchikova et al.	1994MNRAS.267..697R	
RPU	Raassen et al.	1998A&AS..130..541R	
RRKB	Ryabchikovaet al.	2008A&A...456..329R	
RSa	Ryabchikova and Smirnov		1989, Astron. Tsirk., 1534, 21
RU	Raassen and Uylings	1998A&A...340..300R	
RW	Rosberg and Wyart	1997PhyS...55..690R	
S	Smith		1988, Journal of Physics B: Atomic, Molecular and Optical Physics, 21, 2827
S-G	Schulz-Gulde	1969JQSRT...9...13S	
SCRJ	Sansonetti and Reader		2001, Physica Scripta, 73, 219
SDL	Salih et al.	1983PhRvA..27.1193S	
SDcor	Schnehage et al.	1983JQSRT..29..507S	
SEN	Sengupta	1975JQSRT..15..159S	
SG	Smith and Gallagher	1966PhRv..145...26S	
SK	Smith and Kuehne	1978RSPSA.362..263S	
SLS	Sobeck et al.	2007ApJ...667.1267S	
SLb	Salih and Lawler	1985JOSAB...2..422S	
SLd	Sigut and Landstreet	1990MNRAS.247..611S	
SN	Smith and O'Neill	1995A&A....38....1S	
SPN	Sikstroem et al.		2001, Journal of Physics B: Atomic, Molecular and Optical Physics, 34, 477
SR	Smith and Raggett		1981, Journal of Physics B Atomic Molecular Physics, 14, 4015
Si2-av1	Ryabchikova		2012, averaged transition probabilities from references S-G, BBC, MER
Si2-av2	Ryabchikova		2012, averaged transition probabilities from references Bar, BBC, MER
Sm	Smith	1981A&A...103..351S	
T	Theodosiou		1989, Phys. Rev. A, 39.4880
T83av	Ryabchikova et al.		1999, Physica Scripta Volume T, 83, 162
TB	Seaton et al.	1994MNRAS.266..805S	
TZ	Trefftz and Zare	1969JQSRT...9..643T	
UR	Uylings and Raassen	1997A&AS..125..539U	
VGH	Vaeck et al.	1988PhRvA..38.2830V	
WBW	Wolnik et al.	1971ApJ...166L..31W	
WBb	Whaling and Brault	1988PhyS...38..707W	
WEI	Weiss	1974PhRvA...9.1524W	
WGTG	Werij et al.	1992PhRvA..46.1248W	
WL	Wickliffe et al.		1994. Journal of the Optical Society of America B Optical Physics, 14, 737
WLHK	Wallace and Hinkle	2009ApJ...700..720W	
WLN	Wickliffe et al.		2000, J. Quant. Spectrosc. Radiat. Transfer, 66, 363
WLSC	Wood et al.	2013ApJS..208...27W	
WLa	Wickliffe and Lawler	1997ApJS..110..163W	
WM	Wiese and Martin	1980wtpa.book.....W	
WSG	Wiese et al.	1966atp..book.....W	
WSL	Wickliffe et al.	1994JQSRT..51..545W	
WSM	Wiese et al.	1969atp..book.....W	
WTCR	Wyart et al.	2008A&A...483..339W	
WV	Ward et al.	1985PhyS...31..161W	
Wa	Warner	1968MNRAS.140...53W	
Wc	Warner	1968MNRAS.139..115W	
Wd	Warner	1968MNRAS.141..273W	
XJZD	Xu et al.		2003. Journal of Physics B Atomic Molecular Physics. 36, 1771
XSCL	Xu et al.	2003MNRAS.346..433X	
XSQG	Xu et al.		2003, Journal of Physics B: Atomic, Molecular and Optical Physics, 36, 4773
ZLLZ	Zhiguo et al.		2000, Journal of Physics B: Atomic, Molecular and Optical Physics, 33, 521
ZS	Zhang et al.	2002A&A...384..364Z	
ZZZ	Zhiguo et al.		1999, European Physical Journal D, 7,499
Kurucz.database	Kurucz		2010, http://kurucz.harvard.edu/LINELISTS/LINESMOL/sihnew.asc
B.Plez.priv.comm	Plez.		private communication
T.Masseron.priv.com	Masseron		private communication
Quercy.priv.comm	Quercy		private communication
