wave,symptom,fault_domain,mechanism,discriminator,fix
3264.3898,REW -3.799 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditio,METHOD,EW->abundance inversion runs on the flat part of the curve of growth,REW above -4.9; the line itself is real and well measured,"measure by synthesis, which uses the profile shape rather than inverting EW"
3275.2391,REW -4.043 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditio,METHOD,EW->abundance inversion runs on the flat part of the curve of growth,REW above -4.9; the line itself is real and well measured,"measure by synthesis, which uses the profile shape rather than inverting EW"
3303.7255,FIT-PINNED: fitted sigma 0.0028 A sits on the instrumental floor 0.0028 A. No observed fea,UNKNOWN,,,
3349.1084,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.303 A from the catalogued p,ATOMIC-DATA,a real solar line missing from our list dominates the window,the dominant feature at 3349.411 (depth 0.959) has NO catalogue entry within 0.05 A — absence of a neighbour in our list is not absence in the spectrum,extend the IR line list from a graded source before measuring this region
3370.2623,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.528 A from the catalogued p,METHOD,integration window wide enough to swallow a KNOWN neighbour,the dominant feature at 3370.790 IS in our catalogue (1 entry/entries within 0.05 A),"narrow the window, or measure by profile fitting/synthesis which models the neighbour instead of integrating over it"
3393.8562,REW -3.837 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditio,METHOD,EW->abundance inversion runs on the flat part of the curve of growth,REW above -4.9; the line itself is real and well measured,"measure by synthesis, which uses the profile shape rather than inverting EW"
3421.9436,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.555 A from the catalogued p,METHOD,integration window wide enough to swallow a KNOWN neighbour,the dominant feature at 3422.498 IS in our catalogue (1 entry/entries within 0.05 A),"narrow the window, or measure by profile fitting/synthesis which models the neighbour instead of integrating over it"
3423.2389,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.479 A from the catalogued p,METHOD,integration window wide enough to swallow a KNOWN neighbour,the dominant feature at 3423.718 IS in our catalogue (2 entry/entries within 0.05 A),"narrow the window, or measure by profile fitting/synthesis which models the neighbour instead of integrating over it"
3436.3731,FIT-PINNED: fitted sigma 0.0029 A sits on the instrumental floor 0.0029 A. No observed fea,UNKNOWN,,,
3438.4145,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.175 A from the catalogued p,ATOMIC-DATA,a real solar line missing from our list dominates the window,the dominant feature at 3438.239 (depth 0.887) has NO catalogue entry within 0.05 A — absence of a neighbour in our list is not absence in the spectrum,extend the IR line list from a graded source before measuring this region
3443.0426,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.600 A from the catalogued p,METHOD,integration window wide enough to swallow a KNOWN neighbour,the dominant feature at 3443.643 IS in our catalogue (1 entry/entries within 0.05 A),"narrow the window, or measure by profile fitting/synthesis which models the neighbour instead of integrating over it"
3462.2242,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.561 A from the catalogued p,ATOMIC-DATA,a real solar line missing from our list dominates the window,the dominant feature at 3461.663 (depth 0.965) has NO catalogue entry within 0.05 A — absence of a neighbour in our list is not absence in the spectrum,extend the IR line list from a graded source before measuring this region
3484.0132,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.229 A from the catalogued p,ATOMIC-DATA,a real solar line missing from our list dominates the window,the dominant feature at 3483.784 (depth 0.952) has NO catalogue entry within 0.05 A — absence of a neighbour in our list is not absence in the spectrum,extend the IR line list from a graded source before measuring this region
3500.8861,REW -3.931 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditio,METHOD,EW->abundance inversion runs on the flat part of the curve of growth,REW above -4.9; the line itself is real and well measured,"measure by synthesis, which uses the profile shape rather than inverting EW"
3502.8537,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.565 A from the catalogued p,ATOMIC-DATA,a real solar line missing from our list dominates the window,the dominant feature at 3502.289 (depth 0.943) has NO catalogue entry within 0.05 A — absence of a neighbour in our list is not absence in the spectrum,extend the IR line list from a graded source before measuring this region
3507.1996,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.500 A from the catalogued p,METHOD,integration window wide enough to swallow a KNOWN neighbour,the dominant feature at 3507.700 IS in our catalogue (1 entry/entries within 0.05 A),"narrow the window, or measure by profile fitting/synthesis which models the neighbour instead of integrating over it"
3515.399,FIT-PINNED: fitted sigma 0.0030 A sits on the instrumental floor 0.0030 A. No observed fea,UNKNOWN,,,
3527.0562,FIT-PINNED: fitted sigma 0.0030 A sits on the instrumental floor 0.0030 A. No observed fea,UNKNOWN,,,
3531.9299,FIT-PINNED: fitted sigma 0.0030 A sits on the instrumental floor 0.0030 A. No observed fea,UNKNOWN,,,
3544.0104,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.327 A from the catalogued p,ATOMIC-DATA,a real solar line missing from our list dominates the window,the dominant feature at 3543.684 (depth 0.845) has NO catalogue entry within 0.05 A — absence of a neighbour in our list is not absence in the spectrum,extend the IR line list from a graded source before measuring this region
3548.2414,REW -3.833 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditio,METHOD,EW->abundance inversion runs on the flat part of the curve of growth,REW above -4.9; the line itself is real and well measured,"measure by synthesis, which uses the profile shape rather than inverting EW"
3571.0935,REW -3.821 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditio,METHOD,EW->abundance inversion runs on the flat part of the curve of growth,REW above -4.9; the line itself is real and well measured,"measure by synthesis, which uses the profile shape rather than inverting EW"
3583.0834,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.255 A from the catalogued p,ATOMIC-DATA,a real solar line missing from our list dominates the window,the dominant feature at 3583.339 (depth 0.873) has NO catalogue entry within 0.05 A — absence of a neighbour in our list is not absence in the spectrum,extend the IR line list from a graded source before measuring this region
3585.3883,FEATURE-VERIFICATION: GF-GHOST: observed depth 0.764 vs predicted 0.079 (x9.7) at the corr,ATOMIC-DATA,"log gf too weak, or an uncatalogued blend adds depth at this position","0.845 observed vs 0.079 predicted — the line is present and correctly placed, so this is not a positional error. Deeper than predicted has TWO explanations and this test does not separate them; a synthesis fit would","re-adjudicate log gf against NIST; if it holds, look for an uncatalogued blend by fitting the profile"
3597.2337,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.479 A from the catalogued p,ATOMIC-DATA,a real solar line missing from our list dominates the window,the dominant feature at 3597.713 (depth 0.951) has NO catalogue entry within 0.05 A — absence of a neighbour in our list is not absence in the spectrum,extend the IR line list from a graded source before measuring this region
3614.6872,REW -3.895 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditio,METHOD,EW->abundance inversion runs on the flat part of the curve of growth,REW above -4.9; the line itself is real and well measured,"measure by synthesis, which uses the profile shape rather than inverting EW"
3615.9549,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.290 A from the catalogued p,METHOD,integration window wide enough to swallow a KNOWN neighbour,the dominant feature at 3615.665 IS in our catalogue (1 entry/entries within 0.05 A),"narrow the window, or measure by profile fitting/synthesis which models the neighbour instead of integrating over it"
3622.0657,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.597 A from the catalogued p,ATOMIC-DATA,a real solar line missing from our list dominates the window,the dominant feature at 3621.469 (depth 0.934) has NO catalogue entry within 0.05 A — absence of a neighbour in our list is not absence in the spectrum,extend the IR line list from a graded source before measuring this region
3623.5085,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.316 A from the catalogued p,ATOMIC-DATA,a real solar line missing from our list dominates the window,the dominant feature at 3623.192 (depth 0.915) has NO catalogue entry within 0.05 A — absence of a neighbour in our list is not absence in the spectrum,extend the IR line list from a graded source before measuring this region
3624.8673,REW -3.871 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditio,METHOD,EW->abundance inversion runs on the flat part of the curve of growth,REW above -4.9; the line itself is real and well measured,"measure by synthesis, which uses the profile shape rather than inverting EW"
3640.637,FIT-PINNED: fitted sigma 0.0031 A sits on the instrumental floor 0.0031 A. No observed fea,UNKNOWN,,,
3642.5041,FIT-PINNED: fitted sigma 0.0031 A sits on the instrumental floor 0.0031 A. No observed fea,UNKNOWN,,,
3642.8694,REW -3.867 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditio,METHOD,EW->abundance inversion runs on the flat part of the curve of growth,REW above -4.9; the line itself is real and well measured,"measure by synthesis, which uses the profile shape rather than inverting EW"
3643.2974,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.507 A from the catalogued p,ATOMIC-DATA,a real solar line missing from our list dominates the window,the dominant feature at 3642.790 (depth 0.934) has NO catalogue entry within 0.05 A — absence of a neighbour in our list is not absence in the spectrum,extend the IR line list from a graded source before measuring this region
3652.0893,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.600 A from the catalogued p,METHOD,integration window wide enough to swallow a KNOWN neighbour,the dominant feature at 3651.489 IS in our catalogue (1 entry/entries within 0.05 A),"narrow the window, or measure by profile fitting/synthesis which models the neighbour instead of integrating over it"
3665.771,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.484 A from the catalogued p,ATOMIC-DATA,a real solar line missing from our list dominates the window,the dominant feature at 3666.255 (depth 0.843) has NO catalogue entry within 0.05 A — absence of a neighbour in our list is not absence in the spectrum,extend the IR line list from a graded source before measuring this region
3669.0057,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.526 A from the catalogued p,METHOD,integration window wide enough to swallow a KNOWN neighbour,the dominant feature at 3669.532 IS in our catalogue (1 entry/entries within 0.05 A),"narrow the window, or measure by profile fitting/synthesis which models the neighbour instead of integrating over it"
3699.55,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.405 A from the catalogued p,ATOMIC-DATA,a real solar line missing from our list dominates the window,the dominant feature at 3699.145 (depth 0.809) has NO catalogue entry within 0.05 A — absence of a neighbour in our list is not absence in the spectrum,extend the IR line list from a graded source before measuring this region
3704.3448,REW -3.823 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditio,METHOD,EW->abundance inversion runs on the flat part of the curve of growth,REW above -4.9; the line itself is real and well measured,"measure by synthesis, which uses the profile shape rather than inverting EW"
3720.8272,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.453 A from the catalogued p,ATOMIC-DATA,a real solar line missing from our list dominates the window,the dominant feature at 3721.280 (depth 0.870) has NO catalogue entry within 0.05 A — absence of a neighbour in our list is not absence in the spectrum,extend the IR line list from a graded source before measuring this region
3772.5809,REW -4.038 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditio,METHOD,EW->abundance inversion runs on the flat part of the curve of growth,REW above -4.9; the line itself is real and well measured,"measure by synthesis, which uses the profile shape rather than inverting EW"
3775.5851,FEATURE-VERIFICATION: GF-GHOST: observed depth 0.931 vs predicted 0.180 (x5.2) at the corr,ATOMIC-DATA,"log gf too weak, or an uncatalogued blend adds depth at this position","0.934 observed vs 0.180 predicted — the line is present and correctly placed, so this is not a positional error. Deeper than predicted has TWO explanations and this test does not separate them; a synthesis fit would","re-adjudicate log gf against NIST; if it holds, look for an uncatalogued blend by fitting the profile"
3778.1621,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.354 A from the catalogued p,ATOMIC-DATA,a real solar line missing from our list dominates the window,the dominant feature at 3778.516 (depth 0.848) has NO catalogue entry within 0.05 A — absence of a neighbour in our list is not absence in the spectrum,extend the IR line list from a graded source before measuring this region
3784.2656,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.238 A from the catalogued p,ATOMIC-DATA,a real solar line missing from our list dominates the window,the dominant feature at 3784.504 (depth 0.376) has NO catalogue entry within 0.05 A — absence of a neighbour in our list is not absence in the spectrum,extend the IR line list from a graded source before measuring this region
3786.7423,REW -3.894 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditio,METHOD,EW->abundance inversion runs on the flat part of the curve of growth,REW above -4.9; the line itself is real and well measured,"measure by synthesis, which uses the profile shape rather than inverting EW"
3790.8934,FIT-PINNED: fitted sigma 0.0032 A sits on the instrumental floor 0.0032 A. No observed fea,UNKNOWN,,,
