wave,symptom,fault_domain,mechanism,discriminator,fix
9763.8954,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.554 A from the catalogued p,METHOD,integration window wide enough to swallow a KNOWN neighbour,the dominant feature at 9763.342 IS in our catalogue (1 entry/entries within 0.05 A),"narrow the window, or measure by profile fitting/synthesis which models the neighbour instead of integrating over it"
9768.3125,FIT-PINNED: fitted sigma 0.0083 A sits on the instrumental floor 0.0083 A. No observed fea,UNKNOWN,,,
9783.9928,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.400 A from the catalogued p,METHOD,integration window wide enough to swallow a KNOWN neighbour,the dominant feature at 9783.593 IS in our catalogue (1 entry/entries within 0.05 A),"narrow the window, or measure by profile fitting/synthesis which models the neighbour instead of integrating over it"
9786.6411,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.479 A from the catalogued p,ATOMIC-DATA,a real solar line missing from our list dominates the window,the dominant feature at 9787.120 (depth 0.720) has NO catalogue entry within 0.05 A — absence of a neighbour in our list is not absence in the spectrum,extend the IR line list from a graded source before measuring this region
9800.3075,FIT-PINNED: fitted sigma 0.0083 A sits on the instrumental floor 0.0083 A. No observed fea,UNKNOWN,,,
9800.7985,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.490 A from the catalogued p,METHOD,integration window wide enough to swallow a KNOWN neighbour,the dominant feature at 9800.309 IS in our catalogue (1 entry/entries within 0.05 A),"narrow the window, or measure by profile fitting/synthesis which models the neighbour instead of integrating over it"
9834.1851,FIT-PINNED: fitted sigma 0.0084 A sits on the instrumental floor 0.0084 A. No observed fea,UNKNOWN,,,
9898.0065,FIT-PINNED: fitted sigma 0.0084 A sits on the instrumental floor 0.0084 A. No observed fea,UNKNOWN,,,
9924.4092,FIT-PINNED: fitted sigma 0.0084 A sits on the instrumental floor 0.0084 A. No observed fea,UNKNOWN,,,
9951.1572,FIT-PINNED: fitted sigma 0.0085 A sits on the instrumental floor 0.0085 A. No observed fea,UNKNOWN,,,
9953.4696,FIT-PINNED: fitted sigma 0.0085 A sits on the instrumental floor 0.0085 A. No observed fea,UNKNOWN,,,
9977.641,FIT-PINNED: fitted sigma 0.0085 A sits on the instrumental floor 0.0085 A. No observed fea,UNKNOWN,,,
