wave,symptom,fault_domain,mechanism,discriminator,fix
7359.9504,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.391 A from the catalogued p,ATOMIC-DATA,a real solar line missing from our list dominates the window,the dominant feature at 7360.341 (depth 0.242) has NO catalogue entry within 0.05 A — absence of a neighbour in our list is not absence in the spectrum,extend the IR line list from a graded source before measuring this region
7363.922,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.185 A from the catalogued p,ATOMIC-DATA,a real solar line missing from our list dominates the window,the dominant feature at 7363.737 (depth 0.274) has NO catalogue entry within 0.05 A — absence of a neighbour in our list is not absence in the spectrum,extend the IR line list from a graded source before measuring this region
7365.6772,FIT-PINNED: fitted sigma 0.0063 A sits on the instrumental floor 0.0063 A. No observed fea,UNKNOWN,,,
7370.119,FIT-PINNED: fitted sigma 0.0063 A sits on the instrumental floor 0.0063 A. No observed fea,UNKNOWN,,,
7376.4805,FIT-PINNED: fitted sigma 0.0063 A sits on the instrumental floor 0.0063 A. No observed fea,UNKNOWN,,,
7381.3327,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.595 A from the catalogued p,METHOD,integration window wide enough to swallow a KNOWN neighbour,the dominant feature at 7381.928 IS in our catalogue (1 entry/entries within 0.05 A),"narrow the window, or measure by profile fitting/synthesis which models the neighbour instead of integrating over it"
7382.9157,FIT-PINNED: fitted sigma 0.0063 A sits on the instrumental floor 0.0063 A. No observed fea,UNKNOWN,,,
7386.3331,REW -4.844 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditio,METHOD,EW->abundance inversion runs on the flat part of the curve of growth,REW above -4.9; the line itself is real and well measured,"measure by synthesis, which uses the profile shape rather than inverting EW"
7388.6161,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.590 A from the catalogued p,ATOMIC-DATA,a real solar line missing from our list dominates the window,the dominant feature at 7389.207 (depth 0.101) has NO catalogue entry within 0.05 A — absence of a neighbour in our list is not absence in the spectrum,extend the IR line list from a graded source before measuring this region
7389.3075,REW -4.709 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditio,METHOD,EW->abundance inversion runs on the flat part of the curve of growth,REW above -4.9; the line itself is real and well measured,"measure by synthesis, which uses the profile shape rather than inverting EW"
7389.3976,REW -4.710 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditio,METHOD,EW->abundance inversion runs on the flat part of the curve of growth,REW above -4.9; the line itself is real and well measured,"measure by synthesis, which uses the profile shape rather than inverting EW"
7396.5071,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.473 A from the catalogued p,ATOMIC-DATA,a real solar line missing from our list dominates the window,the dominant feature at 7396.034 (depth 0.166) has NO catalogue entry within 0.05 A — absence of a neighbour in our list is not absence in the spectrum,extend the IR line list from a graded source before measuring this region
7406.0505,FEATURE-VERIFICATION: GF-GHOST-ABSENT: no absorption at the catalogued position (depth 0.0,ATOMIC-DATA,"log gf far too strong, or the transition is assigned to the wrong species",nothing within 0.6 A has a depth resembling the predicted 0.090; observed at the position is 0.021,"re-adjudicate log gf against a NIST-graded source; if it survives, the species assignment is suspect"
7411.1526,REW -4.760 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditio,METHOD,EW->abundance inversion runs on the flat part of the curve of growth,REW above -4.9; the line itself is real and well measured,"measure by synthesis, which uses the profile shape rather than inverting EW"
7415.1864,FIT-PINNED: fitted sigma 0.0063 A sits on the instrumental floor 0.0063 A. No observed fea,UNKNOWN,,,
7421.5588,FIT-PINNED: fitted sigma 0.0063 A sits on the instrumental floor 0.0063 A. No observed fea,UNKNOWN,,,
7430.5379,FIT-PINNED: fitted sigma 0.0063 A sits on the instrumental floor 0.0063 A. No observed fea,UNKNOWN,,,
7430.7997,FIT-PINNED: fitted sigma 0.0063 A sits on the instrumental floor 0.0063 A. No observed fea,UNKNOWN,,,
7430.8555,FIT-PINNED: fitted sigma 0.0063 A sits on the instrumental floor 0.0063 A. No observed fea,UNKNOWN,,,
7440.2443,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.596 A from the catalogued p,ATOMIC-DATA,a real solar line missing from our list dominates the window,the dominant feature at 7440.841 (depth 0.161) has NO catalogue entry within 0.05 A — absence of a neighbour in our list is not absence in the spectrum,extend the IR line list from a graded source before measuring this region
7445.6931,FEATURE-VERIFICATION: GF-GHOST: observed depth 0.388 vs predicted 0.064 (x6.1) at the corr,ATOMIC-DATA,"log gf too weak, or an uncatalogued blend adds depth at this position","0.392 observed vs 0.064 predicted — the line is present and correctly placed, so this is not a positional error. Deeper than predicted has TWO explanations and this test does not separate them; a synthesis fit would","re-adjudicate log gf against NIST; if it holds, look for an uncatalogued blend by fitting the profile"
7445.7485,REW -4.691 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditio,METHOD,EW->abundance inversion runs on the flat part of the curve of growth,REW above -4.9; the line itself is real and well measured,"measure by synthesis, which uses the profile shape rather than inverting EW"
7446.0552,FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.295 A from the catalogued p,METHOD,integration window wide enough to swallow a KNOWN neighbour,the dominant feature at 7445.760 IS in our catalogue (1 entry/entries within 0.05 A),"narrow the window, or measure by profile fitting/synthesis which models the neighbour instead of integrating over it"
