element,ion,wavelength_air_A,instrument,ew_mA,rew,log_gf,ep_eV,predicted_depth,ew_method,panel,excluded_reason,fault_domain,mechanism,discriminator,fix
Fe,I,7016.7179,kpno_solar_atlas,31.215710000050585,-5.351760799122348,-0.505,5.8388,0.137,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0700; half-width 0.120 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_2.png,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.112 A from the catalogued position (depth 0.149 vs 0.145 at the line) — the EW is an upper bound on a blend, not this line",,,,
Fe,I,7027.5925,kpno_solar_atlas,29.353790500236983,-5.379142380354719,-2.018,4.5844,0.084,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0700; half-width 0.120 A from line separation | CONCERN: side-band 95th pct is 0.9625, below 0.97 — the local pseudo-continuum is itself absorbed. The atlas continuum is used, but this window sits in crowded spectrum and the EW may include unresolved neighbours.",FeI_6910_9199_kpno_solar_atlas_appendix_2.png,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.118 A from the catalogued position (depth 0.355 vs 0.089 at the line) — the EW is an upper bound on a blend, not this line",,,,
Fe,I,7029.1307,kpno_solar_atlas,14.743952999949142,-5.678287680893981,-0.403,4.9913,0.382,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0700; half-width 0.120 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_2.png,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.087 A from the catalogued position (depth 0.084 vs 0.074 at the line) — the EW is an upper bound on a blend, not this line",,,,
Fe,I,7068.5991,kpno_solar_atlas,20.68730350008608,-5.5336294651172935,-1.397,4.913,0.141,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0704; half-width 0.120 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_2.png,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.113 A from the catalogued position (depth 0.188 vs 0.101 at the line) — the EW is an upper bound on a blend, not this line",,,,
Fe,I,7082.1484,kpno_solar_atlas,11.074269500006062,-5.805849934603587,-1.118,5.0856,0.167,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0704,lm0708; half-width 0.450 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_2.png,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.355 A from the catalogued position (depth 0.025 vs 0.022 at the line) — the EW is an upper bound on a blend, not this line",,,,
Fe,I,7129.3405,kpno_solar_atlas,23.179554499987184,-5.487944272502716,-1.126,5.0638,0.17,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0712; half-width 0.450 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_2.png,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.264 A from the catalogued position (depth 0.052 vs 0.034 at the line) — the EW is an upper bound on a blend, not this line",,,,
Fe,I,7130.9205,kpno_solar_atlas,95.40664999996,-4.873566947889298,-0.79,4.2176,0.466,"integrated over +/-0.219 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0712; half-width 0.219 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_2.png,REW -4.874 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditioned here. Measured and reported; excluded from the aggregate only.,,,,
Fe,I,7158.4765,kpno_solar_atlas,34.26995650000633,-5.319907050420587,-2.89,3.6537,0.093,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0712; half-width 0.450 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_2.png,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.291 A from the catalogued position (depth 0.152 vs 0.106 at the line) — the EW is an upper bound on a blend, not this line",,,,
Fe,I,7162.3435,kpno_solar_atlas,35.24864449999018,-5.307912724885935,-1.064,5.0203,0.198,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0716; half-width 0.450 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_2.png,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.299 A from the catalogued position (depth 0.132 vs 0.091 at the line) — the EW is an upper bound on a blend, not this line",,,,
Fe,I,7164.4469,kpno_solar_atlas,97.81969500009356,-4.8647563638429885,-0.372,4.1909,0.533,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0716; half-width 0.120 A from line separation | CONCERN: side-band 95th pct is 0.9059, below 0.97 — the local pseudo-continuum is itself absorbed. The atlas continuum is used, but this window sits in crowded spectrum and the EW may include unresolved neighbours.",FeI_6910_9199_kpno_solar_atlas_appendix_2.png,REW -4.865 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditioned here. Measured and reported; excluded from the aggregate only.,,,,
Fe,I,7175.9206,kpno_solar_atlas,119.14572250012633,-4.779799169512188,-1.311,4.5585,0.261,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0716; half-width 0.450 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_3.png,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.224 A from the catalogued position (depth 0.419 vs 0.345 at the line) — the EW is an upper bound on a blend, not this line",,,,
Fe,I,7176.8741,kpno_solar_atlas,138.76946599989674,-4.713641410626938,-0.69,4.988,0.309,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0716; half-width 0.450 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_3.png,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.234 A from the catalogued position (depth 0.546 vs 0.284 at the line) — the EW is an upper bound on a blend, not this line",,,,
Fe,I,7181.2072,kpno_solar_atlas,125.57702600053392,-4.757287264054123,-1.026,3.8892,0.421,"integrated over +/-0.301 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0716; half-width 0.301 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_3.png,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.300 A from the catalogued position (depth 0.845 vs 0.443 at the line) — the EW is an upper bound on a blend, not this line",,,,
Fe,I,7181.8087,kpno_solar_atlas,84.20419849971574,-4.930900086386538,-0.704,5.8794,0.089,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0716; half-width 0.120 A from line separation | CONCERN: side-band 95th pct is 0.7945, below 0.97 — the local pseudo-continuum is itself absorbed. The atlas continuum is used, but this window sits in crowded spectrum and the EW may include unresolved neighbours.",FeI_6910_9199_kpno_solar_atlas_appendix_3.png,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.058 A from the catalogued position (depth 0.586 vs 0.252 at the line) — the EW is an upper bound on a blend, not this line",,,,
Fe,I,7187.3163,kpno_solar_atlas,354.57093650004026,-4.306863623306543,-0.147,4.1034,0.577,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0716; half-width 0.450 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_3.png,REW -4.307 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditioned here. Measured and reported; excluded from the aggregate only.,,,,
Fe,I,7191.6335,kpno_solar_atlas,295.98863599999777,-4.3855525094232535,-0.984,4.988,0.228,"integrated over +/-0.394 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0716; half-width 0.394 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_3.png,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.158 A from the catalogued position (depth 0.982 vs 0.381 at the line) — the EW is an upper bound on a blend, not this line",,,,
Fe,I,7194.901,kpno_solar_atlas,99.70020399985508,-4.858328775595857,-1.175,5.0203,0.168,"integrated over +/-0.315 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0716; half-width 0.315 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_3.png,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.135 A from the catalogued position (depth 0.578 vs 0.228 at the line) — the EW is an upper bound on a blend, not this line",,,,
Fe,I,7195.5302,kpno_solar_atlas,43.204123500028665,-5.221537601432668,-0.881,5.9303,0.057,"integrated over +/-0.315 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0716; half-width 0.315 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_3.png,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.258 A from the catalogued position (depth 0.265 vs 0.052 at the line) — the EW is an upper bound on a blend, not this line",,,,
Fe,I,7197.1397,kpno_solar_atlas,73.7187259997729,-4.989582111462825,-1.727,4.607,0.08,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0716; half-width 0.120 A from line separation | CONCERN: side-band 95th pct is 0.9053, below 0.97 — the local pseudo-continuum is itself absorbed. The atlas continuum is used, but this window sits in crowded spectrum and the EW may include unresolved neighbours.",FeI_6910_9199_kpno_solar_atlas_appendix_3.png,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.087 A from the catalogued position (depth 0.432 vs 0.175 at the line) — the EW is an upper bound on a blend, not this line",,,,
Fe,I,7199.7883,kpno_solar_atlas,39.38155750002563,-5.262026838738321,-1.34,5.0331,0.125,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0716,lm0720; half-width 0.450 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_3.png,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.450 A from the catalogued position (depth 0.080 vs 0.059 at the line) — the EW is an upper bound on a blend, not this line",,,,
Fe,I,7207.3864,kpno_solar_atlas,109.4716244999838,-4.8184762431062795,-0.2,4.1544,0.561,"integrated over +/-0.137 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0720; half-width 0.137 A from line separation | CONCERN: side-band 95th pct is 0.9277, below 0.97 — the local pseudo-continuum is itself absorbed. The atlas continuum is used, but this window sits in crowded spectrum and the EW may include unresolved neighbours.",FeI_6910_9199_kpno_solar_atlas_appendix_3.png,REW -4.818 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditioned here. Measured and reported; excluded from the aggregate only.,,,,
Fe,I,7209.1545,kpno_solar_atlas,5.803356999963499,-6.09420504553047,-1.792,4.9913,0.057,"integrated over +/-0.141 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0720; half-width 0.141 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_3.png,"FEATURE-VERIFICATION: GF-GHOST-ABSENT: no absorption at the catalogued position (depth 0.011, predicted 0.057) — the line is absent from the spectrum or misplaced in the list",,,,
Fe,I,7223.6572,kpno_solar_atlas,152.138748000031,-4.676517290287712,-2.225,3.0173,0.443,"integrated over +/-0.400 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0720; half-width 0.400 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_4.png,REW -4.677 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditioned here. Measured and reported; excluded from the aggregate only.,,,,
Fe,I,7225.999,kpno_solar_atlas,14.40144350001571,-5.70049187221065,-0.522,5.8723,0.124,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0720; half-width 0.120 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_4.png,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.115 A from the catalogued position (depth 0.072 vs 0.064 at the line) — the EW is an upper bound on a blend, not this line",,,,
Fe,I,7239.885,kpno_solar_atlas,113.40389749996424,-4.805103687038941,-1.852,4.2089,0.208,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0720,lm0724; half-width 0.450 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_4.png,REW -4.805 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditioned here. Measured and reported; excluded from the aggregate only.,,,,
Fe,I,7252.6353,kpno_solar_atlas,221.20816799980724,-4.515694680405907,-2.64,4.1426,0.057,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0724; half-width 0.450 A from line separation | CONCERN: side-band 95th pct is 0.9679, below 0.97 — the local pseudo-continuum is itself absorbed. The atlas continuum is used, but this window sits in crowded spectrum and the EW may include unresolved neighbours.",FeI_6910_9199_kpno_solar_atlas_appendix_4.png,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.268 A from the catalogued position (depth 0.907 vs 0.076 at the line) — the EW is an upper bound on a blend, not this line",,,,
Fe,I,7258.8813,kpno_solar_atlas,33.69934250001519,-5.333248267176088,-4.214,2.1759,0.13,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0724; half-width 0.450 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_4.png,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.234 A from the catalogued position (depth 0.147 vs 0.021 at the line) — the EW is an upper bound on a blend, not this line",,,,
Fe,I,7261.2861,kpno_solar_atlas,22.15278149997089,-5.515585284681821,-1.397,4.913,0.139,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0724; half-width 0.120 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_4.png,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.118 A from the catalogued position (depth 0.222 vs 0.084 at the line) — the EW is an upper bound on a blend, not this line",,,,
Fe,I,7265.8928,kpno_solar_atlas,29.394122499957504,-5.393028486286606,-0.96,5.6066,0.09,"integrated over +/-0.158 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0724; half-width 0.158 A from line separation | CONCERN: side-band 95th pct is 0.9608, below 0.97 — the local pseudo-continuum is itself absorbed. The atlas continuum is used, but this window sits in crowded spectrum and the EW may include unresolved neighbours.",FeI_6910_9199_kpno_solar_atlas_appendix_4.png,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.149 A from the catalogued position (depth 0.138 vs 0.074 at the line) — the EW is an upper bound on a blend, not this line",,,,
Fe,I,7278.4914,kpno_solar_atlas,89.61694450001384,-4.909651240684271,-1.797,4.988,0.057,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0724; half-width 0.450 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_4.png,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.429 A from the catalogued position (depth 0.432 vs 0.097 at the line) — the EW is an upper bound on a blend, not this line",,,,
Fe,I,7282.3581,kpno_solar_atlas,79.3258600000572,-4.962857241820223,-0.977,5.0095,0.222,"integrated over +/-0.229 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0728; half-width 0.229 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_4.png,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.080 A from the catalogued position (depth 0.418 vs 0.263 at the line) — the EW is an upper bound on a blend, not this line",,,,
Fe,I,7295.0122,kpno_solar_atlas,98.06787999998122,-4.871499235571046,-1.424,4.607,0.195,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0728; half-width 0.450 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_4.png,REW -4.871 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditioned here. Measured and reported; excluded from the aggregate only.,,,,
Fe,I,7296.5765,kpno_solar_atlas,1.2195649999981992,-6.776914187974048,-0.831,5.6066,0.114,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0728; half-width 0.120 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_4.png,"FEATURE-VERIFICATION: GF-GHOST-ABSENT: no absorption at the catalogued position (depth 0.001, predicted 0.114) — the line is absent from the spectrum or misplaced in the list",,,,
Fe,I,7296.7859,kpno_solar_atlas,1.2021264999986818,-6.7831814325455175,-0.847,5.3085,0.178,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0728; half-width 0.120 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_4.png,"FEATURE-VERIFICATION: GF-GHOST-ABSENT: no absorption at the catalogued position (depth 0.001, predicted 0.178) — the line is absent from the spectrum or misplaced in the list",,,,
Fe,I,7311.2415,kpno_solar_atlas,46.37405450007541,-5.197716061387064,-2.262,4.2605,0.096,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0728; half-width 0.120 A from line separation | CONCERN: side-band 95th pct is 0.9622, below 0.97 — the local pseudo-continuum is itself absorbed. The atlas continuum is used, but this window sits in crowded spectrum and the EW may include unresolved neighbours.",FeI_6910_9199_kpno_solar_atlas_appendix_5.png,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.117 A from the catalogued position (depth 0.315 vs 0.234 at the line) — the EW is an upper bound on a blend, not this line",,,,
Fe,I,7317.4198,kpno_solar_atlas,71.92734000006277,-5.007463971578775,-1.547,5.0095,0.089,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0728; half-width 0.450 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_5.png,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.136 A from the catalogued position (depth 0.487 vs 0.101 at the line) — the EW is an upper bound on a blend, not this line",,,,
Fe,I,7320.8331,kpno_solar_atlas,44.516862499935655,-5.2160359578032445,-1.422,4.913,0.133,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0728,lm0732; half-width 0.120 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_5.png,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits -0.116 A from the catalogued position (depth 0.309 vs 0.209 at the line) — the EW is an upper bound on a blend, not this line",,,,
Fe,I,7333.5591,kpno_solar_atlas,80.90911099980637,-4.957317366917282,-1.701,4.2562,0.235,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0732; half-width 0.450 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_5.png,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.123 A from the catalogued position (depth 0.488 vs 0.185 at the line) — the EW is an upper bound on a blend, not this line",,,,
Fe,I,7359.9504,kpno_solar_atlas,38.86933499998513,-5.277267777037454,-1.85,4.9913,0.05,"integrated over +/-0.450 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0732,lm0736; half-width 0.450 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_5.png,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.391 A from the catalogued position (depth 0.239 vs 0.058 at the line) — the EW is an upper bound on a blend, not this line",,,,
Fe,I,7388.6161,kpno_solar_atlas,9.607808499992023,-5.885938763686517,-1.411,5.4099,0.053,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0736; half-width 0.120 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_5.png,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.085 A from the catalogued position (depth 0.031 vs 0.021 at the line) — the EW is an upper bound on a blend, not this line",,,,
Fe,I,7389.3075,kpno_solar_atlas,82.8316685001437,-4.950407330189865,-0.524,4.913,0.361,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0736; half-width 0.120 A from line separation",FeI_6910_9199_kpno_solar_atlas_appendix_5.png,"FEATURE-VERIFICATION: BLEND-DOMINATED: deepest feature sits +0.097 A from the catalogued position (depth 0.529 vs 0.382 at the line) — the EW is an upper bound on a blend, not this line",,,,
Fe,I,7389.3976,kpno_solar_atlas,96.8370819999591,-4.882567340859028,-0.46,4.3013,0.492,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux); segment(s) lm0736; half-width 0.120 A from line separation | CONCERN: side-band 95th pct is 0.9423, below 0.97 — the local pseudo-continuum is itself absorbed. The atlas continuum is used, but this window sits in crowded spectrum and the EW may include unresolved neighbours.",FeI_6910_9199_kpno_solar_atlas_appendix_5.png,REW -4.883 above the -4.9 saturation ceiling — the EW->abundance inversion is ill-conditioned here. Measured and reported; excluded from the aggregate only.,,,,
