holding,instrument,band,grade,band_lo_A,band_hi_A,covered_lo_A,covered_hi_A,instrument_reaches_band,span_source,n_lines_at_grade,fe1_lab,fe1_shallow,fe1_deep,fe1_depth_max,fe2_lab,fe2_deep,verdict,reason
solar_kpno_kurucz2005_corrected,kpno_solar_atlas,NIR,Deep Grade,9199.0,13000.0,9199.0,10000.0,True,HOLDING — holdings_manifest_registry note: 'Kurucz R.L. 2005 high-resolution irradiance product ... 300-1000 nm',0,24,24,0,0.344,0,0,ABSENT_NO_LAB_LINE_AT_THIS_DEPTH,no primary-lab-gf Fe line with feature depth >0.6 in 9199-10000 A (deepest lab feature in band = 0.344)
solar_kpno_kurucz2005_corrected,kpno_solar_atlas,NIR,Reference Grade,9199.0,13000.0,9199.0,10000.0,True,HOLDING — holdings_manifest_registry note: 'Kurucz R.L. 2005 high-resolution irradiance product ... 300-1000 nm',1,24,24,0,0.344,0,0,GAP,1 AGSS21 Table A.2 line(s) in NIR within this holding's coverage
solar_kpno_molecfit_corrected,kpno_solar_atlas,near-UV,Codex Grade,3000.0,3780.0,3000.0,3780.0,True,"INSTRUMENT catalog — UPPER BOUND, this holding declares no span of its own",0,59,0,58,0.994,12,12,ABSENT_NO_LAB_LINE_AT_THIS_DEPTH,no primary-lab-gf Fe line with feature depth <=0.6 in 3000-3780 A (deepest lab feature in band = 0.994)
solar_kpno_molecfit_corrected,kpno_solar_atlas,near-UV,Deep Grade,3000.0,3780.0,3000.0,3780.0,True,"INSTRUMENT catalog — UPPER BOUND, this holding declares no span of its own",70,59,0,58,0.994,12,12,LIVE,70 primary-lab-gf Fe line(s) at this depth grade (>0.6) in 3000-3780 A
solar_kpno_molecfit_corrected,kpno_solar_atlas,near-UV,Reference Grade,3000.0,3780.0,3000.0,3780.0,True,"INSTRUMENT catalog — UPPER BOUND, this holding declares no span of its own",0,59,0,58,0.994,12,12,ABSENT_NO_REFERENCE_LINE,"AGSS21 Table A.2 publishes no Fe line inside near-UV ∩ this holding's span (3000-3780 A). The reference set is optical; this is a published SELECTION, not a coverage hole."
solar_kpno_molecfit_corrected,kpno_solar_atlas,VIS,Codex Grade,3780.0,6910.0,3780.0,6910.0,True,"INSTRUMENT catalog — UPPER BOUND, this holding declares no span of its own",66,243,66,174,0.928,10,10,LIVE,66 primary-lab-gf Fe line(s) at this depth grade (<=0.6) in 3780-6910 A
solar_kpno_molecfit_corrected,kpno_solar_atlas,VIS,Deep Grade,3780.0,6910.0,3780.0,6910.0,True,"INSTRUMENT catalog — UPPER BOUND, this holding declares no span of its own",184,243,66,174,0.928,10,10,LIVE,184 primary-lab-gf Fe line(s) at this depth grade (>0.6) in 3780-6910 A
solar_kpno_molecfit_corrected,kpno_solar_atlas,VIS,Reference Grade,3780.0,6910.0,3780.0,6910.0,True,"INSTRUMENT catalog — UPPER BOUND, this holding declares no span of its own",36,243,66,174,0.928,10,10,LIVE,36 AGSS21 Table A.2 line(s) in VIS within this holding's coverage
solar_kpno_molecfit_corrected,kpno_solar_atlas,red-optical,Codex Grade,6910.0,9199.0,6910.0,9199.0,True,"INSTRUMENT catalog — UPPER BOUND, this holding declares no span of its own",66,70,66,0,0.583,0,0,LIVE,66 primary-lab-gf Fe line(s) at this depth grade (<=0.6) in 6910-9199 A
solar_kpno_molecfit_corrected,kpno_solar_atlas,red-optical,Deep Grade,6910.0,9199.0,6910.0,9199.0,True,"INSTRUMENT catalog — UPPER BOUND, this holding declares no span of its own",0,70,66,0,0.583,0,0,ABSENT_NO_LAB_LINE_AT_THIS_DEPTH,no primary-lab-gf Fe line with feature depth >0.6 in 6910-9199 A (deepest lab feature in band = 0.583)
solar_kpno_molecfit_corrected,kpno_solar_atlas,red-optical,Reference Grade,6910.0,9199.0,6910.0,9199.0,True,"INSTRUMENT catalog — UPPER BOUND, this holding declares no span of its own",16,70,66,0,0.583,0,0,GAP,16 AGSS21 Table A.2 line(s) in red-optical within this holding's coverage
solar_kpno_molecfit_corrected,kpno_solar_atlas,NIR,Codex Grade,9199.0,13000.0,9199.0,13000.0,True,"INSTRUMENT catalog — UPPER BOUND, this holding declares no span of its own",29,29,29,0,0.409,0,0,LIVE,29 primary-lab-gf Fe line(s) at this depth grade (<=0.6) in 9199-13000 A
solar_kpno_molecfit_corrected,kpno_solar_atlas,NIR,Deep Grade,9199.0,13000.0,9199.0,13000.0,True,"INSTRUMENT catalog — UPPER BOUND, this holding declares no span of its own",0,29,29,0,0.409,0,0,ABSENT_NO_LAB_LINE_AT_THIS_DEPTH,no primary-lab-gf Fe line with feature depth >0.6 in 9199-13000 A (deepest lab feature in band = 0.409)
solar_kpno_molecfit_corrected,kpno_solar_atlas,NIR,Reference Grade,9199.0,13000.0,9199.0,13000.0,True,"INSTRUMENT catalog — UPPER BOUND, this holding declares no span of its own",1,29,29,0,0.409,0,0,GAP,1 AGSS21 Table A.2 line(s) in NIR within this holding's coverage
solar_harps_molecfit_corrected,harps,near-UV,Codex Grade,3000.0,3780.0,,,False,"INSTRUMENT catalog — UPPER BOUND, this holding declares no span of its own",0,0,0,0,,0,0,ABSENT_NO_COVERAGE,"this holding covers 3780-6910 A (INSTRUMENT catalog — UPPER BOUND, this holding declares no span of its own) and the near-UV band is 3000-3780 A — they do not overlap. No spectrum exists to measure."
solar_harps_molecfit_corrected,harps,near-UV,Deep Grade,3000.0,3780.0,,,False,"INSTRUMENT catalog — UPPER BOUND, this holding declares no span of its own",0,0,0,0,,0,0,ABSENT_NO_COVERAGE,"this holding covers 3780-6910 A (INSTRUMENT catalog — UPPER BOUND, this holding declares no span of its own) and the near-UV band is 3000-3780 A — they do not overlap. No spectrum exists to measure."
solar_harps_molecfit_corrected,harps,near-UV,Reference Grade,3000.0,3780.0,,,False,"INSTRUMENT catalog — UPPER BOUND, this holding declares no span of its own",0,0,0,0,,0,0,ABSENT_NO_COVERAGE,"this holding covers 3780-6910 A (INSTRUMENT catalog — UPPER BOUND, this holding declares no span of its own) and the near-UV band is 3000-3780 A — they do not overlap. No spectrum exists to measure."
solar_harps_molecfit_corrected,harps,VIS,Codex Grade,3780.0,6910.0,3780.0,6910.0,True,"INSTRUMENT catalog — UPPER BOUND, this holding declares no span of its own",66,243,66,174,0.928,10,10,LIVE,66 primary-lab-gf Fe line(s) at this depth grade (<=0.6) in 3780-6910 A
solar_harps_molecfit_corrected,harps,VIS,Deep Grade,3780.0,6910.0,3780.0,6910.0,True,"INSTRUMENT catalog — UPPER BOUND, this holding declares no span of its own",184,243,66,174,0.928,10,10,LIVE,184 primary-lab-gf Fe line(s) at this depth grade (>0.6) in 3780-6910 A
solar_harps_molecfit_corrected,harps,VIS,Reference Grade,3780.0,6910.0,3780.0,6910.0,True,"INSTRUMENT catalog — UPPER BOUND, this holding declares no span of its own",36,243,66,174,0.928,10,10,LIVE,36 AGSS21 Table A.2 line(s) in VIS within this holding's coverage
solar_harps_molecfit_corrected,harps,red-optical,Codex Grade,6910.0,9199.0,,,False,"INSTRUMENT catalog — UPPER BOUND, this holding declares no span of its own",0,0,0,0,,0,0,ABSENT_NO_COVERAGE,"this holding covers 3780-6910 A (INSTRUMENT catalog — UPPER BOUND, this holding declares no span of its own) and the red-optical band is 6910-9199 A — they do not overlap. No spectrum exists to measure."
solar_harps_molecfit_corrected,harps,red-optical,Deep Grade,6910.0,9199.0,,,False,"INSTRUMENT catalog — UPPER BOUND, this holding declares no span of its own",0,0,0,0,,0,0,ABSENT_NO_COVERAGE,"this holding covers 3780-6910 A (INSTRUMENT catalog — UPPER BOUND, this holding declares no span of its own) and the red-optical band is 6910-9199 A — they do not overlap. No spectrum exists to measure."
solar_harps_molecfit_corrected,harps,red-optical,Reference Grade,6910.0,9199.0,,,False,"INSTRUMENT catalog — UPPER BOUND, this holding declares no span of its own",0,0,0,0,,0,0,ABSENT_NO_COVERAGE,"this holding covers 3780-6910 A (INSTRUMENT catalog — UPPER BOUND, this holding declares no span of its own) and the red-optical band is 6910-9199 A — they do not overlap. No spectrum exists to measure."
solar_harps_molecfit_corrected,harps,NIR,Codex Grade,9199.0,13000.0,,,False,"INSTRUMENT catalog — UPPER BOUND, this holding declares no span of its own",0,0,0,0,,0,0,ABSENT_NO_COVERAGE,"this holding covers 3780-6910 A (INSTRUMENT catalog — UPPER BOUND, this holding declares no span of its own) and the NIR band is 9199-13000 A — they do not overlap. No spectrum exists to measure."
solar_harps_molecfit_corrected,harps,NIR,Deep Grade,9199.0,13000.0,,,False,"INSTRUMENT catalog — UPPER BOUND, this holding declares no span of its own",0,0,0,0,,0,0,ABSENT_NO_COVERAGE,"this holding covers 3780-6910 A (INSTRUMENT catalog — UPPER BOUND, this holding declares no span of its own) and the NIR band is 9199-13000 A — they do not overlap. No spectrum exists to measure."
solar_harps_molecfit_corrected,harps,NIR,Reference Grade,9199.0,13000.0,,,False,"INSTRUMENT catalog — UPPER BOUND, this holding declares no span of its own",0,0,0,0,,0,0,ABSENT_NO_COVERAGE,"this holding covers 3780-6910 A (INSTRUMENT catalog — UPPER BOUND, this holding declares no span of its own) and the NIR band is 9199-13000 A — they do not overlap. No spectrum exists to measure."
solar_iag,iag_fts_solar_atlas,near-UV,Codex Grade,3000.0,3780.0,,,False,"INSTRUMENT catalog — UPPER BOUND, this holding declares no span of its own",0,0,0,0,,0,0,ABSENT_NO_COVERAGE,"this holding covers 4047-10650 A (INSTRUMENT catalog — UPPER BOUND, this holding declares no span of its own) and the near-UV band is 3000-3780 A — they do not overlap. No spectrum exists to measure."
solar_iag,iag_fts_solar_atlas,near-UV,Deep Grade,3000.0,3780.0,,,False,"INSTRUMENT catalog — UPPER BOUND, this holding declares no span of its own",0,0,0,0,,0,0,ABSENT_NO_COVERAGE,"this holding covers 4047-10650 A (INSTRUMENT catalog — UPPER BOUND, this holding declares no span of its own) and the near-UV band is 3000-3780 A — they do not overlap. No spectrum exists to measure."
solar_iag,iag_fts_solar_atlas,near-UV,Reference Grade,3000.0,3780.0,,,False,"INSTRUMENT catalog — UPPER BOUND, this holding declares no span of its own",0,0,0,0,,0,0,ABSENT_NO_COVERAGE,"this holding covers 4047-10650 A (INSTRUMENT catalog — UPPER BOUND, this holding declares no span of its own) and the near-UV band is 3000-3780 A — they do not overlap. No spectrum exists to measure."
solar_iag,iag_fts_solar_atlas,VIS,Codex Grade,3780.0,6910.0,4047.0,6910.0,True,"INSTRUMENT catalog — UPPER BOUND, this holding declares no span of its own",65,215,65,147,0.925,10,10,LIVE,65 primary-lab-gf Fe line(s) at this depth grade (<=0.6) in 4047-6910 A
solar_iag,iag_fts_solar_atlas,VIS,Deep Grade,3780.0,6910.0,4047.0,6910.0,True,"INSTRUMENT catalog — UPPER BOUND, this holding declares no span of its own",157,215,65,147,0.925,10,10,LIVE,157 primary-lab-gf Fe line(s) at this depth grade (>0.6) in 4047-6910 A
solar_iag,iag_fts_solar_atlas,VIS,Reference Grade,3780.0,6910.0,4047.0,6910.0,True,"INSTRUMENT catalog — UPPER BOUND, this holding declares no span of its own",36,215,65,147,0.925,10,10,LIVE,36 AGSS21 Table A.2 line(s) in VIS within this holding's coverage
solar_iag,iag_fts_solar_atlas,red-optical,Codex Grade,6910.0,9199.0,6910.0,9199.0,True,"INSTRUMENT catalog — UPPER BOUND, this holding declares no span of its own",66,70,66,0,0.583,0,0,LIVE,66 primary-lab-gf Fe line(s) at this depth grade (<=0.6) in 6910-9199 A
solar_iag,iag_fts_solar_atlas,red-optical,Deep Grade,6910.0,9199.0,6910.0,9199.0,True,"INSTRUMENT catalog — UPPER BOUND, this holding declares no span of its own",0,70,66,0,0.583,0,0,ABSENT_NO_LAB_LINE_AT_THIS_DEPTH,no primary-lab-gf Fe line with feature depth >0.6 in 6910-9199 A (deepest lab feature in band = 0.583)
solar_iag,iag_fts_solar_atlas,red-optical,Reference Grade,6910.0,9199.0,6910.0,9199.0,True,"INSTRUMENT catalog — UPPER BOUND, this holding declares no span of its own",16,70,66,0,0.583,0,0,GAP,16 AGSS21 Table A.2 line(s) in red-optical within this holding's coverage
solar_iag,iag_fts_solar_atlas,NIR,Codex Grade,9199.0,13000.0,9199.0,10650.0,True,"INSTRUMENT catalog — UPPER BOUND, this holding declares no span of its own",27,27,27,0,0.409,0,0,LIVE,27 primary-lab-gf Fe line(s) at this depth grade (<=0.6) in 9199-10650 A
solar_iag,iag_fts_solar_atlas,NIR,Deep Grade,9199.0,13000.0,9199.0,10650.0,True,"INSTRUMENT catalog — UPPER BOUND, this holding declares no span of its own",0,27,27,0,0.409,0,0,ABSENT_NO_LAB_LINE_AT_THIS_DEPTH,no primary-lab-gf Fe line with feature depth >0.6 in 9199-10650 A (deepest lab feature in band = 0.409)
solar_iag,iag_fts_solar_atlas,NIR,Reference Grade,9199.0,13000.0,9199.0,10650.0,True,"INSTRUMENT catalog — UPPER BOUND, this holding declares no span of its own",1,27,27,0,0.409,0,0,GAP,1 AGSS21 Table A.2 line(s) in NIR within this holding's coverage
solar_crires_plus_y_wide_rya1054,crires_plus,near-UV,Codex Grade,3000.0,3780.0,,,False,"INSTRUMENT (measured from real pixels, RYA-805)",0,0,0,0,,0,0,ABSENT_NO_COVERAGE,"this holding covers 9479-24855 A (INSTRUMENT (measured from real pixels, RYA-805)) and the near-UV band is 3000-3780 A — they do not overlap. No spectrum exists to measure."
solar_crires_plus_y_wide_rya1054,crires_plus,near-UV,Deep Grade,3000.0,3780.0,,,False,"INSTRUMENT (measured from real pixels, RYA-805)",0,0,0,0,,0,0,ABSENT_NO_COVERAGE,"this holding covers 9479-24855 A (INSTRUMENT (measured from real pixels, RYA-805)) and the near-UV band is 3000-3780 A — they do not overlap. No spectrum exists to measure."
solar_crires_plus_y_wide_rya1054,crires_plus,near-UV,Reference Grade,3000.0,3780.0,,,False,"INSTRUMENT (measured from real pixels, RYA-805)",0,0,0,0,,0,0,ABSENT_NO_COVERAGE,"this holding covers 9479-24855 A (INSTRUMENT (measured from real pixels, RYA-805)) and the near-UV band is 3000-3780 A — they do not overlap. No spectrum exists to measure."
solar_crires_plus_y_wide_rya1054,crires_plus,VIS,Codex Grade,3780.0,6910.0,,,False,"INSTRUMENT (measured from real pixels, RYA-805)",0,0,0,0,,0,0,ABSENT_NO_COVERAGE,"this holding covers 9479-24855 A (INSTRUMENT (measured from real pixels, RYA-805)) and the VIS band is 3780-6910 A — they do not overlap. No spectrum exists to measure."
solar_crires_plus_y_wide_rya1054,crires_plus,VIS,Deep Grade,3780.0,6910.0,,,False,"INSTRUMENT (measured from real pixels, RYA-805)",0,0,0,0,,0,0,ABSENT_NO_COVERAGE,"this holding covers 9479-24855 A (INSTRUMENT (measured from real pixels, RYA-805)) and the VIS band is 3780-6910 A — they do not overlap. No spectrum exists to measure."
solar_crires_plus_y_wide_rya1054,crires_plus,VIS,Reference Grade,3780.0,6910.0,,,False,"INSTRUMENT (measured from real pixels, RYA-805)",0,0,0,0,,0,0,ABSENT_NO_COVERAGE,"this holding covers 9479-24855 A (INSTRUMENT (measured from real pixels, RYA-805)) and the VIS band is 3780-6910 A — they do not overlap. No spectrum exists to measure."
solar_crires_plus_y_wide_rya1054,crires_plus,red-optical,Codex Grade,6910.0,9199.0,,,False,"INSTRUMENT (measured from real pixels, RYA-805)",0,0,0,0,,0,0,ABSENT_NO_COVERAGE,"this holding covers 9479-24855 A (INSTRUMENT (measured from real pixels, RYA-805)) and the red-optical band is 6910-9199 A — they do not overlap. No spectrum exists to measure."
solar_crires_plus_y_wide_rya1054,crires_plus,red-optical,Deep Grade,6910.0,9199.0,,,False,"INSTRUMENT (measured from real pixels, RYA-805)",0,0,0,0,,0,0,ABSENT_NO_COVERAGE,"this holding covers 9479-24855 A (INSTRUMENT (measured from real pixels, RYA-805)) and the red-optical band is 6910-9199 A — they do not overlap. No spectrum exists to measure."
solar_crires_plus_y_wide_rya1054,crires_plus,red-optical,Reference Grade,6910.0,9199.0,,,False,"INSTRUMENT (measured from real pixels, RYA-805)",0,0,0,0,,0,0,ABSENT_NO_COVERAGE,"this holding covers 9479-24855 A (INSTRUMENT (measured from real pixels, RYA-805)) and the red-optical band is 6910-9199 A — they do not overlap. No spectrum exists to measure."
solar_crires_plus_y_wide_rya1054,crires_plus,NIR,Codex Grade,9199.0,13000.0,9479.3,13000.0,True,"INSTRUMENT (measured from real pixels, RYA-805)",13,13,13,0,0.409,0,0,LIVE,13 primary-lab-gf Fe line(s) at this depth grade (<=0.6) in 9479-13000 A
solar_crires_plus_y_wide_rya1054,crires_plus,NIR,Deep Grade,9199.0,13000.0,9479.3,13000.0,True,"INSTRUMENT (measured from real pixels, RYA-805)",0,13,13,0,0.409,0,0,ABSENT_NO_LAB_LINE_AT_THIS_DEPTH,no primary-lab-gf Fe line with feature depth >0.6 in 9479-13000 A (deepest lab feature in band = 0.409)
solar_crires_plus_y_wide_rya1054,crires_plus,NIR,Reference Grade,9199.0,13000.0,9479.3,13000.0,True,"INSTRUMENT (measured from real pixels, RYA-805)",1,13,13,0,0.409,0,0,GAP,1 AGSS21 Table A.2 line(s) in NIR within this holding's coverage
