feed,element,ion,band,instrument,tier,treatment,status,source,copied_to,feed_sha256,actual_sha256,detail
Fe.json,Fe,I,VIS,kpno_solar_atlas,GRADED,synth-mean3D-NLTE-gerber-stagger,RECONCILED,/private/tmp/sirius_orphans/FeI_4200_6910_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_GRADED_synth-mean3D-NLTE-gerber-stagger_products.csv,data/results/band_products/FeI_4200_6910_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_GRADED_synth-mean3D-NLTE-gerber-stagger_products.csv,c0d659c177b5b49380366561e8c1e3dad1a9a8afd7ba7a84de824936e3f7c3b6,,
Fe.json,Fe,I,near-UV,kpno_solar_atlas,DEEPGRADED,1D-LTE,BLOCKED_SHA_MISMATCH,/Users/ryanschmitt/codex/rya1015/data/results/band_products/FeI_3000_3780_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_DEEPGRADED_products.csv,,591e97f795cc59f1069bb9b90983b8aa26ced3395f35aa92b1fd0e3b49841f51,9f56182ba86e0d1a35bc1cb6d84d76ebbd3d2b92ac64bcb22b92216c5868db74,no published field differs — bytes only
Fe.json,Fe,I,near-UV,kpno_solar_atlas,DEEPGRADED,ENGINE-A,BLOCKED_SHA_MISMATCH,/Users/ryanschmitt/codex/rya1015/data/results/band_products/FeI_3000_3780_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_DEEPGRADED_ENGINE-A_products.csv,,6e58fe3d6e3931069ca094afc48a1dc46b6c0fb3d28b9e3cc781727d715d529e,d99eb72f63b57a95ef8b925bf6864189f68252cc75085abe8d9b6ea0b30e9c73,no published field differs — bytes only
Fe.json,Fe,I,near-UV,kpno_solar_atlas,DEEPGRADED,ENGINE-B,RECONCILED,/Users/ryanschmitt/codex/rya1015/data/results/band_products/FeI_3000_3780_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_DEEPGRADED_ENGINE-B_products.csv,data/results/band_products/FeI_3000_3780_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_DEEPGRADED_ENGINE-B_products.csv,e7f28b8818c43261cd89d0592390718d4d9f0e25bd3d3fc0e527071162f62410,,
Fe.json,Fe,I,near-UV,kpno_solar_atlas,DEEPGRADED,1D-LTE,BLOCKED_SHA_MISMATCH,/Users/ryanschmitt/codex/rya1015/data/results/band_products/FeI_3000_3780_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_DEEPGRADED_products.csv,,e341404af594b25d4f8cf0bbc15a3e663381339864f3677b29165f6088d116e1,a2361a7e23320c4e84b76d4bc18bc8985a2a1f660794bc6c4fc89695f00dbcf9,no published field differs — bytes only
Fe.json,Fe,I,near-UV,kpno_solar_atlas,DEEPGRADED,ENGINE-A,BLOCKED_SHA_MISMATCH,/Users/ryanschmitt/codex/rya1015/data/results/band_products/FeI_3000_3780_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_DEEPGRADED_ENGINE-A_products.csv,,0e2348fdfff3fc86e11057bc880d23c8ff6621018d2da210432a857d9cda5e23,c3e9c36b6c28ce2d32ea878ffd2259df2398e5c92f9afceb70af0955784f5403,no published field differs — bytes only
Fe.json,Fe,I,near-UV,kpno_solar_atlas,DEEPGRADED,ENGINE-B,RECONCILED,/Users/ryanschmitt/codex/rya1015/data/results/band_products/FeI_3000_3780_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_DEEPGRADED_ENGINE-B_products.csv,data/results/band_products/FeI_3000_3780_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_DEEPGRADED_ENGINE-B_products.csv,765590b72162f7febd0bf2f0ed38d2b1d728c6361443a63a2e1d4446a1069dcf,,
Fe.json,Fe,I,red-optical,iag_fts_solar_atlas,GRADED,1D-LTE,RECONCILED,/Users/ryanschmitt/codex/rya1015/data/results/band_products/FeI_6910_9199_iag_fts_solar_atlas_solar_iag_SYNTH_GRADED_products.csv,data/results/band_products/FeI_6910_9199_iag_fts_solar_atlas_solar_iag_SYNTH_GRADED_products.csv,86f2a85d4f1dd305b4268d41c2670bf937d1b1fba07d09d94ea06e8ab9fd63a8,,
Fe.json,Fe,I,red-optical,iag_fts_solar_atlas,GRADED,ENGINE-A,RECONCILED,/Users/ryanschmitt/codex/rya1015/data/results/band_products/FeI_6910_9199_iag_fts_solar_atlas_solar_iag_SYNTH_GRADED_ENGINE-A_products.csv,data/results/band_products/FeI_6910_9199_iag_fts_solar_atlas_solar_iag_SYNTH_GRADED_ENGINE-A_products.csv,9bda201e9eb75e06514715f3ef5da7315c97b284d948931b8311d8902141c157,,
Fe.json,Fe,I,red-optical,kpno_solar_atlas,GRADED,1D-LTE,BLOCKED_SHA_MISMATCH,/Users/ryanschmitt/codex/rya1015/data/results/band_products/FeI_6910_9199_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_GRADED_products.csv,,9e699831196fda76ead9630ccaf129740fe32717b2773323c9a88f709df336ad,bd660ce59bdf3570c8c32b772392919723159e8ddc5ebd1e0b8995ff0563a48a,no published field differs — bytes only
Fe.json,Fe,I,red-optical,kpno_solar_atlas,GRADED,ENGINE-A,BLOCKED_SHA_MISMATCH,/Users/ryanschmitt/codex/rya1015/data/results/band_products/FeI_6910_9199_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_GRADED_ENGINE-A_products.csv,,01cc4f9de9413e105d046bae5cbc98a92a1921f6b93ce189a23ec7b993f2128c,626c3366458b419e5631f910ec70a4ae71ec2f7c145cab8b80e001d3cdd6ae91,no published field differs — bytes only
Fe.json,Fe,I,red-optical,kpno_solar_atlas,GRADED,ENGINE-B,RECONCILED,/Users/ryanschmitt/codex/rya1015/data/results/band_products/FeI_6910_9199_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_GRADED_ENGINE-B_products.csv,data/results/band_products/FeI_6910_9199_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_GRADED_ENGINE-B_products.csv,f71e5cac28e7bf2f608cc48855a40b4f70934f5bfaf6e8cfdbfcb2bebccf298f,,
Fe.json,Fe,I,red-optical,kpno_solar_atlas,GRADED,1D-LTE,BLOCKED_SHA_MISMATCH,/Users/ryanschmitt/codex/rya1015/data/results/band_products/FeI_6910_9199_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_GRADED_products.csv,,87a71ae07a18c61dcc2b1d2cc385cf6ae8bf4e733d53a1656ef76abc750f41e6,b84c24171bcbddceff8251e903b201b6c54f8a819429a411939c0443b50a7e5f,no published field differs — bytes only
Fe.json,Fe,I,red-optical,kpno_solar_atlas,GRADED,ENGINE-A,BLOCKED_SHA_MISMATCH,/Users/ryanschmitt/codex/rya1015/data/results/band_products/FeI_6910_9199_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_GRADED_ENGINE-A_products.csv,,fd3710ef236d8d3972199a266edc31f90d0eabd2e30701afabf6e21aeb997e25,bdd8c1b5a34daf5e010b5264ff4bda690a688fb2fe293765e91071fd60a89eb0,no published field differs — bytes only
Fe.json,Fe,I,red-optical,kpno_solar_atlas,GRADED,ENGINE-B,RECONCILED,/Users/ryanschmitt/codex/rya1015/data/results/band_products/FeI_6910_9199_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_GRADED_ENGINE-B_products.csv,data/results/band_products/FeI_6910_9199_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_GRADED_ENGINE-B_products.csv,1b7fd783e63a994dbee39b2c48197fc67d222df4f58a794cfca62a55bd77e48b,,
