instrument_id,instrument_name,facility,telescope,archive_name,archive_url,instrument_class,observing_domain,band_primary,bands_supported,wavelength_min_nm,wavelength_max_nm,wavelength_frame_default,resolving_power_min,resolving_power_max,hemisphere_access,latitude_deg,data_level_available,supported_product_types,pipeline_ingest_status,reduction_requirements,telluric_required,telluric_basis,air_vacuum_conversion_required,iodine_or_calibration_caveat,science_role,key_elements_or_features,target_specific_notes,codex_status,first_verified_use,source_issue_ids,source_documentation,last_verified_date
harps,HARPS,ESO,ESO 3.6m,ESO Science Archive,https://archive.eso.org,stabilized_echelle,VIS,VIS,VIS|red_optical,378.0,691.0,air,115000,115000,south,-29.26,reduced,S1D|ADP,loader_ready,Use reduced merged products; verify BERV and SPECSYS,no,unspecified,no,Reject calibration products,Primary optical abundance backbone,Fe|C|O|Na|Mg|Si|Ca,Verified solar Procyon and Alpha Cen holdings,active,RYA-42,RYA-119|RYA-191|RYA-464,Mayor et al. 2003 Messenger 114 20; ESO HARPS DRS manual,2026-07-28
harps_n,HARPS-N,INAF,TNG,IA2/TNG Archive,https://ia2.inaf.it,stabilized_echelle,VIS,VIS,VIS|red_optical,383.0,693.0,air,115000,115000,north,28.76,reduced,S1D|DRS,candidate,Confirm DRS product schema and wavelength frame,no,unspecified,no,Reject calibration products,Northern optical counterpart to HARPS,Fe|C|O|refractories,Capability registered; per-system holdings not asserted,candidate,,RYA-119|RYA-191|RYA-652,Cosentino et al. 2012 SPIE 8446,2026-07-28
hires,HIRES,Keck,W. M. Keck I,Keck Observatory Archive,https://koa.ipac.caltech.edu,cross_dispersed_echelle,UV_VIS,VIS,NUV|VIS|red_optical,300.0,1000.0,air,25000,85000,north,19.83,raw_reduced,HIRES_extracted|raw,candidate,Verify decker/setup and independently reduce when only raw products exist,no,unspecified,mode_dependent,Iodine-cell spectra are unsuitable unless contamination is explicitly modeled,Northern optical archive depth,Fe|C|O|refractories,Capability registered; holdings must come from per-system manifests,candidate,,RYA-119|RYA-191|RYA-652,Vogt et al. 1994 SPIE 2198; KOA HIRES documentation,2026-07-28
hst_cos,HST/COS,STScI,Hubble Space Telescope,MAST,https://mast.stsci.edu,space_spectrograph,UV,FUV,FUV|NUV,90.0,320.0,vacuum,1500,24000,space,,reduced,x1d|HASP_cspec,loader_partial,Grating/segment-specific conditioning and chromospheric masks,no,not_applicable,no,Medium-resolution modes do not replace STIS echelle for narrow-line work,FUV/NUV coverage and cross-checks,C|N|O|S,Audit inventory exists; per-system support varies,experimental,RYA-119,RYA-119|RYA-222|RYA-426|RYA-471,HST COS Instrument Handbook; MAST,2026-07-28
hst_stis,HST/STIS,STScI,Hubble Space Telescope,MAST,https://mast.stsci.edu,space_spectrograph,UV_OPTICAL,NUV,FUV|NUV|VIS,114.0,1027.0,vacuum,500,114000,space,,reduced,x1d|HASP_cspec,loader_ready,Grating-specific coverage; scattered-light/chromospheric masks; convert vacuum to air only above 200nm,no,not_applicable,yes,No direct solar observation; binary target identity must be verified,Resolved FUV/NUV abundance diagnostics,C I|P|S|Mg II|Fe,Verified Procyon and Alpha Cen audit inventories,active,RYA-119,RYA-119|RYA-222|RYA-303|RYA-426|RYA-471,HST STIS Instrument Handbook; MAST HASP documentation,2026-07-28
ishell,iSHELL,NASA IRTF,IRTF,IRTF Archive,https://irsa.ipac.caltech.edu/data/IRTF/,cross_dispersed_echelle,NIR_IR,K,Y|J|H|K|L|M,1060.0,5300.0,vacuum,35000,75000,north,19.83,raw_reduced,Spextool_products|raw,candidate,Mode-specific Spextool reduction and telluric correction,yes,correction_required,yes,Alpha Cen is below practical northern access,High-resolution IR gap filler,CO|OH|CH|CN,55 Cnc archive search is owed,candidate,,RYA-191|RYA-652,Rayner et al. 2016 SPIE 9908; IRTF Archive,2026-07-28
kpf,KPF,Keck,W. M. Keck I,Keck Observatory Archive,https://koa.ipac.caltech.edu,stabilized_echelle,VIS,VIS,VIS|red_optical,445.0,870.0,vacuum,98000,98000,north,19.83,reduced,L1|L2,candidate,Confirm product wavelength frame and blaze/continuum convention,no,unspecified,mode_dependent,Newer archive has limited legacy depth,High-stability northern optical spectra,Fe|O I 777|refractories,Capability registered; holdings not asserted,candidate,,RYA-119|RYA-191|RYA-652,KPF Instrument Handbook; KOA KPF documentation,2026-07-28
mike,MIKE,Carnegie,Magellan Clay,Magellan Archive/VizieR,,cross_dispersed_echelle,UV_VIS,VIS,NUV|VIS|red_optical,320.0,1000.0,air,42000,65000,south,-29.01,raw_reduced,extracted_orders|raw,candidate,Public archive access is limited; custom reduction may be required,no,unspecified,no,Lower resolving power than HARPS/UVES,Low-priority southern blue-optical supplement,Fe|UV diagnostics,Alpha Cen archive existence remains unverified,candidate,,RYA-191|RYA-652,Bernstein et al. 2003 SPIE 4841,2026-07-28
narval,NARVAL,TBL,Bernard Lyot Telescope,PolarBase,https://polarbase.irap.omp.eu,cross_dispersed_echelle,VIS,VIS,NUV|VIS|red_optical,370.0,1050.0,air,65000,65000,north,42.94,reduced,Libre-ESpRIT,candidate,Confirm Stokes product and continuum normalization,no,unspecified,no,Polarimetric products require product-aware ingestion,Wide optical northern coverage,Fe|refractories|activity,Capability registered; holdings not asserted,candidate,,RYA-119|RYA-191|RYA-652,Auriere 2003 EAS 9 105; PolarBase documentation,2026-07-28
nirps,NIRPS,ESO,ESO 3.6m,ESO Science Archive,https://archive.eso.org,stabilized_echelle,NIR,H,Y|J|H,972.4,1919.6,vacuum,70000,85000,south,-29.26,reduced,S1D|S2D,loader_partial,Prefer WAVE_AIR where supplied; do not reapply BERV; custom DRS may be required,yes,correction_required,yes,2.3um CO is outside coverage,YJH molecular and atomic diagnostics,C I|O I|OH|CN,Verified Alpha Cen holdings,experimental,RYA-479,RYA-479|RYA-481|RYA-498|RYA-652,Mercier et al. 2025 A&A 700 A8; NIRPS DRS documentation,2026-07-28
nirspec,NIRSPEC,Keck,W. M. Keck II,Keck Observatory Archive,https://koa.ipac.caltech.edu,cross_dispersed_echelle,NIR_IR,K,J|H|K|L|M,950.0,5500.0,vacuum,25000,37000,north,19.83,raw_reduced,extracted_orders|raw,candidate,Mode-specific reduction and wavelength calibration,yes,correction_required,yes,Strong telluric contamination in K/L/M,NIR atomic and molecular diagnostics,CO|OH|CN,Capability registered; holdings not asserted,candidate,,RYA-119|RYA-191|RYA-652,McLean et al. 1998 SPIE 3354; KOA NIRSPEC documentation,2026-07-28
phoenix,Phoenix,NOIRLab,Gemini South/legacy telescopes,NOIRLab Astro Data Archive,https://astroarchive.noirlab.edu,cryogenic_echelle,NIR_IR,K,J|H|K|L|M,1000.0,5000.0,vacuum,50000,75000,both,,raw,raw_orders,audit_only,Custom reduction; narrow single-order coverage; object identity check,yes,correction_required,yes,Raw-only holdings may lack science-ready extraction,Targeted IR molecular windows,CO|OH,Alpha Cen raw holdings inventoried but not science-ready,experimental,RYA-384,RYA-119|RYA-191|RYA-384,Hinkle et al. 1998 SPIE 3354; NOIRLab archive,2026-07-28
spirou,SPIRou,CFHT,Canada-France-Hawaii Telescope,CADC,https://www.cadc-ccda.hia-iha.nrc-cnrc.gc.ca,cross_dispersed_echelle,NIR,H,Y|J|H|K,955.8,2515.8,vacuum,70000,70000,north,19.83,reduced,APERO_t_fits,loader_ready,Only APERO telluric-corrected _t.fits; vacuum-nm to air-A; compute BERV,yes,correction_required,yes,Wapiti correction may be absent,NIR atomic and molecular coverage,CO|OH|CN|C I,Loader verified; per-system holdings remain separate,experimental,RYA-183,RYA-183|RYA-184|RYA-191|RYA-481,Donati et al. 2020 MNRAS 498 5684; Cook et al. 2022 PASP 134 114509,2026-07-28
uves,UVES,ESO,VLT,ESO Science Archive,https://archive.eso.org,cross_dispersed_echelle,UV_VIS,VIS,FUV_edge|NUV|VIS|red_optical,300.0,1100.0,air,40000,110000,south,-24.63,reduced,Phase3_SDP|ADP,loader_ready,Mode/dichroic specific coverage; apply BERV only when product frame requires it,mode_dependent,mode_dependent,no,Iodine-cell epochs must be excluded for abundance work,UV-to-red high-resolution diagnostics,O I 777|NH|CN|N I|Fe,Verified solar Procyon and Alpha Cen holdings,active,RYA-272,RYA-119|RYA-191|RYA-271|RYA-348|RYA-464,Dekker et al. 2000 SPIE 4008; ESO UVES Phase-3 documentation,2026-07-28
