# ENGINE x WAVELENGTH COVERAGE — **GENERATED by scripts/generate_engine_coverage_rya776.py — do not hand-edit**
# =====================================================================
# RYA-776. The sibling of instrument_coverage: that says which INSTRUMENT sees a
# wavelength, this says which ENGINE/GRID can model it. Read it through
# pipeline.coverage.engine_reach(), never by eye.
#
# state:
#   SERVED                   the per-line extract resolves it. Usable now.
#   REACHABLE-NOT-EXTRACTED  the model atom's levels cover it, no extract does.
#                            A derivation away, NOT a data gap.
#   UNCOVERED                catalogued lines exist here and the model carries
#                            none of them. The only state that means 'we cannot
#                            model this'.
#   REACH-UNKNOWN            reach is not locally decidable — a service-only
#                            supplier (Fe/MPIA) or no catalogued line in band.
#                            NOT a claim of absence.
#
# n_lines_catalogued is the GES in-band denominator; a 0 there is OUR linelist's
# limit, not the grid's (the 9199.9 A wall is GES, atom.fe607a reaches 20000 A).
# bands: pipeline.band_policy · reach reader: scripts/rya763_level_mapping.py
# extracts @ 769b320 · decks on Sirius: amarsi_galah + gerber_ts
element,ion,engine,grid_id,band,band_lo_A,band_hi_A,state,n_lines_served,n_lines_reachable,n_lines_catalogued,level_asset,grid_asset,note
Ca,I,B,atom.ca105b,NIR,10000.0,24000.0,REACH-UNKNOWN,0,0,0,atom.ca105b,NLTEgrid4TS_Ca_MARCS_Jun-02-2021.bin,"no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it"
Ca,II,B,atom.ca105b,near-UV,3000.0,3800.0,REACH-UNKNOWN,0,0,0,atom.ca105b,NLTEgrid4TS_Ca_MARCS_Jun-02-2021.bin,"levels rebased to this ion's ground state (-6.113 eV; the atom counts from the NEUTRAL ground state); no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it"
Ca,II,B,atom.ca105b,VIS,3800.0,6910.0,SERVED,1,1,83,atom.ca105b,NLTEgrid4TS_Ca_MARCS_Jun-02-2021.bin,levels rebased to this ion's ground state (-6.113 eV; the atom counts from the NEUTRAL ground state)
Ca,II,B,atom.ca105b,red-optical,6910.0,10000.0,SERVED,4,4,54,atom.ca105b,NLTEgrid4TS_Ca_MARCS_Jun-02-2021.bin,levels rebased to this ion's ground state (-6.113 eV; the atom counts from the NEUTRAL ground state)
Ca,II,B,atom.ca105b,NIR,10000.0,24000.0,REACH-UNKNOWN,0,0,0,atom.ca105b,NLTEgrid4TS_Ca_MARCS_Jun-02-2021.bin,"levels rebased to this ion's ground state (-6.113 eV; the atom counts from the NEUTRAL ground state); no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it"
Co,I,B,atom.co247qm,near-UV,3000.0,3800.0,REACH-UNKNOWN,0,0,0,atom.co247qm,NLTEgrid4TS_CO_MARCS_Nov-14-2024.bin,"no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it"
Co,I,B,atom.co247qm,VIS,3800.0,6910.0,SERVED,993,993,2122,atom.co247qm,NLTEgrid4TS_CO_MARCS_Nov-14-2024.bin,
Co,I,B,atom.co247qm,red-optical,6910.0,10000.0,SERVED,310,310,1007,atom.co247qm,NLTEgrid4TS_CO_MARCS_Nov-14-2024.bin,
Co,I,B,atom.co247qm,NIR,10000.0,24000.0,REACH-UNKNOWN,0,0,0,atom.co247qm,NLTEgrid4TS_CO_MARCS_Nov-14-2024.bin,"no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it"
Cr,I,A,Cr_Bergemann2010_MPIA,near-UV,3000.0,3800.0,REACH-UNKNOWN,0,0,0,,Cr_Bergemann2010_MPIA.csv,"no local Engine-A level table (no label_Cr.txt) — this element's Engine A is a web-service supplier, so its reach is not locally decidable; registry role=production"
Cr,I,A,Cr_Bergemann2010_MPIA,VIS,3800.0,6910.0,SERVED,52,0,5353,,Cr_Bergemann2010_MPIA.csv,registry role=production
Cr,I,A,Cr_Bergemann2010_MPIA,red-optical,6910.0,10000.0,REACH-UNKNOWN,0,0,2799,,Cr_Bergemann2010_MPIA.csv,"no local Engine-A level table (no label_Cr.txt) — this element's Engine A is a web-service supplier, so its reach is not locally decidable; registry role=production"
Cr,I,A,Cr_Bergemann2010_MPIA,NIR,10000.0,24000.0,REACH-UNKNOWN,0,0,0,,Cr_Bergemann2010_MPIA.csv,"no local Engine-A level table (no label_Cr.txt) — this element's Engine A is a web-service supplier, so its reach is not locally decidable; registry role=production"
Cu,I,A,Cu_Caliskan2024_PySME,near-UV,3000.0,3800.0,REACH-UNKNOWN,0,0,0,,Cu_Caliskan2024_PySME.csv,"no local Engine-A level table (no label_Cu.txt) — this element's Engine A is a web-service supplier, so its reach is not locally decidable; registry role=done-grid"
Cu,I,A,Cu_Caliskan2024_PySME,VIS,3800.0,6910.0,SERVED,1,0,866,,Cu_Caliskan2024_PySME.csv,registry role=done-grid
Cu,I,A,Cu_Caliskan2024_PySME,red-optical,6910.0,10000.0,REACH-UNKNOWN,0,0,389,,Cu_Caliskan2024_PySME.csv,"no local Engine-A level table (no label_Cu.txt) — this element's Engine A is a web-service supplier, so its reach is not locally decidable; registry role=done-grid"
Cu,I,A,Cu_Caliskan2024_PySME,NIR,10000.0,24000.0,REACH-UNKNOWN,0,0,0,,Cu_Caliskan2024_PySME.csv,"no local Engine-A level table (no label_Cu.txt) — this element's Engine A is a web-service supplier, so its reach is not locally decidable; registry role=done-grid"
Fe,I,A,Fe_Bergemann_MPIA,near-UV,3000.0,3800.0,SERVED,1,0,0,,Fe_Bergemann_MPIA.csv,registry role=production
Fe,I,A,Fe_Bergemann_MPIA,VIS,3800.0,6910.0,SERVED,251,0,8243,,Fe_Bergemann_MPIA.csv,registry role=production
Fe,I,A,Fe_Bergemann_MPIA,red-optical,6910.0,10000.0,REACH-UNKNOWN,0,0,5871,,Fe_Bergemann_MPIA.csv,"no local Engine-A level table (no label_Fe.txt) — this element's Engine A is a web-service supplier, so its reach is not locally decidable; registry role=production"
Fe,I,A,Fe_Bergemann_MPIA,NIR,10000.0,24000.0,REACH-UNKNOWN,0,0,0,,Fe_Bergemann_MPIA.csv,"no local Engine-A level table (no label_Fe.txt) — this element's Engine A is a web-service supplier, so its reach is not locally decidable; registry role=production"
Fe,I,B,atom.fe607a,near-UV,3000.0,3800.0,REACH-UNKNOWN,0,0,0,atom.fe607a,NLTEgrid4TS_Fe_MARCS_May-07-2021.bin,"no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it"
Fe,I,B,atom.fe607a,VIS,3800.0,6910.0,SERVED,3883,3883,8243,atom.fe607a,NLTEgrid4TS_Fe_MARCS_May-07-2021.bin,
Fe,I,B,atom.fe607a,red-optical,6910.0,10000.0,SERVED,1620,1620,5871,atom.fe607a,NLTEgrid4TS_Fe_MARCS_May-07-2021.bin,
Fe,I,B,atom.fe607a,NIR,10000.0,24000.0,REACH-UNKNOWN,0,0,0,atom.fe607a,NLTEgrid4TS_Fe_MARCS_May-07-2021.bin,"no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it"
Fe,II,A,Fe_Bergemann_MPIA,near-UV,3000.0,3800.0,REACH-UNKNOWN,0,0,0,,Fe_Bergemann_MPIA.csv,"no local Engine-A level table (no label_Fe.txt) — this element's Engine A is a web-service supplier, so its reach is not locally decidable; registry role=production"
Fe,II,A,Fe_Bergemann_MPIA,VIS,3800.0,6910.0,SERVED,80,0,8870,,Fe_Bergemann_MPIA.csv,registry role=production
Fe,II,A,Fe_Bergemann_MPIA,red-optical,6910.0,10000.0,REACH-UNKNOWN,0,0,6696,,Fe_Bergemann_MPIA.csv,"no local Engine-A level table (no label_Fe.txt) — this element's Engine A is a web-service supplier, so its reach is not locally decidable; registry role=production"
Fe,II,A,Fe_Bergemann_MPIA,NIR,10000.0,24000.0,REACH-UNKNOWN,0,0,0,,Fe_Bergemann_MPIA.csv,"no local Engine-A level table (no label_Fe.txt) — this element's Engine A is a web-service supplier, so its reach is not locally decidable; registry role=production"
Fe,II,B,atom.fe607a,near-UV,3000.0,3800.0,REACH-UNKNOWN,0,0,0,atom.fe607a,NLTEgrid4TS_Fe_MARCS_May-07-2021.bin,"levels rebased to this ion's ground state (-7.950 eV; the atom counts from the NEUTRAL ground state); no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it"
Fe,II,B,atom.fe607a,VIS,3800.0,6910.0,REACH-UNKNOWN,0,0,8870,atom.fe607a,NLTEgrid4TS_Fe_MARCS_May-07-2021.bin,"levels rebased to this ion's ground state (-7.950 eV; the atom counts from the NEUTRAL ground state); not one endpoint of 8870 catalogued line(s) resolves in atom.fe607a — the (J, energy) key does not address this table (super-levels carry a summed statistical weight, so G is not 2J+1), so absence cannot be asserted from it"
Fe,II,B,atom.fe607a,red-optical,6910.0,10000.0,REACH-UNKNOWN,0,0,6696,atom.fe607a,NLTEgrid4TS_Fe_MARCS_May-07-2021.bin,"levels rebased to this ion's ground state (-7.950 eV; the atom counts from the NEUTRAL ground state); not one endpoint of 6696 catalogued line(s) resolves in atom.fe607a — the (J, energy) key does not address this table (super-levels carry a summed statistical weight, so G is not 2J+1), so absence cannot be asserted from it"
Fe,II,B,atom.fe607a,NIR,10000.0,24000.0,REACH-UNKNOWN,0,0,0,atom.fe607a,NLTEgrid4TS_Fe_MARCS_May-07-2021.bin,"levels rebased to this ion's ground state (-7.950 eV; the atom counts from the NEUTRAL ground state); no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it"
H,I,B,atom.h20,near-UV,3000.0,3800.0,REACH-UNKNOWN,0,0,0,atom.h20,,"no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it"
H,I,B,atom.h20,VIS,3800.0,6910.0,REACH-UNKNOWN,0,0,3,atom.h20,,"not one endpoint of 3 catalogued line(s) resolves in atom.h20 — the (J, energy) key does not address this table (super-levels carry a summed statistical weight, so G is not 2J+1), so absence cannot be asserted from it"
H,I,B,atom.h20,red-optical,6910.0,10000.0,REACH-UNKNOWN,0,0,55,atom.h20,,"not one endpoint of 55 catalogued line(s) resolves in atom.h20 — the (J, energy) key does not address this table (super-levels carry a summed statistical weight, so G is not 2J+1), so absence cannot be asserted from it"
H,I,B,atom.h20,NIR,10000.0,24000.0,REACH-UNKNOWN,0,0,0,atom.h20,,"no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it"
K,I,A,K_Amarsi2020_PySME,near-UV,3000.0,3800.0,REACH-UNKNOWN,0,0,0,label_K.txt,K_Amarsi2020_PySME.csv,"no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it; registry role=production"
K,I,A,K_Amarsi2020_PySME,VIS,3800.0,6910.0,REACHABLE-NOT-EXTRACTED,0,49,49,label_K.txt,K_Amarsi2020_PySME.csv,levels present in the model; no per-line extract exposes this band; registry role=production
K,I,A,K_Amarsi2020_PySME,red-optical,6910.0,10000.0,SERVED,2,83,87,label_K.txt,K_Amarsi2020_PySME.csv,registry role=production
K,I,A,K_Amarsi2020_PySME,NIR,10000.0,24000.0,REACH-UNKNOWN,0,0,0,label_K.txt,K_Amarsi2020_PySME.csv,"no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it; registry role=production"
Mg,I,A,Mg_Amarsi2020_PySME,near-UV,3000.0,3800.0,REACH-UNKNOWN,0,0,0,label_Mg.txt,Mg_Amarsi2020_PySME.csv,"no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it; registry role=production"
Mg,I,A,Mg_Amarsi2020_PySME,VIS,3800.0,6910.0,SERVED,2,37,47,label_Mg.txt,Mg_Amarsi2020_PySME.csv,registry role=production
Mg,I,A,Mg_Amarsi2020_PySME,red-optical,6910.0,10000.0,REACHABLE-NOT-EXTRACTED,0,156,198,label_Mg.txt,Mg_Amarsi2020_PySME.csv,levels present in the model; no per-line extract exposes this band; registry role=production
Mg,I,A,Mg_Amarsi2020_PySME,NIR,10000.0,24000.0,REACH-UNKNOWN,0,0,0,label_Mg.txt,Mg_Amarsi2020_PySME.csv,"no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it; registry role=production"
Mg,I,A,Mg_Bergemann_MPIA,near-UV,3000.0,3800.0,REACH-UNKNOWN,0,0,0,label_Mg.txt,Mg_Bergemann_MPIA.csv,"no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it"
Mg,I,A,Mg_Bergemann_MPIA,VIS,3800.0,6910.0,SERVED,3,37,47,label_Mg.txt,Mg_Bergemann_MPIA.csv,
Mg,I,A,Mg_Bergemann_MPIA,red-optical,6910.0,10000.0,REACHABLE-NOT-EXTRACTED,0,156,198,label_Mg.txt,Mg_Bergemann_MPIA.csv,levels present in the model; no per-line extract exposes this band
Mg,I,A,Mg_Bergemann_MPIA,NIR,10000.0,24000.0,REACH-UNKNOWN,0,0,0,label_Mg.txt,Mg_Bergemann_MPIA.csv,"no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it"
Mg,I,B,atom.mg86d,near-UV,3000.0,3800.0,REACH-UNKNOWN,0,0,0,atom.mg86d,NLTEgrid4TS_Mg_MARCS_Nov-13-2024.bin,"no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it"
Mg,I,B,atom.mg86d,VIS,3800.0,6910.0,SERVED,8,8,47,atom.mg86d,NLTEgrid4TS_Mg_MARCS_Nov-13-2024.bin,
Mg,I,B,atom.mg86d,red-optical,6910.0,10000.0,SERVED,4,4,198,atom.mg86d,NLTEgrid4TS_Mg_MARCS_Nov-13-2024.bin,
Mg,I,B,atom.mg86d,NIR,10000.0,24000.0,REACH-UNKNOWN,0,0,0,atom.mg86d,NLTEgrid4TS_Mg_MARCS_Nov-13-2024.bin,"no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it"
Mn,I,A,Mn_Bergemann_MPIA,near-UV,3000.0,3800.0,REACH-UNKNOWN,0,0,0,label_Mn.txt,Mn_Bergemann_MPIA.csv,"no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it; registry role=production"
Mn,I,A,Mn_Bergemann_MPIA,VIS,3800.0,6910.0,SERVED,4,1256,2538,label_Mn.txt,Mn_Bergemann_MPIA.csv,registry role=production
Mn,I,A,Mn_Bergemann_MPIA,red-optical,6910.0,10000.0,REACHABLE-NOT-EXTRACTED,0,895,1871,label_Mn.txt,Mn_Bergemann_MPIA.csv,levels present in the model; no per-line extract exposes this band; registry role=production
Mn,I,A,Mn_Bergemann_MPIA,NIR,10000.0,24000.0,REACH-UNKNOWN,0,0,0,label_Mn.txt,Mn_Bergemann_MPIA.csv,"no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it; registry role=production"
Mn,I,B,atom.mn281kbc,near-UV,3000.0,3800.0,REACH-UNKNOWN,0,0,0,atom.mn281kbc,NLTEgrid4TS_MN_MARCS_Mar-15-2023.bin,"no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it"
Mn,I,B,atom.mn281kbc,VIS,3800.0,6910.0,SERVED,450,450,2538,atom.mn281kbc,NLTEgrid4TS_MN_MARCS_Mar-15-2023.bin,
Mn,I,B,atom.mn281kbc,red-optical,6910.0,10000.0,SERVED,229,229,1871,atom.mn281kbc,NLTEgrid4TS_MN_MARCS_Mar-15-2023.bin,
Mn,I,B,atom.mn281kbc,NIR,10000.0,24000.0,REACH-UNKNOWN,0,0,0,atom.mn281kbc,NLTEgrid4TS_MN_MARCS_Mar-15-2023.bin,"no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it"
Mn,II,B,atom.mn281kbc,near-UV,3000.0,3800.0,REACH-UNKNOWN,0,0,0,atom.mn281kbc,NLTEgrid4TS_MN_MARCS_Mar-15-2023.bin,"levels rebased to this ion's ground state (-7.434 eV; the atom counts from the NEUTRAL ground state); no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it"
Mn,II,B,atom.mn281kbc,VIS,3800.0,6910.0,SERVED,171,171,1693,atom.mn281kbc,NLTEgrid4TS_MN_MARCS_Mar-15-2023.bin,levels rebased to this ion's ground state (-7.434 eV; the atom counts from the NEUTRAL ground state)
Mn,II,B,atom.mn281kbc,red-optical,6910.0,10000.0,SERVED,190,190,1247,atom.mn281kbc,NLTEgrid4TS_MN_MARCS_Mar-15-2023.bin,levels rebased to this ion's ground state (-7.434 eV; the atom counts from the NEUTRAL ground state)
Mn,II,B,atom.mn281kbc,NIR,10000.0,24000.0,REACH-UNKNOWN,0,0,0,atom.mn281kbc,NLTEgrid4TS_MN_MARCS_Mar-15-2023.bin,"levels rebased to this ion's ground state (-7.434 eV; the atom counts from the NEUTRAL ground state); no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it"
N,I,A,N_Amarsi2020_PySME,near-UV,3000.0,3800.0,REACH-UNKNOWN,0,0,0,label_N.txt,N_Amarsi2020_PySME.csv,"no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it; registry role=production"
N,I,A,N_Amarsi2020_PySME,VIS,3800.0,6910.0,REACHABLE-NOT-EXTRACTED,0,79,97,label_N.txt,N_Amarsi2020_PySME.csv,levels present in the model; no per-line extract exposes this band; registry role=production
N,I,A,N_Amarsi2020_PySME,red-optical,6910.0,10000.0,SERVED,3,67,68,label_N.txt,N_Amarsi2020_PySME.csv,registry role=production
N,I,A,N_Amarsi2020_PySME,NIR,10000.0,24000.0,REACH-UNKNOWN,0,0,0,label_N.txt,N_Amarsi2020_PySME.csv,"no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it; registry role=production"
Na,I,A,Na_Amarsi2020_PySME,near-UV,3000.0,3800.0,REACH-UNKNOWN,0,0,0,label_Na.txt,Na_Amarsi2020_PySME.csv,"no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it; registry role=production"
Na,I,A,Na_Amarsi2020_PySME,VIS,3800.0,6910.0,SERVED,2,42,50,label_Na.txt,Na_Amarsi2020_PySME.csv,registry role=production
Na,I,A,Na_Amarsi2020_PySME,red-optical,6910.0,10000.0,REACHABLE-NOT-EXTRACTED,0,14,23,label_Na.txt,Na_Amarsi2020_PySME.csv,levels present in the model; no per-line extract exposes this band; registry role=production
Na,I,A,Na_Amarsi2020_PySME,NIR,10000.0,24000.0,REACH-UNKNOWN,0,0,0,label_Na.txt,Na_Amarsi2020_PySME.csv,"no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it; registry role=production"
Na,I,A,Na_Lind2011_INSPECT,near-UV,3000.0,3800.0,REACH-UNKNOWN,0,0,0,label_Na.txt,Na_Lind2011_INSPECT.csv,"no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it"
Na,I,A,Na_Lind2011_INSPECT,VIS,3800.0,6910.0,SERVED,2,42,50,label_Na.txt,Na_Lind2011_INSPECT.csv,
Na,I,A,Na_Lind2011_INSPECT,red-optical,6910.0,10000.0,REACHABLE-NOT-EXTRACTED,0,14,23,label_Na.txt,Na_Lind2011_INSPECT.csv,levels present in the model; no per-line extract exposes this band
Na,I,A,Na_Lind2011_INSPECT,NIR,10000.0,24000.0,REACH-UNKNOWN,0,0,0,label_Na.txt,Na_Lind2011_INSPECT.csv,"no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it"
Na,I,B,atom.na_qmh,near-UV,3000.0,3800.0,REACH-UNKNOWN,0,0,0,atom.na_qmh,NLTEgrid4TS_Na_MARCS_Jul-14-2023.bin,"no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it"
Na,I,B,atom.na_qmh,VIS,3800.0,6910.0,SERVED,43,43,50,atom.na_qmh,NLTEgrid4TS_Na_MARCS_Jul-14-2023.bin,
Na,I,B,atom.na_qmh,red-optical,6910.0,10000.0,SERVED,17,17,23,atom.na_qmh,NLTEgrid4TS_Na_MARCS_Jul-14-2023.bin,
Na,I,B,atom.na_qmh,NIR,10000.0,24000.0,REACH-UNKNOWN,0,0,0,atom.na_qmh,NLTEgrid4TS_Na_MARCS_Jul-14-2023.bin,"no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it"
Na,II,B,atom.na_qmh,near-UV,3000.0,3800.0,REACH-UNKNOWN,0,0,0,atom.na_qmh,NLTEgrid4TS_Na_MARCS_Jul-14-2023.bin,"levels rebased to this ion's ground state (-5.139 eV; the atom counts from the NEUTRAL ground state); no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it"
Na,II,B,atom.na_qmh,VIS,3800.0,6910.0,REACH-UNKNOWN,0,0,0,atom.na_qmh,NLTEgrid4TS_Na_MARCS_Jul-14-2023.bin,"levels rebased to this ion's ground state (-5.139 eV; the atom counts from the NEUTRAL ground state); no catalogued line in band — a zero here measures the LINELIST's span, not the grid's, so absence cannot be asserted from it"
