# solar gold-standard abundance reference — RYA-469 (write-once, immutable)
# version: v4
# frozen_utc: 2026-08-14T05:11:01Z
# source_commit: 17a08c474fbb
# source_file: data/reference/solar/solar_abundances_v4_candidate.csv
# fe_anchor_a_fe1: 7.466
# verdict: PASS=7 NLTE-OWED=? CURATION-OWED=19 DATA-GAP=0
# changelog: RYA-811 — LABEL-ONLY re-freeze: the Fe I row method_scale 1D-NLTE (Fe I) -> 3D-NLTE (Fe I). The VALUE 7.466 is UNCHANGED and was always correct — v3 froze a post-Magic-2013 3D value under a pre-correction 1D label (the RYA-669 defect), which made solar_scale_provenance.resolve_gold_scale refuse to load gold and blocked phase_c. Every other row byte-identical.
# supersedes: v3
# immutable: editing this file trips the RYA-469 immutability guard
element,ion,A_X,A_X_nlte,confidence,verdict,method_scale,asplund2021,n_lines,source,note
S,I,,,owed,CURATION-OWED,synthesis,7.12,2,phase_c_verdict (RYA-521),"synthesis: Costa-Silva gf (RYA-492) — A(X) 7.486 HELD at tier 'owed' (RYA-522), not frozen"
N,I,,,owed,CURATION-OWED,atlas 1D,7.83,3,phase_c_verdict (RYA-521),"N I red multiplets; +0.37 owed NLTE (RYA-369) — A(X) 8.188 HELD at tier 'owed' (RYA-522), not frozen"
Co,I,,,owed,PASS,synthesis,4.94,5,phase_c_verdict (RYA-521),"synthesis: Co I red HFS (RYA-564) — A(X) 4.965 HELD at tier 'owed' (RYA-522), not frozen"
Cr,I,6.022,6.022,gf_floor,CURATION-OWED,EW 1D-LTE/NLTE,5.62,7,phase_c_verdict (RYA-521),characterized gf-scale floor (+0.40); 3D not the lever (RYA-398/399)
Al,I,,,owed,CURATION-OWED,EW 1D-LTE/NLTE,6.43,1,phase_c_verdict (RYA-521),EW: 1 curated line(s); value HELD at gold tier 'owed' (RYA-522) — not a graded-cull blank
K,I,5.099,5.099,gold,PASS,atlas 1D,5.07,1,phase_c_verdict (RYA-521),K I 7699 + K NLTE grid (RYA-462)
Ba,I,,,owed,CURATION-OWED,synthesis,2.27,1,phase_c_verdict (RYA-521),"synthesis: Ba II 5853 HFS (RYA-559) — A(X) 2.410 HELD at tier 'owed' (RYA-522), not frozen"
Y,I,,,owed,CURATION-OWED,EW 1D-LTE/NLTE,2.21,0,phase_c_verdict (RYA-521),EW present; no independent-gf line survives the graded cull
V,I,,,owed,CURATION-OWED,synthesis,3.9,6,phase_c_verdict (RYA-521),"HFS-resolved synthesis (RYA-411/466/473) — A(X) 3.917 HELD at tier 'owed' (RYA-522), not frozen"
Cu,I,,,owed,CURATION-OWED,synthesis,4.18,5,phase_c_verdict (RYA-521),"HFS-resolved synthesis (RYA-411/466/473) — A(X) 4.345 HELD at tier 'owed' (RYA-522), not frozen"
Mn,I,5.466,5.466,gold,PASS,synthesis,5.42,3,phase_c_verdict (RYA-521),HFS-resolved synthesis (RYA-411/466/473)
Sc,II,3.203,3.203,gold,CURATION-OWED,atlas 1D,3.14,1,phase_c_verdict (RYA-521),blue-edge HFS single line (RYA-460)
Li,I,0.727,0.727,upper_limit,CURATION-OWED,EW (upper limit),1.05,1,phase_c_verdict (RYA-521),"CN-blended, carried as UPPER LIMIT (RYA-103) — a clean low value is a red flag"
Eu,I,,,owed,CURATION-OWED,EW 1D-LTE/NLTE,0.52,0,phase_c_verdict (RYA-521),EW present; no independent-gf line survives the graded cull
Zr,I,,,owed,CURATION-OWED,EW 1D-LTE/NLTE,2.59,0,phase_c_verdict (RYA-521),EW present; no independent-gf line survives the graded cull
Sr,I,,,owed,CURATION-OWED,EW 1D-LTE/NLTE,2.83,1,phase_c_verdict (RYA-521),EW: 1 curated line(s); value HELD at gold tier 'owed' (RYA-522) — not a graded-cull blank
