# solar gold-standard abundance reference — RYA-469 (write-once, immutable)
# version: v3
# frozen_utc: 2026-08-07T22:49:49Z
# source_commit: 2fd4f44f9060
# source_file: data/reference/solar/solar_abundances_corrected_candidate_rya653.csv
# fe_anchor_a_fe1: 7.466
# verdict: PASS=6 NLTE-OWED=? CURATION-OWED=20 DATA-GAP=0
# changelog: gold v3: freeze the RYA-653 corrected candidate -- ports Fe I 7.516 -> 7.466 (RYA-553 1D->3D Magic-2013), Mn I 5.47 -> 5.466 (RYA-546 ab-initio), Co I CURATION-OWED -> PASS 4.965 (RYA-564, HELD at owed), N I NLTE-OWED -> CURATION-OWED 8.188 (RYA-556, HELD at owed), Ba II phantom cleared and 2.410 HELD (RYA-559; deblend RYA-581 owed post-freeze). Post-527 phase 2 will re-run the two-engine floor on current main and produce v4 iff the re-emit surfaces material changes.
# supersedes: v2
# immutable: editing this file trips the RYA-469 immutability guard
element,ion,A_X,A_X_nlte,confidence,verdict,method_scale,asplund2021,n_lines,source,note
S,I,,,owed,CURATION-OWED,synthesis,7.12,2,phase_c_verdict (RYA-521),"synthesis: Costa-Silva gf (RYA-492) — A(X) 7.486 HELD at tier 'owed' (RYA-522), not frozen"
N,I,,,owed,CURATION-OWED,atlas 1D,7.83,3,phase_c_verdict (RYA-521),"N I red multiplets; +0.37 owed NLTE (RYA-369) — A(X) 8.188 HELD at tier 'owed' (RYA-522), not frozen"
Co,I,,,owed,PASS,synthesis,4.94,5,phase_c_verdict (RYA-521),"synthesis: Co I red HFS (RYA-564) — A(X) 4.965 HELD at tier 'owed' (RYA-522), not frozen"
Cr,I,6.022,6.022,gf_floor,CURATION-OWED,EW 1D-LTE/NLTE,5.62,7,phase_c_verdict (RYA-521),characterized gf-scale floor (+0.40); 3D not the lever (RYA-398/399)
Al,I,,,owed,CURATION-OWED,EW 1D-LTE/NLTE,6.43,1,phase_c_verdict (RYA-521),EW: 1 curated line(s); value HELD at gold tier 'owed' (RYA-522) — not a graded-cull blank
K,I,5.099,5.099,gold,PASS,atlas 1D,5.07,1,phase_c_verdict (RYA-521),K I 7699 + K NLTE grid (RYA-462)
Ba,I,,,owed,CURATION-OWED,synthesis,2.27,1,phase_c_verdict (RYA-521),"synthesis: Ba II 5853 HFS (RYA-559) — A(X) 2.410 HELD at tier 'owed' (RYA-522), not frozen"
Y,I,,,owed,CURATION-OWED,EW 1D-LTE/NLTE,2.21,0,phase_c_verdict (RYA-521),EW present; no independent-gf line survives the graded cull
V,I,,,owed,CURATION-OWED,synthesis,3.9,6,phase_c_verdict (RYA-521),"HFS-resolved synthesis (RYA-411/466/473) — A(X) 3.917 HELD at tier 'owed' (RYA-522), not frozen"
Cu,I,,,owed,CURATION-OWED,synthesis,4.18,5,phase_c_verdict (RYA-521),"HFS-resolved synthesis (RYA-411/466/473) — A(X) 4.345 HELD at tier 'owed' (RYA-522), not frozen"
Mn,I,5.466,5.466,gold,PASS,synthesis,5.42,3,phase_c_verdict (RYA-521),HFS-resolved synthesis (RYA-411/466/473)
Sc,II,3.203,3.203,gold,CURATION-OWED,atlas 1D,3.14,1,phase_c_verdict (RYA-521),blue-edge HFS single line (RYA-460)
Li,I,0.727,0.727,upper_limit,CURATION-OWED,EW (upper limit),1.05,1,phase_c_verdict (RYA-521),"CN-blended, carried as UPPER LIMIT (RYA-103) — a clean low value is a red flag"
Eu,I,,,owed,CURATION-OWED,EW 1D-LTE/NLTE,0.52,0,phase_c_verdict (RYA-521),EW present; no independent-gf line survives the graded cull
Zr,I,,,owed,CURATION-OWED,EW 1D-LTE/NLTE,2.59,0,phase_c_verdict (RYA-521),EW present; no independent-gf line survives the graded cull
Sr,I,,,owed,CURATION-OWED,EW 1D-LTE/NLTE,2.83,1,phase_c_verdict (RYA-521),EW: 1 curated line(s); value HELD at gold tier 'owed' (RYA-522) — not a graded-cull blank
