element,ion,wavelength_air_A,instrument,ew_mA,ew_method,abundance,rew,treatment,in_aggregate,excluded_reason,ep_eV,ew_inversion,sigma_A,frac_rise_weaker,edge_distance_dex,red_chi2,nlte_delta_dex,nlte_source,observed_conditioning,continuum_level,continuum_method,continuum_ref,profile_sigma_A,profile_sigma_floor_A,profile_gamma_A,observed_depth,implied_width_A,source_file,source_sha256,literature_1d_lte_intensity,geometry_comparison,disposition
N,I,8629.235,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",8.487,,1D-LTE,True,,10.69,False,0.309974672331942,0.0205410225334923,3.6613850231464142,46.316,0.0,"none — LTE, no departure applied",native,,,,,,,,,data/output/rya1220/prior_products/NI_6910_9199_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_SET-AGSS21_1D-LTE_lines.csv,eb44fed7c57e736ed44d84a19582dbae42d3b68699856cc029d4f2b32ea3a862,7.812,flux versus disk-center intensity; NOT matched,diagnostic_only_pending_reproduction_and_full_budget
N,I,8683.403,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",8.231,,1D-LTE,True,,10.33,False,0.2012685543771822,0.0405547268160615,3.405139808469163,30.914,0.0,"none — LTE, no departure applied",native,,,,,,,,,data/output/rya1220/prior_products/NI_6910_9199_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_SET-AGSS21_1D-LTE_lines.csv,eb44fed7c57e736ed44d84a19582dbae42d3b68699856cc029d4f2b32ea3a862,7.805,flux versus disk-center intensity; NOT matched,diagnostic_only_pending_reproduction_and_full_budget
N,I,7442.298,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",,,ENGINE-A,False,"ENGINE-A-NOT-SERVED: the registered source returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",10.33,True,,,,40.968,,registered per-line delta_nlte (NOT SERVED),,,,,,,,,,data/output/rya1220/prior_products/NI_6910_9199_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_SET-AGSS21_ENGINE-A_lines.csv,1714ef08e6ba8454b37981b042ef166c3f18e4151165a433cc56dd4c9cedacd4,7.806,flux versus disk-center intensity; NOT matched,diagnostic_only_pending_reproduction_and_full_budget
N,I,8216.336,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",8.162452272727272,,ENGINE-A,True,,10.336,True,,,,54.972,-0.0145477272727272,"N_Amarsi2020_PySME.csv (Amarsi et al. 2020 (A&A 642, A62) N I departure grid via PySME (Zenodo 3982506); N I red triplet 7468/8216/8683 high-excitation atomic; RYA-369 strategy / RYA-526 PySME-derived deltas (solar reproduces the RYA-369 load-test)); PER-LINE additive correction",,,,,,,,,,data/output/rya1220/prior_products/NI_6910_9199_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_SET-AGSS21_ENGINE-A_lines.csv,1714ef08e6ba8454b37981b042ef166c3f18e4151165a433cc56dd4c9cedacd4,7.806,flux versus disk-center intensity; NOT matched,diagnostic_only_pending_reproduction_and_full_budget
N,I,8629.235,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",,,ENGINE-A,False,"ENGINE-A-NOT-SERVED: the registered source returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",10.69,True,,,,46.316,,registered per-line delta_nlte (NOT SERVED),,,,,,,,,,data/output/rya1220/prior_products/NI_6910_9199_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_SET-AGSS21_ENGINE-A_lines.csv,1714ef08e6ba8454b37981b042ef166c3f18e4151165a433cc56dd4c9cedacd4,7.812,flux versus disk-center intensity; NOT matched,diagnostic_only_pending_reproduction_and_full_budget
N,I,8683.403,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat",8.215552272727273,,ENGINE-A,True,,10.33,True,,,,30.914,-0.0154477272727272,"N_Amarsi2020_PySME.csv (Amarsi et al. 2020 (A&A 642, A62) N I departure grid via PySME (Zenodo 3982506); N I red triplet 7468/8216/8683 high-excitation atomic; RYA-369 strategy / RYA-526 PySME-derived deltas (solar reproduces the RYA-369 load-test)); PER-LINE additive correction",,,,,,,,,,data/output/rya1220/prior_products/NI_6910_9199_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_SET-AGSS21_ENGINE-A_lines.csv,1714ef08e6ba8454b37981b042ef166c3f18e4151165a433cc56dd4c9cedacd4,7.805,flux versus disk-center intensity; NOT matched,diagnostic_only_pending_reproduction_and_full_budget
N,I,7442.298,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0740,lm0744[uncorrected: no telluric band registered]",8.395,,1D-LTE,True,,10.33,False,0.418378552641194,0.0089586393598769,3.5689725425466365,46.198,0.0,"none — LTE, no departure applied",native,,,,,,,,,data/output/rya1220/prior_products/NI_6910_9199_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_SET-AGSS21_1D-LTE_lines.csv,80a2227de9f53ef5b6560e9a25d2ba5a67e6367c88606c684cd268025d5f762b,7.806,flux versus disk-center intensity; NOT matched,diagnostic_only_pending_reproduction_and_full_budget
N,I,8216.336,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · kp1984_corrected_8100_8400.txt",7.875,,1D-LTE,True,,10.336,False,1.5513528469472877,0.0082097003750193,3.0490376220997417,53.566,0.0,"none — LTE, no departure applied",native,,,,,,,,,data/output/rya1220/prior_products/NI_6910_9199_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_SET-AGSS21_1D-LTE_lines.csv,80a2227de9f53ef5b6560e9a25d2ba5a67e6367c88606c684cd268025d5f762b,7.806,flux versus disk-center intensity; NOT matched,diagnostic_only_pending_reproduction_and_full_budget
N,I,8629.235,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0860[uncorrected: no telluric band registered]",8.388,,1D-LTE,True,,10.69,False,0.2558910474153876,0.0238122014917791,3.56234794324014,29.136,0.0,"none — LTE, no departure applied",native,,,,,,,,,data/output/rya1220/prior_products/NI_6910_9199_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_SET-AGSS21_1D-LTE_lines.csv,80a2227de9f53ef5b6560e9a25d2ba5a67e6367c88606c684cd268025d5f762b,7.812,flux versus disk-center intensity; NOT matched,diagnostic_only_pending_reproduction_and_full_budget
N,I,8683.403,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0868[uncorrected: no telluric band registered]",8.186,,1D-LTE,True,,10.33,False,0.2910223363865463,0.0220362567034524,3.3596505239783037,49.601,0.0,"none — LTE, no departure applied",native,,,,,,,,,data/output/rya1220/prior_products/NI_6910_9199_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_SET-AGSS21_1D-LTE_lines.csv,80a2227de9f53ef5b6560e9a25d2ba5a67e6367c88606c684cd268025d5f762b,7.805,flux versus disk-center intensity; NOT matched,diagnostic_only_pending_reproduction_and_full_budget
N,I,7442.298,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0740,lm0744[uncorrected: no telluric band registered]",,,ENGINE-A,False,"ENGINE-A-NOT-SERVED: the registered source returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",10.33,True,,,,46.198,,registered per-line delta_nlte (NOT SERVED),,,,,,,,,,data/output/rya1220/prior_products/NI_6910_9199_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_SET-AGSS21_ENGINE-A_lines.csv,38a85b9160dc78b99fe3a28ccb853f2a3e76d069e8053b36bdacd1e4108ab66a,7.806,flux versus disk-center intensity; NOT matched,diagnostic_only_pending_reproduction_and_full_budget
N,I,8216.336,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · kp1984_corrected_8100_8400.txt",7.860452272727272,,ENGINE-A,True,,10.336,True,,,,53.566,-0.0145477272727272,"N_Amarsi2020_PySME.csv (Amarsi et al. 2020 (A&A 642, A62) N I departure grid via PySME (Zenodo 3982506); N I red triplet 7468/8216/8683 high-excitation atomic; RYA-369 strategy / RYA-526 PySME-derived deltas (solar reproduces the RYA-369 load-test)); PER-LINE additive correction",,,,,,,,,,data/output/rya1220/prior_products/NI_6910_9199_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_SET-AGSS21_ENGINE-A_lines.csv,38a85b9160dc78b99fe3a28ccb853f2a3e76d069e8053b36bdacd1e4108ab66a,7.806,flux versus disk-center intensity; NOT matched,diagnostic_only_pending_reproduction_and_full_budget
N,I,8629.235,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0860[uncorrected: no telluric band registered]",,,ENGINE-A,False,"ENGINE-A-NOT-SERVED: the registered source returns no usable delta_nlte for this line (absent, nan, or a placeholder zero). Reduced coverage, not a failed correction.",10.69,True,,,,29.136,,registered per-line delta_nlte (NOT SERVED),,,,,,,,,,data/output/rya1220/prior_products/NI_6910_9199_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_SET-AGSS21_ENGINE-A_lines.csv,38a85b9160dc78b99fe3a28ccb853f2a3e76d069e8053b36bdacd1e4108ab66a,7.812,flux versus disk-center intensity; NOT matched,diagnostic_only_pending_reproduction_and_full_budget
N,I,8683.403,kpno_solar_atlas,,"synthesis flux-fit, FIXED half-width +/-1.1 A (RYA-759 route; no EW exists in this band to key the production wing-wide rule); observed from holding=solar_kpno_molecfit_corrected · lm0868[uncorrected: no telluric band registered]",8.170552272727273,,ENGINE-A,True,,10.33,True,,,,49.601,-0.0154477272727272,"N_Amarsi2020_PySME.csv (Amarsi et al. 2020 (A&A 642, A62) N I departure grid via PySME (Zenodo 3982506); N I red triplet 7468/8216/8683 high-excitation atomic; RYA-369 strategy / RYA-526 PySME-derived deltas (solar reproduces the RYA-369 load-test)); PER-LINE additive correction",,,,,,,,,,data/output/rya1220/prior_products/NI_6910_9199_kpno_solar_atlas_solar_kpno_molecfit_corrected_SYNTH_SET-AGSS21_ENGINE-A_lines.csv,38a85b9160dc78b99fe3a28ccb853f2a3e76d069e8053b36bdacd1e4108ab66a,7.805,flux versus disk-center intensity; NOT matched,diagnostic_only_pending_reproduction_and_full_budget
