key,authors,year,title,venue,doi,url,category,role_in_codex,tickets,local_file,license_note,verified
barbuy2009_iaus,"Barbuy, B.; Zoccali, M.; Ortolani, S.; Hill, V.; Renzini, A.; Melendez, J.; Gomez, A.; Asplund, M.; Minniti, D.; Bica, E.; Alves-Brito, A.",2009,Stellar abundances tracing the formation of the Galactic Bulge,"IAU Symposium 254 (The Galaxy Disk in Cosmological Context), 153",10.1017/S1743921308027531,https://doi.org/10.1017/S1743921308027531,cno,"Compares oxygen abundances from the [O I] 630 nm line against IR OH lines in bulge giants — the same two-indicator disagreement the Codex hits on its own solar oxygen, from a different stellar population.",RYA-447; RYA-485,Reference documents/2009IAUS..254..153B,"The local file has NO extension; its name is the ADS bibcode. DOI is printed on the paper's own first page and confirmed against Crossref. Crossref dates the record 2008 (the symposium); the proceedings volume and the paper's own copyright line say 2009, which is the year used here.",extracted
barbuy2009_rmxac,"Barbuy, B.; Dias, B.; Alves-Brito, A.; Zoccali, M.; Minniti, D.; Melendez, J.; Asplund, M.; Ortolani, S.; Renzini, A.; Hill, V.; Gomez, A.; Bica, E.",2009,Metal-poor globular clusters of the Galactic bulge,"RevMexAA (Serie de Conferencias) 35, 150-151",,https://www.astroscu.unam.mx/rmaa/RMxAC..35/PDF/RMxAC..35_bbarbuy.pdf,motivation,"NOT a pipeline input. Held in the reference library as Galactic-bulge abundance context (VLT-UVES / FLAMES / Gemini-PHOENIX abundance patterns in old bulge globulars). Recorded because the bibliography must account for every document in the library, and an unlisted document is an uncited one.",RYA-854,Reference documents/RMxAC..35_bbarbuy.pdf,"Conference proceedings; no DOI is registered. The link is the publisher's own copy at UNAM, and it is the DEFINITIVE identification: the served file is BYTE-IDENTICAL to the local copy (cmp, 105,455 bytes). CATEGORY CAVEAT: the RYA-854 vocabulary has no bucket for Galactic-population context, so this sits under motivation as the least-wrong fit — the role field above says what it actually is. NOTE a near-miss: a web search for this title surfaces a DIFFERENT Barbuy paper of almost the same name in ESO Astrophysics Symposia (2009, pp. 207-208). That is not this document.",extracted
bard1991,"Bard, A.; Kock, A.; Kock, M.",1991,Fe I oscillator strengths of lines of astrophysical interest,"A&A 248, 315-322",,https://articles.adsabs.harvard.edu/pdf/1991A%26A...248..315B,atomic_data_gf,GES code BKK (8 canonical_gf rows). The earlier Bard-Kock laboratory Fe I set.,RYA-760; RYA-853,,"Pre-2000 A&A volume; no DOI is registered. Link is the ADS scanned article, downloaded and confirmed to be a real PDF of the published length. Bibcode 1991A&A...248..315B verified two ways: the ADS scanned-article gateway returns 200 for it and 404 for a fabricated bibcode, and SIMBAD's bibliographic record returns exactly these authors, this title and these pages.",publisher
bard_kock1994,"Bard, A.; Kock, M.",1994,Fe I oscillator strengths for lines with excitation energies between 3 and 7 eV,"A&A 282, 1014-1020",,https://articles.adsabs.harvard.edu/pdf/1994A%26A...282.1014B,atomic_data_gf,GES code BK (33 canonical_gf rows). Laboratory Fe I gf; one of the reference sets expected to sit near zero offset in the RYA-760 GES-vs-VALD comparison.,RYA-760; RYA-853,,"Pre-2000 A&A volume; no DOI is registered. Link is the ADS scanned article, downloaded and confirmed to be a real PDF of the published length. Bibcode 1994A&A...282.1014B verified two ways: the ADS scanned-article gateway returns 200 for it and 404 for a fabricated bibcode, and SIMBAD's bibliographic record returns exactly these authors, this title and these pages. The title first drafted for this row from memory ('...for lines of astrophysical interest') was WRONG — that is the 1991 paper's title. SIMBAD corrected it.",publisher
belmonte2017,"Belmonte, M. T.; Pickering, J. C.; Ruffoni, M. P.; Den Hartog, E. A.; Lawler, J. E.; Guzman, A.; Heiter, U.",2017,Fe I Oscillator Strengths for Transitions from High-lying Odd-parity Levels,"ApJ 848, 125",10.3847/1538-4357/aa8cd3,https://doi.org/10.3847/1538-4357/aa8cd3,atomic_data_gf,PRIMARY laboratory Fe I gf over 213-1033 nm. Third of the three lab-gf sub-pool sources and the one that reaches the near-UV.,RYA-799; RYA-824; RYA-836,Reference documents/Belmonte_2017_ApJ_848_125.pdf,Ticket text said 'aa8bd9'; the DOI in the PDF metadata is 10.3847/1538-4357/aa8cd3. Corrected from the PDF.,extracted
bergemann2012,"Bergemann, M.; Lind, K.; Collet, R.; Magic, Z.; Asplund, M.",2012,Non-LTE line formation of Fe in late-type stars. I. Standard stars with 1D and <3D> model atmospheres,"MNRAS 427, 27",10.1111/j.1365-2966.2012.21687.x,https://doi.org/10.1111/j.1365-2966.2012.21687.x,nlte,The 1D/<3D> NLTE Fe grid served by the MPIA web service — Engine A for Fe wherever the Amarsi MLP is out of domain.,RYA-319; RYA-763; RYA-783,,,crossref
bergin2024_co,"Bergin, E. A.; Booth, R. A.; Colmenares, M. J.; Ilee, J. D.",2024,C/O Ratios and the Formation of Wide-separation Exoplanets,"ApJL 969, L21",10.3847/2041-8213/ad5839,https://doi.org/10.3847/2041-8213/ad5839,cno,Disk-to-planet C/O synthesis — why a stellar C/O ratio constrains planet composition at all.,RYA-237,Reference documents/C and O Abundances.pdf,On-disk copy is the 2024-06-19 AASTeX draft; the DOI resolves to the published ApJL version.,extracted
bergin2024_isotopic,"Bergin, E. A.; Bosman, A.; Teague, R.; Calahan, J.; Willacy, K.; Cleeves, L. I.; Schwarz, K.; Zhang, K.; Bruderer, S.",2024,The Carbon Isotopic Ratio and Planet Formation,"ApJ 965, 147",10.3847/1538-4357/ad3443,https://doi.org/10.3847/1538-4357/ad3443,cno,Disk carbon isotopic reservoirs — the formation-side context for the C/O programme.,RYA-237,Reference documents/Bergin_2024_ApJ_965_147.pdf,,extracted
bertrandelis2015,"Bertran de Lis, S.; Delgado Mena, E.; Adibekyan, V. Zh.; Santos, N. C.; Sousa, S. G.",2015,Oxygen abundances in G- and F-type stars from HARPS. Comparison of [OI] 6300 A and OI 6158 A,"A&A 576, A89",10.1051/0004-6361/201424633,https://doi.org/10.1051/0004-6361/201424633,cno,The [O I] 6300 vs O I 6158 comparison — the external precedent for the Codex's own two-indicator oxygen disagreement.,RYA-447; RYA-485,Reference documents/Cand O HArps.pdf,,extracted
biemont1998,"Biemont, E.; Dutrieux, J.-F.; Martin, I.; Quinet, P.",1998,Lifetime calculations in Yb II,"J. Phys. B 31, 3321",10.1088/0953-4075/31/15/006,https://doi.org/10.1088/0953-4075/31/15/006,atomic_data_gf,"GES code BDMQ (1,040 canonical_gf rows).",RYA-853,,,crossref
blancocuaresma2014,"Blanco-Cuaresma, S.; Soubiran, C.; Heiter, U.; Jofre, P.",2014,Determining stellar atmospheric parameters and chemical abundances of FGK stars with iSpec,"A&A 569, A111",10.1051/0004-6361/201423945,https://doi.org/10.1051/0004-6361/201423945,method_tool,iSpec — the framework every Codex EW and synthesis fit runs through.,RYA-770; RYA-771,,,crossref
bruntt2010,"Bruntt, H.; Bedding, T. R.; Quirion, P.-O.; Lo Curto, G.; Carrier, F.; Smalley, B.",2010,Accurate fundamental parameters for 23 bright solar-type stars,"MNRAS 405, 1907",10.1111/j.1365-2966.2010.16575.x,https://doi.org/10.1111/j.1365-2966.2010.16575.x,benchmark_params,"Microturbulence and fundamental parameters for bright solar-type stars — the Procyon xi anchor. Table B1 ""This study"" also supplies the adopted RT vsini/vmac for alpha Cen A/B and (RYA-988) tau Ceti.",RYA-309; RYA-420; RYA-988,Reference documents/BRUNTT2010.pdf,"On-disk copy is the arXiv v1 preprint (arXiv:1002.4268). '1002.4268v1.pdf' in the same folder is a BYTE-IDENTICAL duplicate of it (md5 match), not a second version. Crossref's record for this DOI carries no volume/page (early-view); volume 405 p1907 is the printed citation.",extracted
caffau2011,"Caffau, E.; Ludwig, H.-G.; Steffen, M.; Freytag, B.; Bonifacio, P.",2011,Solar Chemical Abundances Determined with a CO5BOLD 3D Model Atmosphere,"Solar Physics 268, 255",10.1007/s11207-010-9541-4,https://doi.org/10.1007/s11207-010-9541-4,solar_reference,Independent 3D solar abundance scale; the CO5BOLD anchor used where the Codex quotes a non-Stagger 3D value.,RYA-367; RYA-447,,Crossref issue date is 2010 (online-first); the volume year is 2011.,crossref
corliss_bozman1962,"Corliss, C. H.; Bozman, W. R.",1962,Experimental transition probabilities for spectral lines of seventy elements,NBS Monograph 53,10.6028/NBS.MONO.53,https://doi.org/10.6028/NBS.MONO.53,atomic_data_gf,"GES codes CB (1,836 rows) and CBcor (661 rows). Arc-emission gf; superseded for most species but still live in the pool.",RYA-853,,,crossref
costasilva2020,"Costa Silva, A. R.; Delgado Mena, E.; Tsantaki, M.",2020,Chemical abundances of 1111 FGK stars from the HARPS-GTO planet search sample. III. Sulphur,"A&A 634, A136",10.1051/0004-6361/201936523,https://doi.org/10.1051/0004-6361/201936523,atomic_data_gf,The empirical S I line data behind A(S) = 7.486.,RYA-492; RYA-557,,,crossref
denhartog2011,"Den Hartog, E. A.; Lawler, J. E.; Sobeck, J. S.; Sneden, C.; Cowan, J. J.",2011,Improved log(gf) Values of Selected Lines in Mn I and Mn II for Abundance Determinations in FGK Dwarfs and Giants,"ApJS 194, 35",10.1088/0067-0049/194/2/35,https://doi.org/10.1088/0067-0049/194/2/35,atomic_data_gf,Laboratory Mn I/Mn II gf; the adjudicated Mn source behind A(Mn) = 5.466. GES code DLSSC; cited verbatim in canonical_gf.loggf_reference.,RYA-468; RYA-473; RYA-546,Reference documents/Den_Hartog_2011_ApJS_194_35.pdf,,extracted
denhartog2014,"Den Hartog, E. A.; Ruffoni, M. P.; Lawler, J. E.; Pickering, J. C.; Lind, K.; Brewer, N. R.",2014,Fe I Oscillator Strengths for Transitions from High-lying Even-parity Levels,"ApJS 215, 23",10.1088/0067-0049/215/2/23,https://doi.org/10.1088/0067-0049/215/2/23,atomic_data_gf,PRIMARY laboratory Fe I gf. Second of the three lab-gf sub-pool sources. GES code GESHRL14.,RYA-799; RYA-824; RYA-836,Reference documents/Den_Hartog_2014_ApJS_215_23.pdf,,extracted
denhartog2019,"Den Hartog, E. A.; Lawler, J. E.; Sneden, C.; Cowan, J. J.; Brukhovesky, A.",2019,Atomic Transition Probabilities for UV and Blue Lines of Fe II and Abundance Determinations in the Photospheres of the Sun and Metal-poor Star HD 84937,"ApJS 243, 33",10.3847/1538-4365/ab322e,https://doi.org/10.3847/1538-4365/ab322e,atomic_data_gf,Pure laboratory Fe II gf in the UV/blue — the independent referee for the Fe II scale-offset investigation.,RYA-853,Reference documents/Den_Hartog_2019_ApJS_243_33.pdf,,extracted
denhartog2023,"Den Hartog, E. A.; Lawler, J. E.; Sneden, C.; Roederer, I. U.; Cowan, J. J.",2023,Atomic Transition Probabilities for Transitions of Si I and Si II and the Silicon Abundances of Several Very Metal-poor Stars,"ApJS 265, 42",10.3847/1538-4365/acb642,https://doi.org/10.3847/1538-4365/acb642,atomic_data_gf,"PRIMARY laboratory Si I / Si II gf — branching fractions x radiative lifetimes, the same method as this group's Fe I and Mn sets already held here. Si is a canonical element with no lab-gf sub-pool yet; this is the source that would make one possible.",RYA-853; RYA-864,Reference documents/2301.11391v1.pdf,"The local copy is the arXiv v1 preprint (arXiv:2301.11391); the row describes the PUBLISHED version, whose DOI record Crossref returns with these authors, this title and ApJS 265, 42. Title normalised to the published capitalisation; the Crossref string carries an inline footnote marker which is not part of it.",extracted
eistrup2018,"Eistrup, C.; Walsh, C.; van Dishoeck, E. F.",2018,Molecular abundances and C/O ratios in chemically evolving planet-forming disk midplanes,"A&A 613, A14",10.1051/0004-6361/201731302,https://doi.org/10.1051/0004-6361/201731302,cno,Disk-midplane chemistry: the C/O of planet-building material is not the disk's initial C/O.,RYA-237,Reference documents/C and O in Disks.pdf,,extracted
elgueta2026,"Elgueta, S.; Jofre, P.; Aguilera-Gomez, C.; Slumstrup, D.; Rojas Arriagada, A.; Heiter, U.; Casamiquela, L.; Zoccali, M.; Worley, C.; Soubiran, C.",2026,Gaia FGK benchmark stars: Selecting infrared lines for abundance determination,"A&A 710, A111",10.1051/0004-6361/202659148,https://doi.org/10.1051/0004-6361/202659148,instrument_line_selection,The IR line-selection catalogue cross-checked against the Codex IR pool.,RYA-381; RYA-789,Reference documents/aa59148-26.pdf,"THIS ROW ACCOUNTS FOR THREE FILES in the reference library, checked by content rather than by name: 'aa59148-26 (1).pdf' is a BYTE-IDENTICAL duplicate of aa59148-26.pdf (md5 match), while '2602.14294v1.pdf' is a genuinely DIFFERENT file (4,385,306 vs 4,848,632 bytes) — the arXiv preprint arXiv:2602.14294 of this same paper. One row, cited to the published A&A version.",extracted
fabbian2006,"Fabbian, D.; Asplund, M.; Carlsson, M.; Kiselman, D.",2006,The non-LTE line formation of neutral carbon in late-type stars,"A&A 458, 899",10.1051/0004-6361:20065763,https://doi.org/10.1051/0004-6361:20065763,cno,C I NLTE line formation — the size of the carbon NLTE correction the CNO leg must carry.,RYA-237; RYA-359,Reference documents/Carbon.pdf,Ticket inventory listed this only as 'Carbon abundances'; identified from PDF metadata as Fabbian et al. 2006.,extracted
fuhr1988,"Fuhr, J. R.; Martin, G. A.; Wiese, W. L.",1988,Atomic Transition Probabilities: Iron through Nickel,"J. Phys. Chem. Ref. Data 17, Suppl. 4 (AIP/ACS)",,,atomic_data_gf,"GES code FMW, 492 canonical_gf rows. SUPERSEDED ACROSS ITS WHOLE SPAN, but by THREE different papers, so the replacement is per-species and not one swap: Fe I 302 + Fe II 4 rows -> fuhr_wiese2006 (NIST's own words); Ni I 102 rows -> wood2014; Co I 84 rows -> lawler2015. Retained as the provenance record of what the pool currently carries, not as a live authority. Also a NIST compilation, so NIST ASD cannot referee it (RYA-760).",RYA-760; RYA-780; RYA-836; RYA-853; RYA-864,,"TITLE AND VOLUME CONFIRMED TWICE OVER (the reference list of NIST's 2006 Fe compilation, and Wiese & Fuhr citing their own volume in wiese2006_law). NO URL, and this is the one row in the file without one. Absent from: Crossref (all 103 JPCRD items 1987-1990 enumerated -- JPCRD supplements are standalone monographs outside the article stream), DOE OSTI (which holds the Sc-Mn companion, so a hole in that catalogue), NASA NTRS (real zero-result query), OpenAlex, NIST's publications database, ADS bibcode probes, Library of Congress, HathiTrust, Google Books, AIP's JPCRD search, and the nist.gov/system/files/documents/srd/ tree that hosts the 2006 volume's free full text. Ryan's read is that it is PRINT-ONLY and may simply have no PDF anywhere -- consistent with everything above, and with the 503s on AIP's legacy supplement links. If so, a blank url is the CORRECT permanent state for this row, not an open task. Never point it at the 2006 compilation: that is a different document.",unconfirmed
fuhr_wiese2006,"Fuhr, J. R.; Wiese, W. L.",2006,A Critical Compilation of Atomic Transition Probabilities for Neutral and Singly Ionized Iron,"J. Phys. Chem. Ref. Data 35, 1669",10.1063/1.2218876,https://doi.org/10.1063/1.2218876,atomic_data_gf,"SUPERSEDES fuhr1988 FOR IRON, in its own words: 'Thus our earlier compilation is superseded by this new, enlarged edition.' Scope is Fe I and Fe II ONLY, so it does NOT supersede that volume's Co or Ni. 🔴 NOT CITED BY A SINGLE canonical_gf ROW -- 306 Fe rows still carry the 1988 values NIST replaced. Flagged to RYA-853. Still a NIST compilation, so it inherits the RYA-760 circularity: ASD cannot referee it.",RYA-760; RYA-853; RYA-864,Reference documents/jpcrd3520061669.pdf,"The local PDF is the published JPCRD article (141 pp.), matched to this row by CONTENT rather than by filename: its first page carries this title, these authors, 'J. Phys. Chem. Ref. Data 35, 1669' and DOI 10.1063/1.2218876 verbatim. Added to the library after the row was written (RYA-869 session bibliography refresh). The local copy is ALSO byte-identical to the free full text NIST serves at https://www.nist.gov/system/files/documents/srd/jpcrd3520061669.pdf (re-verified 2026-08-18: HTTP 200, 921036 bytes, md5 bef6a2b42606c0c5697c579be220c571 on both) — worth recording because the AIP copy behind the DOI is paywalled and returns 403 to automated agents. The `url` stays on the DOI, which is the canonical identifier.",extracted
garz1973,"Garz, T.",1973,Absolute oscillator strengths of Si I lines between 2500 A and 8000 A,"A&A 26, 471-477",,https://articles.adsabs.harvard.edu/pdf/1973A%26A....26..471G,atomic_data_gf,GES code GARZ (27 canonical_gf rows).,RYA-853,,"Pre-2000 A&A volume; no DOI is registered. Link is the ADS scanned article, downloaded and confirmed to be a real PDF of the published length. Bibcode 1973A&A....26..471G verified two ways: the ADS scanned-article gateway returns 200 for it and 404 for a fabricated bibcode, and SIMBAD's bibliographic record returns exactly these authors, this title and these pages.",publisher
gerber2023,"Gerber, J. M.; Magg, E.; Plez, B.; Bergemann, M.; Heiter, U.; Olander, T.; Hoppe, R.",2023,Non-LTE radiative transfer with Turbospectrum,"A&A 669, A43",10.1051/0004-6361/202243673,https://doi.org/10.1051/0004-6361/202243673,nlte_synthesis,Engine B. The NLTE-capable Turbospectrum and the departure-coefficient grids the Codex runs on Sirius.,RYA-533; RYA-534; RYA-785; RYA-798,Reference documents/TurboSpectrum.pdf,,extracted
ges_linelist_v5,"Heiter, U.; Lind, K.; Bergemann, M.; et al. (Gaia-ESO Survey)",2014,"Line-lists for the Gaia-ESO Survey, version 5 (report)","GES documentation, ges.roe.ac.uk",,http://ges.roe.ac.uk/docs/GES_linelist_v5_report.pdf,atomic_data_gf,"THE DECODER for canonical_gf.loggf_reference: Table 4 maps every short code (BWL, RU, PQWB, MC, K07...) to its bibliographic source. Verified 2026-08-17.",RYA-853; RYA-854,,"Survey documentation, no DOI. URL confirmed HTTP 200 on 2026-08-17.",publisher
gray2005,"Gray, D. F.",2005,The Observation and Analysis of Stellar Photospheres (3rd edition),Cambridge University Press,10.1017/CBO9781316036570,https://doi.org/10.1017/CBO9781316036570,method_tool,"Standing methodological reference for line formation, curve of growth, and macroturbulence conventions.",RYA-309,Reference documents/Gray_D_The-observation-and-analysis-of-stellar-photospheres_2005.pdf,,extracted
grevesse1998,"Grevesse, N.; Sauval, A. J.",1998,Standard Solar Composition,"Space Sci. Rev. 85, 161",10.1023/A:1005161325181,https://doi.org/10.1023/A:1005161325181,solar_reference,Legacy solar composition scale; appears as a cited abundance source behind older log gf normalisations in the line lists.,RYA-853,,"Ticket text said 'Grevesse & Sauval 1999'; the record is 1998 (Space Sci. Rev. 85, 161). Year corrected against Crossref.",crossref
grimm2018,"Grimm, S. L.; Demory, B.-O.; Gillon, M.; Dorn, C.; Agol, E.",2018,The nature of the TRAPPIST-1 exoplanets,"A&A 613, A68",10.1051/0004-6361/201732233,https://doi.org/10.1051/0004-6361/201732233,motivation,Interior-composition inference from mass-radius — what a host-star abundance is ultimately FOR.,,Reference documents/aa32233-17.pdf,,extracted
gustafsson2008,"Gustafsson, B.; Edvardsson, B.; Eriksson, K.; Jorgensen, U. G.; Nordlund, A.; Plez, B.",2008,A grid of MARCS model atmospheres for late-type stars. I. Methods and general properties,"A&A 486, 951",10.1051/0004-6361:200809724,https://doi.org/10.1051/0004-6361:200809724,model_atmosphere,"MARCS. The atmosphere Engine B requires — MARCS.GES, not ATLAS9, was the blocker RYA-798 found.",RYA-798,Reference documents/MARCS Stellar Model.pdf,,extracted
hase2010,"Hase, F.; Wallace, L.; McLeod, S. D.; Harrison, J. J.; Bernath, P. F.",2010,The ACE-FTS atlas of the infrared solar spectrum,"JQSRT 111, 521",10.1016/j.jqsrt.2009.10.020,https://doi.org/10.1016/j.jqsrt.2009.10.020,solar_reference,Space-borne IR solar atlas (700-4430 cm^-1) — the telluric-free IR solar comparison used when validating ground-based IR atlases.,RYA-390; RYA-459,Reference documents/solar-spec.pdf,,extracted
heiter2015,"Heiter, U.; Jofre, P.; Gustafsson, B.; Korn, A. J.; Soubiran, C.; Thevenin, F.",2015,Gaia FGK benchmark stars: Effective temperatures and surface gravities,"A&A 582, A49",10.1051/0004-6361/201526319,https://doi.org/10.1051/0004-6361/201526319,benchmark_params,Fundamental Teff/log g for the benchmark stars — the adopted Procyon parameters.,RYA-420; RYA-505,Reference documents/1506.06095v2.pdf,On-disk copy is the arXiv v2 preprint (arXiv:1506.06095).,extracted
heiter2021,"Heiter, U.; Lind, K.; Bergemann, M.; Asplund, M.; Mikolaitis, S.; Barklem, P. S.",2021,Atomic data for the Gaia-ESO Survey,"A&A 645, A106",10.1051/0004-6361/201936291,https://doi.org/10.1051/0004-6361/201936291,atomic_data_gf,"The published account of the GES line list that seeds 125,958 canonical_gf rows (seed_source synth(GES)).",RYA-853,,,crossref
jofre2014,"Jofre, P.; Heiter, U.; Soubiran, C.; Blanco-Cuaresma, S.; Worley, C. C.; Pancino, E.",2014,Gaia FGK Benchmark Stars: Metallicity,"A&A 564, A133",10.1051/0004-6361/201322440,https://doi.org/10.1051/0004-6361/201322440,benchmark_params,Benchmark [Fe/H] — the adopted alpha Cen A/B metallicity.,RYA-384; RYA-479,Reference documents/1309.1099v2.pdf,On-disk copy is the arXiv v2 preprint (arXiv:1309.1099).,extracted
johansson2003,"Johansson, S.; Litzen, U.; Lundberg, H.; Zhang, Z.",2003,Experimental f-Value and Isotopic Structure for the Ni I Line Blended with [O I] at 6300 A,"ApJ 584, L107",10.1086/374037,https://doi.org/10.1086/374037,atomic_data_gf,The Ni I 6300.34 gf that sets the [O I] 6300 blend correction — the whole solar oxygen gate depends on it. seed_source 'Johansson2003' in canonical_gf.,RYA-365; RYA-447,,,crossref
kelleher2008_al,"Kelleher, D. E.; Podobedova, L. I.",2008,Atomic Transition Probabilities of Aluminum. A Critical Compilation,"J. Phys. Chem. Ref. Data 37, 709",10.1063/1.2734564,https://doi.org/10.1063/1.2734564,atomic_data_gf,Cited verbatim in canonical_gf for an Al/Si grade-C+ line.,RYA-716; RYA-835; RYA-853,,,crossref
kelleher2008_namg,"Kelleher, D. E.; Podobedova, L. I.",2008,Atomic Transition Probabilities of Sodium and Magnesium. A Critical Compilation,"J. Phys. Chem. Ref. Data 37, 267",10.1063/1.2735328,https://doi.org/10.1063/1.2735328,atomic_data_gf,Cited verbatim in canonical_gf for Na/Mg grade-D and grade-E lines.,RYA-592; RYA-853,,"PAGE CORRECTION: two canonical_gf rows cite 'JPCRD 37 p1285 (Na/Mg)'. p1285 is the SILICON compilation (doi:10.1063/1.2734566); Na/Mg is p267. Flagged to RYA-853, not fixed here.",crossref
kling2001,"Kling, R.; Schnabel, R.; Griesmann, U.",2001,Accurate Lifetimes and Absolute Transition Rates for Ultraviolet Transitions from Low-lying Odd-parity Levels of Neutral Molybdenum,"ApJS 134, 173",10.1086/320366,https://doi.org/10.1086/320366,atomic_data_gf,GES code KSG (6 canonical_gf rows) — the Schnabel-coauthored source the line list actually cites.,RYA-853,,,crossref
koutsouridou2025,"Koutsouridou, I.; Skuladottir, A.; Salvadori, S.",2025,Large databases of metal-poor stars corrected for three-dimensional and/or non-local thermodynamic equilibrium effects,"A&A 699, A32",10.1051/0004-6361/202554228,https://doi.org/10.1051/0004-6361/202554228,nlte,The NLiTE tool and NLTE-corrected SAGA catalogue; an external comparison for grid-to-grid NLTE spread.,,Reference documents/2505.13607v1.pdf,On-disk copy is the arXiv v1 preprint (arXiv:2505.13607).,extracted
