check,title,status,detail
A2-classes,"Ambiguity is named, not folded into absence",FLAG,"`NO_UNIQUE_MANIFEST_MATCH` covers two different states: 38 rows with NO candidate and 1 with MORE THAN ONE. A reader cannot tell an absent line from an unresolved one. Three classes are needed, not two - the RYA-1072 lesson."
A3,HFS component sums independently re-summed and verified,FAIL,"`HFS_status` is set to the string 'COMPONENT_SUM_VERIFIED' whenever `hfs_n_components > 1` and to 'NO_SPLIT_COMPONENTS_IN_CENSUS' otherwise. No component sum is computed anywhere in the builder, and `component_or_total` is the unconditional constant 'TOTAL_TRANSITION_GF'. The status is ASSERTED, not verified, and RYA-1132's own test (`m[m.HFS_status=='COMPONENT_SUM_VERIFIED'].component_or_total.eq(...)`) compares two constants set three lines apart in the same function."
A3-meta,`hfs_n_components` re-verified against the actual component count,FAIL,"The manifest does not carry `hfs_n_components` at all. The metadata RYA-1141 asks to re-verify was dropped at the write, so no reader of the frozen artifact can check it."
A3-rya1001,The RYA-1001 hfs_n_components defect (3944.006 / 3961.520),FAIL,"2 of 2 rows still carry the wrong component count in `canonical_gf.csv` on main today (recorded as 1 while the VALD collapse finds 4 and 6; the summed log gf agrees exactly, so only the metadata is wrong). RYA-1132 read the very census file that records this, stamped both rows 'COMPONENT_SUM_VERIFIED', and PROMOTED both to GF-LAB."
A3-inflation,"No HFS/isotope normalisation inflation, no max-component substitution",PASS,"Every promoted Vujnovic total sits 0.009-0.036 dex from the census HFS SUM and 0.399-0.515 dex from the strongest component - it is a total-transition gf, as claimed. No log10(n_components) inflation is present."
A3-11254,11254.9 strong-component vs unresolved-total caveat carried,PASS,The manifest adopts the blended-feature total (+0.3538) and keeps Burheim's strong component (+0.327) as evidence only; the conflict ledger names the distinction explicitly.
A4,No air<->vacuum and no cm-1<->Angstrom conflation in the crossmatch,PASS,"For all three promoted doublets sharing an upper level, the vacuum wavenumber difference reproduces the Al I 3p ^2^P^o^ ground-term splitting to 0.007 cm-1 against the NIST value 112.061 cm-1. A medium conflation at 2650-3960 A would show as a 5-8 cm-1 offset and a unit conflation as orders of magnitude. This identity is not tabulated anywhere in the intake."
A4-medium,Every wavelength carries an explicit medium,FLAG,"There is no `medium` column in the manifest. Below 2000 A the census correctly stores a single vacuum wavelength, but it stores it in the column NAMED `wavelength_air`: for all 32 FUV rows `wavelength_air == wavelength_vac` exactly. The values are right and the label is wrong, so any downstream reader of `wavelength_air` silently receives vacuum wavelengths for those rows. (RYA-835/1001 units trap, RYA-938/944.)"
A5-lab,No theory graded as primary laboratory,PASS,"All 18 GF-LAB rows carry EXP-BURHEIM23 (11), EXP-VUJNOVIC2002 (6) or EXP-JOHNSON1986 (1). None is an Opacity-Project or other theoretical source: the RYA-1001 `1995JPhB..` class (Mendoza+1995, OP theory) reaches the manifest only through `current_canonical_source`, never through a grade."
A5-bf,No branching-fraction-only row is graded GF-LAB,PASS,"Burheim Table 2 (branching fractions, no log gf) is not ingested; only Table 3's 12 derived log gf are. The six Vujnovic promotions each carry a finite 'this work' Aki with a stated uncertainty percentage, normalised by a LABORATORY lifetime (Buurman 1986 / Buurman & Donszelmann 1990 / Davidson 1990, CDS Table 1) - a lab composite, not a bare branching fraction."
A5-overwrite,No lab/evaluated value silently overwritten by Kurucz/VALD,PASS,"No GF-LAB row carries a Kurucz or VALD source. The one deliberate exception, 11254.9, is the documented blend-total substitution and is named in the conflict ledger rather than being silent."
A5-doi-control,The DOI referee accepts correct identifiers,PASS,"13 of 16 DOIs are confirmed by the same test - it accepts Burheim, Vujnovic, Trabert, Johnson, Kelleher, Papoulia, Roederer, Lind, Jonsson and Chiappino, matching through accented surnames (Vujnovic, Trabert, Jonsson) as well as plain ones. A negative is therefore a finding, not the detector's default."
A5-doi,Every DOI resolves and names the paper it claims,FAIL,"3 of 16 DOIs resolve to an UNRELATED paper. The referee is the registered AUTHOR LIST, because a volume comparison is not enough: `10.1086/312738` really is in ApJ 536, the volume the intake claims - it is just a different paper in it. In every case the intake's own prose citation is correct and the DOI beside it is not, so no artifact contradicts itself and RYA-1132's suite (which asserts only that `article_url` starts with 'https://') cannot see it. Resolution: committed cache; re-run with --online."
A5-bibcode,Every ADS bibcode is a resolvable 19-character bibcode,FLAG,"2 entries carry something that is not a bibcode: NIST_ASD = 'NIST_ASD'; Chiappino2026 = '2026ApJ...'. A truncated bibcode resolves to nothing and cannot referee its DOI - which matters here, because the bibcode is exactly what would have caught the Griesmann and Nandakumar page/volume mismatches."
A5-johnson,Johnson 1986 Al II 2669 states the value the intake claims,PASS,"The paper's abstract reads verbatim: 'The A-value for the intersystem transition is (3.33 +/- 0.23) x 10^3 s^-1 at the 90% confidence level', and 'Because there is only a single decay channel, the transition probability is the inverse of the radiative lifetime'. The intake's g_upper = 3 (3s3p ^3^P^o^_1_) and its log gf = -4.971830 reproduce exactly."
A5-sigma,sigma(log gf) conversions justified with recorded provenance,FLAG,"Three different conventions share one `gf_sigma_dex` column with nothing recording which: Burheim's published per-line dex uncertainty; Vujnovic's log10(1 + u) - the ASYMMETRIC upper bound, ~6% below the linear-propagation 1-sigma 0.434*u; and Johnson's 90%-CONFIDENCE bound stored as if it were 1-sigma (conservative by ~1.645x, and deliberately so, but only a code comment says so). The artifact needs a `sigma_basis` column, the lesson RYA-1084 and the sigma_stat/stat_basis finding already paid for."
A6,"Competing gf values retained, never silently dropped",FAIL,"6 manifest lines have a Vujnovic 2002 primary-laboratory log gf that THIS TICKET derived, crossmatched and then dropped. Not one reaches the conflict ledger, and `competing_gf_summary` names Vujnovic on 0 of 505 rows - it is hard-coded to 'Burheim=...; canonical=...; NIST=...' and has no slot for a source ingested later. The worst is 13123.416 A, one of the two best-graded Al lines RYA-1003 exists to unblock: Vujnovic +0.1901 +/- 0.0212 against the adopted Burheim +0.2320 +/- 0.0065, a 0.042 dex disagreement between two independent primary-laboratory measurements that the frozen manifest presents as a single unopposed GF-LAB value."
B1,Inventory reproduced independently from the sources,PASS,"505 = 500 RYA-1001 census rows with ion in (I, II) + 1 IGRINS-only candidate + 4 Burheim mid-IR completeness controls. By ion 466/39; by source class 18/19/1/467. Every claimed count reproduces."
B1-promotions,"The 6 Al I promotions + Johnson Al II 2669, and the rejections",PASS,"Promoted at [2652.475, 2660.386, 3082.153, 3092.71, 3944.006, 3961.52] A (the ticket quotes the Vujnovic source wavelengths 2652.484 / 2660.393; the manifest air wavelengths are 2652.475 / 2660.386, 0.009 and 0.007 A away - the same lines). Each has a finite 'this work' Aki with a stated uncertainty. Correctly NOT promoted: every `<` Aki limit (18 rows), every ratio-only row, and 3092.839, whose Aki carries the CDS `n_Aki` = ')' flag and no independent uncertainty."
B1-yield,What the seven new GF-LAB promotions actually unblock,FLAG,"All 7 lines promoted by RYA-1132 have Solar central depth 0.969-0.994, so under RYA-946 every one is DEEP Grade, not Codex Grade, and none enters the 0.05-0.60 measurement window. The intake records this honestly in `measurement_suitability_status`, but the manifest has NO column naming the RYA-946 grade, and it labels these seven 'CANDIDATE_NOT_SELECTED' - a rejection word for lines the contract says should be ROUTED TO SYNTHESIS."
B2-control,The pinned commit really is PR #478's merge,PASS,"`04e6afe` — ""Merge pull request #478 from damienabraxas/ryandamienschmitt/rya-1132-al-intake-closure"" — and its diff introduces 12 files under `data/audit/rya1132_al_intake/`. The SHA is pinned rather than searched, because a `--grep=RYA-1132` search now matches THIS audit's own merge commit and would have made B2 diff the auditor against itself."
B2,canonical_gf.csv not mutated by RYA-1132,PASS,"PR #478 (merge 04e6afe) touches 25 files and none of them is under `data/linelists/`. `canonical_gf.csv` is byte-identical across the merge. The one data file it changes outside its own audit directory is `data/audit/rya1129_atomic_intake/intake_status_ledger.csv`, one row, as the builder documents."
B3,Band verdict strings are the ones claimed,PASS,UV/VIS/IR verdicts and `measurement_unblocked: false` match the ticket and `summary.json` exactly.
B3-eligibility,'Eligible' is derived from the evidence the manifest carries,FLAG,"`measurement_suitability_status` is computed from Solar depth and the presence of a canonical id alone. It ignores the census `tier` column the manifest itself was built from, so 8 rows the RYA-1001 census adjudicated CANDIDATE-BLENDED are re-labelled ELIGIBLE_WITH_STATED_GF_TIER - including the GF-LAB line 11253.189 and the RYA-835 lines 7835.309 and 8772.865. The upgrade is silent; no column records that the census disagreed."
B3-vocab,`gf_grade` expresses a gf grade,FLAG,"The column mixes three vocabularies: gf provenance tiers (GF-LAB, VALD3, UNRESOLVED), NIST accuracy grades (B, B+, C, C+, D, E) and RYA-1001 SELECTION tiers (GRADEABLE, CANDIDATE-BLENDED, EXCLUDED-SHALLOW/SATURATED/NO-HOME). For 466 of 505 rows the value is a selection state, not a gf grade at all, and the one THEORETICAL row is labelled 'GRADEABLE' - a word that reads as an endorsement. None of RYA-946's four terms (Codex / Deep / Asplund / Consistent) appears anywhere in the manifest."
C,Registered holdings reach the coverage module,FAIL,"8 of 13 registered Solar holdings resolve to nothing through `pipeline.coverage.load_registry`, and ALL 5 crires_plus registrations are among them. Each `continue` is individually documented (RYA-776/929/931/945); the aggregate is that the one instrument reaching Al's IR lines is invisible to the module the census reads."
C-lines,No reachable Al line is reported unreachable,FAIL,"18 Al manifest lines (5 of them ELIGIBLE) sit inside the wavelength range of a Solar spectrum that is registered in the holdings registry AND present on disk, yet every one carries a BLANK `instrument_reach` in the frozen manifest. The IR verdict `BLOCKED_PIPELINE_COVERAGE` therefore rests partly on registry plumbing rather than on an absence of data."
C-bands,RYA-1132's band() covers every band the census does,FAIL,"`band()` leaves three uncovered intervals - 13000-13195.23 A, 17493.69-19510.4 A and >=24857.7 A - and every wavelength in them falls through to 'OUTSIDE_CURRENT_INSTRUMENT_REACH'. That relabels 13 lines the RYA-1001 census calls NIR, including the 2 GF-LAB lines 13123.416 and 13150.753 - the two best-graded Al lines RYA-1003 exists to unblock - and the Nandakumar/Chiappino member 17699.094. All of them carry `instruments_coverage_blind_spot = crires_plus` in the census, i.e. the census says an instrument reaches them. The rows are self-contradictory: band 'OUTSIDE_CURRENT_INSTRUMENT_REACH' beside `measurement_suitability_status = ELIGIBLE_WITH_STATED_GF_TIER`."
C-alIII,Nothing is dropped from the census without being recorded,FLAG,"2 Al III census rows are excluded by the builder ('Al III is outside this ticket's atomic scope'), which is a defensible scope call, but the exclusion appears only in a source comment - no artifact records that the 505 is a filtered denominator."
