check,severity,subject,finding,evidence
A3,CRITICAL,canonical_gf Al I 3944.006,hfs_n_components is wrong and the intake stamped it verified and promoted it,"canonical_gf hfs_n_components=1, census component count=4; manifest HFS_status=COMPONENT_SUM_VERIFIED, gf_grade=GF-LAB, gf_source=EXP-VUJNOVIC2002"
A3,CRITICAL,canonical_gf Al I 3961.520,hfs_n_components is wrong and the intake stamped it verified and promoted it,"canonical_gf hfs_n_components=1, census component count=6; manifest HFS_status=COMPONENT_SUM_VERIFIED, gf_grade=GF-LAB, gf_source=EXP-VUJNOVIC2002"
A4,MEDIUM,al_line_manifest.csv:wavelength_air,Column named `wavelength_air` holds VACUUM values below 2000 A,32 FUV rows with wavelength_air == wavelength_vac to 1e-9; no `medium` column exists to disambiguate.
A5,CRITICAL,source_bibliography.csv:GriesmannKling2000,DOI 10.1086/312738 resolves to an unrelated paper,"claims 'Griesmann & Kling 2000, ApJ 536, L113-L115'; the DOI is registered to 'The Mass Assembly and Star Formation Characteristics of Field Galaxies of Known Morphology' by Brinchmann|Ellis (The Astrophysical Journal 536, L77-L80, 2000) - registered authors are Brinchmann, Ellis - Griesmann is not among them. Correct identifier: 10.1086/312741 - Griesmann & Kling 2000, 'Interferometric Measurement of Resonance Transition Wavelengths in C IV, Si IV, Al III, Al II', ApJ 536, L113-L115"
A5,CRITICAL,source_bibliography.csv:Nandakumar2024,DOI 10.3847/1538-4357/ad4451 resolves to an unrelated paper,"claims 'Nandakumar et al. 2024 IGRINS abundance lines'; the DOI is registered to 'Phase-dependent Spectral Shape Changes in the Ultraluminous X-Ray Pulsar NGC 5907 ULX1' by Miura|Kobayashi|Yamaguchi (The Astrophysical Journal 968, 95, 2024) - registered authors are Miura, Kobayashi, Yamaguchi - Nandakumar is not among them. Correct identifier: 10.3847/1538-4357/ad22dc - Nandakumar et al. 2024, 'Composition of Giants 1 deg North of the Galactic Center: Detailed Abundances', ApJ 964, 96"
A5,CRITICAL,web_source_followup.csv:Murphy & Berengut 2014 / Griesmann & Kling 2000,DOI 10.1093/mnras/stt2120 resolves to an unrelated paper,"claims 'Murphy & Berengut 2014 / Griesmann & Kling 2000'; the DOI is registered to 'Phase-averaged gamma-ray spectra from rotation-powered millisecond pulsars' by Jiang|Chen|Li|Zhang (Monthly Notices of the Royal Astronomical Society 437, 2957-2965, 2013) - registered authors are Jiang, Chen, Li - Murphy is not among them. Correct identifier: 10.1093/mnras/stt2204 - Murphy & Berengut 2014, 'Laboratory atomic transition data for precise optical quasar absorption spectroscopy', MNRAS 438, 388"
A5,MEDIUM,source_bibliography.csv:NIST_ASD,"ads_bibcode is a stub, not a resolvable 19-character bibcode",'NIST_ASD'
A5,MEDIUM,source_bibliography.csv:Chiappino2026,"ads_bibcode is a stub, not a resolvable 19-character bibcode",'2026ApJ...'
A5,MEDIUM,al_line_manifest.csv:gf_sigma_dex,"One column carries three different uncertainty conventions, unlabelled",Burheim dex 1-sigma; Vujnovic log10(1+u); Johnson 90% confidence bound.
A6,CRITICAL,alphys_II_3900.6750_0334 (3900.675 A),Competing Vujnovic primary-lab gf derived in this ticket and then dropped,"Vujnovic -3.6781 vs adopted -1.2700 (UNGRADED, GRADEABLE); delta -2.4081 dex = 12.0 sigma on the adopted uncertainty; in conflict ledger: False"
A6,CRITICAL,alphys_I_13123.4160_0423 (13123.416 A),Competing Vujnovic primary-lab gf derived in this ticket and then dropped,"Vujnovic +0.1901 vs adopted +0.2320 (EXP-BURHEIM23, GF-LAB); delta -0.0419 dex = 6.5 sigma on the adopted uncertainty; in conflict ledger: False"
A6,HIGH,alphys_I_13150.7530_0425 (13150.753 A),Competing Vujnovic primary-lab gf derived in this ticket and then dropped,"Vujnovic -0.0811 vs adopted -0.0980 (EXP-BURHEIM23, GF-LAB); delta +0.0169 dex = 1.3 sigma on the adopted uncertainty; in conflict ledger: False"
A6,HIGH,alphys_I_21093.0290_0480 (21093.029 A),Competing Vujnovic primary-lab gf derived in this ticket and then dropped,"Vujnovic -0.3977 vs adopted -0.3087 (UNGRADED, GRADEABLE); delta -0.0891 dex = 0.4 sigma on the adopted uncertainty; in conflict ledger: False"
A6,HIGH,alphys_I_21163.7550_0481 (21163.755 A),Competing Vujnovic primary-lab gf derived in this ticket and then dropped,"Vujnovic -0.0938 vs adopted -0.0088 (UNGRADED, GRADEABLE); delta -0.0850 dex = 0.4 sigma on the adopted uncertainty; in conflict ledger: False"
A6,HIGH,alphys_I_3092.8390_0331 (3092.839 A),Competing Vujnovic primary-lab gf derived in this ticket and then dropped,"Vujnovic -1.1622 vs adopted -1.1470 (UNGRADED, EXCLUDED-SATURATED); delta -0.0152 dex = 0.1 sigma on the adopted uncertainty; in conflict ledger: False"
B3,MEDIUM,alphys_I_6696.7880_0354 (6696.788 A),Manifest calls ELIGIBLE a line the RYA-1001 census tiered CANDIDATE-BLENDED,"census tier=CANDIDATE-BLENDED, gf_source=SEMIEMP-K75, gf_grade=CANDIDATE-BLENDED"
B3,MEDIUM,alphys_I_6784.2560_0357 (6784.256 A),Manifest calls ELIGIBLE a line the RYA-1001 census tiered CANDIDATE-BLENDED,"census tier=CANDIDATE-BLENDED, gf_source=SEMIEMP-K75, gf_grade=CANDIDATE-BLENDED"
B3,MEDIUM,alphys_I_6905.6460_0358 (6905.646 A),Manifest calls ELIGIBLE a line the RYA-1001 census tiered CANDIDATE-BLENDED,"census tier=CANDIDATE-BLENDED, gf_source=NIST-D, gf_grade=D"
B3,MEDIUM,alphys_I_6906.2870_0359 (6906.287 A),Manifest calls ELIGIBLE a line the RYA-1001 census tiered CANDIDATE-BLENDED,"census tier=CANDIDATE-BLENDED, gf_source=NIST-C, gf_grade=C"
B3,MEDIUM,alphys_I_7835.3090_0386 (7835.309 A),Manifest calls ELIGIBLE a line the RYA-1001 census tiered CANDIDATE-BLENDED,"census tier=CANDIDATE-BLENDED, gf_source=NIST-B, gf_grade=B"
B3,MEDIUM,alphys_I_8772.8650_0393 (8772.865 A),Manifest calls ELIGIBLE a line the RYA-1001 census tiered CANDIDATE-BLENDED,"census tier=CANDIDATE-BLENDED, gf_source=NIST-B+, gf_grade=B+"
B3,MEDIUM,alphys_I_11253.1890_0406 (11253.189 A),Manifest calls ELIGIBLE a line the RYA-1001 census tiered CANDIDATE-BLENDED,"census tier=CANDIDATE-BLENDED, gf_source=EXP-BURHEIM23, gf_grade=GF-LAB"
B3,MEDIUM,alphys_I_15956.6750_0449 (15956.675 A),Manifest calls ELIGIBLE a line the RYA-1001 census tiered CANDIDATE-BLENDED,"census tier=CANDIDATE-BLENDED, gf_source=UNGRADED, gf_grade=CANDIDATE-BLENDED"
C,HIGH,holdings:kpno_solar_atlas,Registered Solar holding silently dropped (SKIPPED_BY_SUFFIX_JSON),data/audit/rya929_kurucz2005/intake_manifest.json
C,HIGH,holdings:crires_plus,Registered Solar holding silently dropped (SKIPPED_BY_SUFFIX_TXT),data/reference/elgueta2026_vizier/MD5SUMS.txt
C,HIGH,holdings:crires_plus,Registered Solar holding silently dropped (SKIPPED_NO_LOADER_COLUMN),data/results/rya794/vesta_crires_plus_Y_10280_10680_normalized.csv
C,HIGH,holdings:crires_plus,Registered Solar holding silently dropped (SKIPPED_NO_LOADER_COLUMN),data/audit/vesta_crires_plus/vesta_crires_plus_idp_manifest.csv
C,HIGH,holdings:harps,Registered Solar holding silently dropped (SKIPPED_BY_SUFFIX_JSON),data/audit/rya931_molecfit_runtime/intake_manifest.json
C,HIGH,holdings:kpno_solar_atlas,Registered Solar holding silently dropped (SKIPPED_BY_SUFFIX_MD),data/audit/rya940_kp1984_telluric/findings.md
C,HIGH,holdings:crires_plus,Registered Solar holding silently dropped (SKIPPED_NO_LOADER_COLUMN),data/results/rya794/vesta_crires_plus_Y_9800_10796_normalized.csv
C,HIGH,holdings:crires_plus,Registered Solar holding silently dropped (SKIPPED_NO_LOADER_COLUMN),data/results/rya1048/vesta_crires_plus_H_15007_17494_normalized.csv
C,HIGH,alphys_I_13122.3220_0422 (13122.322 A),Census NIR line relabelled OUTSIDE_CURRENT_INSTRUMENT_REACH by a band() gap,"census band=NIR, blind spot=crires_plus, gf_grade=EXCLUDED-SHALLOW, suitability=CANDIDATE_NOT_SELECTED"
C,CRITICAL,alphys_I_13123.4160_0423 (13123.416 A),Census NIR line relabelled OUTSIDE_CURRENT_INSTRUMENT_REACH by a band() gap,"census band=NIR, blind spot=crires_plus, gf_grade=GF-LAB, suitability=ELIGIBLE_WITH_STATED_GF_TIER"
C,HIGH,alphys_I_13130.1740_0424 (13130.174 A),Census NIR line relabelled OUTSIDE_CURRENT_INSTRUMENT_REACH by a band() gap,"census band=NIR, blind spot=crires_plus, gf_grade=EXCLUDED-SHALLOW, suitability=CANDIDATE_NOT_SELECTED"
C,CRITICAL,alphys_I_13150.7530_0425 (13150.753 A),Census NIR line relabelled OUTSIDE_CURRENT_INSTRUMENT_REACH by a band() gap,"census band=NIR, blind spot=crires_plus, gf_grade=GF-LAB, suitability=ELIGIBLE_WITH_STATED_GF_TIER"
C,HIGH,alphys_I_17699.0940_0462 (17699.094 A),Census NIR line relabelled OUTSIDE_CURRENT_INSTRUMENT_REACH by a band() gap,"census band=NIR, blind spot=crires_plus, gf_grade=GRADEABLE, suitability=ELIGIBLE_WITH_STATED_GF_TIER"
C,HIGH,alphys_I_17708.0730_0463 (17708.073 A),Census NIR line relabelled OUTSIDE_CURRENT_INSTRUMENT_REACH by a band() gap,"census band=NIR, blind spot=crires_plus, gf_grade=GRADEABLE, suitability=ELIGIBLE_WITH_STATED_GF_TIER"
C,HIGH,alphys_I_18942.3460_0464 (18942.346 A),Census NIR line relabelled OUTSIDE_CURRENT_INSTRUMENT_REACH by a band() gap,"census band=NIR, blind spot=crires_plus, gf_grade=EXCLUDED-SHALLOW, suitability=CANDIDATE_NOT_SELECTED"
C,HIGH,alphys_I_18956.9260_0465 (18956.926 A),Census NIR line relabelled OUTSIDE_CURRENT_INSTRUMENT_REACH by a band() gap,"census band=NIR, blind spot=crires_plus, gf_grade=EXCLUDED-SHALLOW, suitability=CANDIDATE_NOT_SELECTED"
C,HIGH,alphys_I_19280.1420_0466 (19280.142 A),Census NIR line relabelled OUTSIDE_CURRENT_INSTRUMENT_REACH by a band() gap,"census band=NIR, blind spot=crires_plus, gf_grade=EXCLUDED-SHALLOW, suitability=CANDIDATE_NOT_SELECTED"
C,HIGH,alphys_I_19302.1310_0467 (19302.131 A),Census NIR line relabelled OUTSIDE_CURRENT_INSTRUMENT_REACH by a band() gap,"census band=NIR, blind spot=crires_plus, gf_grade=EXCLUDED-SHALLOW, suitability=CANDIDATE_NOT_SELECTED"
C,HIGH,alphys_I_19482.2860_0468 (19482.286 A),Census NIR line relabelled OUTSIDE_CURRENT_INSTRUMENT_REACH by a band() gap,"census band=NIR, blind spot=crires_plus, gf_grade=EXCLUDED-SHALLOW, suitability=CANDIDATE_NOT_SELECTED"
C,HIGH,alphys_I_19497.7080_0469 (19497.708 A),Census NIR line relabelled OUTSIDE_CURRENT_INSTRUMENT_REACH by a band() gap,"census band=NIR, blind spot=crires_plus, gf_grade=EXCLUDED-SHALLOW, suitability=CANDIDATE_NOT_SELECTED"
C,HIGH,alphys_I_24985.9530_0499 (24985.953 A),Census NIR line relabelled OUTSIDE_CURRENT_INSTRUMENT_REACH by a band() gap,"census band=>24000A (NO DECLARED POLICY), blind spot=nan, gf_grade=EXCLUDED-NO-HOME, suitability=CANDIDATE_NOT_SELECTED"
D2,MEDIUM,vujnovic2002_normalized.csv,"No column records that 4 rows' fine-structure split is theoretical, not measured","`intensity_ratio` is NaN for exactly 13123.41, 13150.76, 21093.04, 21163.75; the paper's prose is the only thing that says why."
D3,CRITICAL,al_line_manifest.csv,No `line_set` column — products measured from this pool cannot key (RYA-1127),"canonical vocabulary: ('-', 'asplund', 'gbs', 'our-graded', 'our-deep-graded', 'our-ungraded', 'our-all')"
D3,CRITICAL,data/audit/rya1132_al_intake/al_line_manifest.csv,"Al frozen through RYA-946's census gate, with no census and no exception",164 rows intake_status=FROZEN; data/reference/ has ['asplund2021_fe']
D4,HIGH,alphys_I_6905.6460_0358 (6905.646 A),"CRITICALLY_EVALUATED row carries no DOI, bibcode or table id","gf_source=NIST-D, gf_grade=D, gf_sigma_dex=0.1760912591"
D4,HIGH,alphys_I_6906.2870_0359 (6906.287 A),"CRITICALLY_EVALUATED row carries no DOI, bibcode or table id","gf_source=NIST-C, gf_grade=C, gf_sigma_dex=0.1091444694"
D4,HIGH,alphys_I_7083.9690_0367 (7083.969 A),"CRITICALLY_EVALUATED row carries no DOI, bibcode or table id","gf_source=NIST-C+, gf_grade=C+, gf_sigma_dex=0.0718820073"
D4,HIGH,alphys_I_7084.6430_0368 (7084.643 A),"CRITICALLY_EVALUATED row carries no DOI, bibcode or table id","gf_source=NIST-C+, gf_grade=C+, gf_sigma_dex=0.0860366315"
D4,HIGH,alphys_I_7327.4700_0376 (7327.470 A),"CRITICALLY_EVALUATED row carries no DOI, bibcode or table id","gf_source=NIST-D, gf_grade=D, gf_sigma_dex=0.1760912591"
D4,HIGH,alphys_I_7335.6480_0377 (7335.648 A),"CRITICALLY_EVALUATED row carries no DOI, bibcode or table id","gf_source=NIST-C, gf_grade=C, gf_sigma_dex=0.096910013"
D4,HIGH,alphys_I_7335.9870_0378 (7335.987 A),"CRITICALLY_EVALUATED row carries no DOI, bibcode or table id","gf_source=NIST-E, gf_grade=E, gf_sigma_dex=0.3010299957"
D4,HIGH,alphys_I_7361.5680_0379 (7361.568 A),"CRITICALLY_EVALUATED row carries no DOI, bibcode or table id","gf_source=NIST-C+, gf_grade=C+, gf_sigma_dex=0.0718820073"
D4,HIGH,alphys_I_7362.2960_0380 (7362.296 A),"CRITICALLY_EVALUATED row carries no DOI, bibcode or table id","gf_source=NIST-C+, gf_grade=C+, gf_sigma_dex=0.0774544267"
D4,HIGH,alphys_I_7606.1600_0383 (7606.160 A),"CRITICALLY_EVALUATED row carries no DOI, bibcode or table id","gf_source=NIST-D, gf_grade=D, gf_sigma_dex=0.1760912591"
D4,HIGH,alphys_I_7614.8200_0384 (7614.820 A),"CRITICALLY_EVALUATED row carries no DOI, bibcode or table id","gf_source=NIST-C, gf_grade=C, gf_sigma_dex=0.096910013"
D4,HIGH,alphys_I_7615.3370_0385 (7615.337 A),"CRITICALLY_EVALUATED row carries no DOI, bibcode or table id","gf_source=NIST-E, gf_grade=E, gf_sigma_dex=0.3010299957"
D4,HIGH,alphys_I_7835.3090_0386 (7835.309 A),"CRITICALLY_EVALUATED row carries no DOI, bibcode or table id","gf_source=NIST-B, gf_grade=B, gf_sigma_dex=0.0413926852"
D4,HIGH,alphys_I_7836.1340_0387 (7836.134 A),"CRITICALLY_EVALUATED row carries no DOI, bibcode or table id","gf_source=NIST-B+, gf_grade=B+, gf_sigma_dex=0.0315087799"
D4,HIGH,alphys_I_8065.9680_0390 (8065.968 A),"CRITICALLY_EVALUATED row carries no DOI, bibcode or table id","gf_source=NIST-C+, gf_grade=C+, gf_sigma_dex=0.0718820073"
D4,HIGH,alphys_I_8075.3530_0391 (8075.353 A),"CRITICALLY_EVALUATED row carries no DOI, bibcode or table id","gf_source=NIST-C+, gf_grade=C+, gf_sigma_dex=0.0718820073"
D4,HIGH,alphys_I_8076.2890_0392 (8076.289 A),"CRITICALLY_EVALUATED row carries no DOI, bibcode or table id","gf_source=NIST-C, gf_grade=C, gf_sigma_dex=0.096910013"
D4,HIGH,alphys_I_8772.8650_0393 (8772.865 A),"CRITICALLY_EVALUATED row carries no DOI, bibcode or table id","gf_source=NIST-B+, gf_grade=B+, gf_sigma_dex=0.0293837777"
D4,HIGH,alphys_I_8773.8961_0394 (8773.896 A),"CRITICALLY_EVALUATED row carries no DOI, bibcode or table id","gf_source=NIST-B+, gf_grade=B+, gf_sigma_dex=0.0314971089"
D4,CRITICAL,alphys_I_6906.2870_0359 (6906.287 A),"Summed feature graded by its best component, not its worst","manifest grade C, worst component grade E, n_components=2, sigma=0.1091 dex"
D4,CRITICAL,alphys_I_7084.6430_0368 (7084.643 A),"Summed feature graded by its best component, not its worst","manifest grade C+, worst component grade E, n_components=2, sigma=0.0860 dex"
D4,CRITICAL,alphys_I_7362.2960_0380 (7362.296 A),"Summed feature graded by its best component, not its worst","manifest grade C+, worst component grade D, n_components=2, sigma=0.0775 dex"
D4,CRITICAL,alphys_I_7836.1340_0387 (7836.134 A),"Summed feature graded by its best component, not its worst","manifest grade B+, worst component grade C+, n_components=2, sigma=0.0315 dex"
D4,CRITICAL,alphys_I_8773.8961_0394 (8773.896 A),"Summed feature graded by its best component, not its worst","manifest grade B+, worst component grade C+, n_components=2, sigma=0.0315 dex"
D4,CRITICAL,scripts/build_al_intake_rya1132.py:source_type,"NIST is tested before THEORY, so Opacity-Project values can never be typed THEORETICAL","if t.startswith(""NIST"") or ""NIST"" in s: return ""CRITICALLY_EVALUATED""  <-- returns first; the ""THEORY""/""P19""/""OP95"" branch below is unreachable for any NIST-sourced row. NIST-before-THEORY confirmed: True"
D4,CRITICAL,al_line_manifest.csv (19 rows),Opacity Project theory typed CRITICALLY_EVALUATED across Al's whole red-optical band,"Kelleher & Podobedova 2008 Table 4: multiplets 16-21, 23-30 all Source 1 = Mendoza et al. (OP); all 19 components Source LS. Confirms RYA-1001's independent finding on 8772/8773."
D5,HIGH,alphys_I_38622.2966_burheim08 (38622.297 A),Labelled OUTSIDE_CURRENT_REACH while catalogued instruments cover it,gf_grade=GF-LAB; covered by crires_plus|ishell|nirspec|phoenix
D5,HIGH,alphys_I_38710.6325_burheim09 (38710.633 A),Labelled OUTSIDE_CURRENT_REACH while catalogued instruments cover it,gf_grade=GF-LAB; covered by crires_plus|ishell|nirspec|phoenix
D5,HIGH,alphys_I_41830.0124_burheim10 (41830.012 A),Labelled OUTSIDE_CURRENT_REACH while catalogued instruments cover it,gf_grade=GF-LAB; covered by crires_plus|ishell|nirspec|phoenix
D5,HIGH,alphys_I_41909.2708_burheim11 (41909.271 A),Labelled OUTSIDE_CURRENT_REACH while catalogued instruments cover it,gf_grade=GF-LAB; covered by crires_plus|ishell|nirspec|phoenix
