instrument,holding,species,wavelength_air_A,ep_eV,published_loggf,source_band,half_width_A,status,ew_mA,observed_core_depth,method,spectrum_source,reason_or_concern
kpno_solar_atlas,solar_kpno_kurucz2005_corrected,Si I,5684.484,4.9538,-1.55,VIS,0.12,served,59.0287,0.437,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat,
crires_plus,solar_crires_plus_y_rya794,Si I,5684.484,4.9538,-1.55,VIS,0.12,unserved,,,,,"LookupError: no crires_plus holding covers 5684.484 +/- 0.360 A (solar_crires_plus_y_rya794 10280.0-10680.0 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement."
crires_plus,solar_crires_plus_y_wide_rya1054,Si I,5684.484,4.9538,-1.55,VIS,0.12,unserved,,,,,"LookupError: no crires_plus holding covers 5684.484 +/- 0.360 A (solar_crires_plus_y_wide_rya1054 9800.0-10796.0 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement."
crires_plus,solar_crires_plus_h_rya1094,Si I,5684.484,4.9538,-1.55,VIS,0.12,unserved,,,,,"LookupError: no crires_plus holding covers 5684.484 +/- 0.360 A (solar_crires_plus_h_rya1094 15007.1-17493.7 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement."
crires_plus,solar_vesta_crires_plus_idp,Si I,5684.484,4.9538,-1.55,VIS,0.12,unserved,,,,,"TelluricNotCorrected: crires_plus covers 5684.484 A but no holding may be measured there. solar_vesta_crires_plus_idp: telluric_applied=not-applied and crires_plus is registered telluric_required=yes (basis 'correction_required'). Route it through the RYA-424 telluric stage (molecfit / cr2res / APERO+Wapiti) BEFORE any IR abundance; before correction the observed flux is not stellar. If you ARE the telluric correction leg and need the uncorrected flux in order to correct it, pass allow_uncorrected=True."
harps,solar_harps,Si I,5690.425,4.9296,-1.77,VIS,0.12,served,48.8427,0.36387,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_harps · solar_normalized.csv,
harps,solar_harps_molecfit_corrected,Si I,5690.425,4.9296,-1.77,VIS,0.12,served,48.8439,0.36387,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_harps_molecfit_corrected · solar_normalized_tellcorr.csv,
iag_fts_solar_atlas,solar_iag,Si I,5690.425,4.9296,-1.77,VIS,0.12,served,49.6408,0.38033,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_iag · iag_telfree_solaratlas.fits,
iag_fts_solar_atlas,solar_iag_reiners2016,Si I,5690.425,4.9296,-1.77,VIS,0.12,unserved,,,,,"LookupError: no iag_fts_solar_atlas holding covers 5690.425 +/- 0.360 A (solar_iag_reiners2016 4047.5-5001.1 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement."
kpno_solar_atlas,solar_kpno_molecfit_corrected,Si I,5690.425,4.9296,-1.77,VIS,0.12,served,51.8618,0.40468,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_kpno_molecfit_corrected · lm0568[uncorrected: no telluric band registered],
kpno_solar_atlas,solar_kpno_kurucz2005_corrected,Si I,5690.425,4.9296,-1.77,VIS,0.12,served,48.1521,0.3713,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat,
crires_plus,solar_crires_plus_y_rya794,Si I,5690.425,4.9296,-1.77,VIS,0.12,unserved,,,,,"LookupError: no crires_plus holding covers 5690.425 +/- 0.360 A (solar_crires_plus_y_rya794 10280.0-10680.0 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement."
crires_plus,solar_crires_plus_y_wide_rya1054,Si I,5690.425,4.9296,-1.77,VIS,0.12,unserved,,,,,"LookupError: no crires_plus holding covers 5690.425 +/- 0.360 A (solar_crires_plus_y_wide_rya1054 9800.0-10796.0 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement."
crires_plus,solar_crires_plus_h_rya1094,Si I,5690.425,4.9296,-1.77,VIS,0.12,unserved,,,,,"LookupError: no crires_plus holding covers 5690.425 +/- 0.360 A (solar_crires_plus_h_rya1094 15007.1-17493.7 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement."
crires_plus,solar_vesta_crires_plus_idp,Si I,5690.425,4.9296,-1.77,VIS,0.12,unserved,,,,,"TelluricNotCorrected: crires_plus covers 5690.425 A but no holding may be measured there. solar_vesta_crires_plus_idp: telluric_applied=not-applied and crires_plus is registered telluric_required=yes (basis 'correction_required'). Route it through the RYA-424 telluric stage (molecfit / cr2res / APERO+Wapiti) BEFORE any IR abundance; before correction the observed flux is not stellar. If you ARE the telluric correction leg and need the uncorrected flux in order to correct it, pass allow_uncorrected=True."
harps,solar_harps,Si I,5701.104,4.9296,-1.95,VIS,0.12,served,36.2366,0.26496,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_harps · solar_normalized.csv,
harps,solar_harps_molecfit_corrected,Si I,5701.104,4.9296,-1.95,VIS,0.12,served,36.2375,0.26496,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_harps_molecfit_corrected · solar_normalized_tellcorr.csv,
iag_fts_solar_atlas,solar_iag,Si I,5701.104,4.9296,-1.95,VIS,0.12,served,40.1557,0.31118,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_iag · iag_telfree_solaratlas.fits,
iag_fts_solar_atlas,solar_iag_reiners2016,Si I,5701.104,4.9296,-1.95,VIS,0.12,unserved,,,,,"LookupError: no iag_fts_solar_atlas holding covers 5701.104 +/- 0.360 A (solar_iag_reiners2016 4047.5-5001.1 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement."
kpno_solar_atlas,solar_kpno_molecfit_corrected,Si I,5701.104,4.9296,-1.95,VIS,0.12,served,40.1355,0.30939,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_kpno_molecfit_corrected · lm0568[uncorrected: no telluric band registered],
kpno_solar_atlas,solar_kpno_kurucz2005_corrected,Si I,5701.104,4.9296,-1.95,VIS,0.12,served,38.2768,0.2973,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat,
crires_plus,solar_crires_plus_y_rya794,Si I,5701.104,4.9296,-1.95,VIS,0.12,unserved,,,,,"LookupError: no crires_plus holding covers 5701.104 +/- 0.360 A (solar_crires_plus_y_rya794 10280.0-10680.0 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement."
crires_plus,solar_crires_plus_y_wide_rya1054,Si I,5701.104,4.9296,-1.95,VIS,0.12,unserved,,,,,"LookupError: no crires_plus holding covers 5701.104 +/- 0.360 A (solar_crires_plus_y_wide_rya1054 9800.0-10796.0 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement."
crires_plus,solar_crires_plus_h_rya1094,Si I,5701.104,4.9296,-1.95,VIS,0.12,unserved,,,,,"LookupError: no crires_plus holding covers 5701.104 +/- 0.360 A (solar_crires_plus_h_rya1094 15007.1-17493.7 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement."
crires_plus,solar_vesta_crires_plus_idp,Si I,5701.104,4.9296,-1.95,VIS,0.12,unserved,,,,,"TelluricNotCorrected: crires_plus covers 5701.104 A but no holding may be measured there. solar_vesta_crires_plus_idp: telluric_applied=not-applied and crires_plus is registered telluric_required=yes (basis 'correction_required'). Route it through the RYA-424 telluric stage (molecfit / cr2res / APERO+Wapiti) BEFORE any IR abundance; before correction the observed flux is not stellar. If you ARE the telluric correction leg and need the uncorrected flux in order to correct it, pass allow_uncorrected=True."
harps,solar_harps,Si I,5772.146,5.0823,-1.65,VIS,0.12,served,51.5284,0.34967,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_harps · solar_normalized.csv,
harps,solar_harps_molecfit_corrected,Si I,5772.146,5.0823,-1.65,VIS,0.12,served,51.5281,0.34967,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_harps_molecfit_corrected · solar_normalized_tellcorr.csv,
iag_fts_solar_atlas,solar_iag,Si I,5772.146,5.0823,-1.65,VIS,0.12,served,53.3153,0.3784,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_iag · iag_telfree_solaratlas.fits,
iag_fts_solar_atlas,solar_iag_reiners2016,Si I,5772.146,5.0823,-1.65,VIS,0.12,unserved,,,,,"LookupError: no iag_fts_solar_atlas holding covers 5772.146 +/- 0.360 A (solar_iag_reiners2016 4047.5-5001.1 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement."
kpno_solar_atlas,solar_kpno_molecfit_corrected,Si I,5772.146,5.0823,-1.65,VIS,0.12,served,54.1484,0.38257,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_kpno_molecfit_corrected · lm0576[uncorrected: no telluric band registered],
kpno_solar_atlas,solar_kpno_kurucz2005_corrected,Si I,5772.146,5.0823,-1.65,VIS,0.12,served,50.9799,0.3707,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat,
crires_plus,solar_crires_plus_y_rya794,Si I,5772.146,5.0823,-1.65,VIS,0.12,unserved,,,,,"LookupError: no crires_plus holding covers 5772.146 +/- 0.360 A (solar_crires_plus_y_rya794 10280.0-10680.0 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement."
crires_plus,solar_crires_plus_y_wide_rya1054,Si I,5772.146,5.0823,-1.65,VIS,0.12,unserved,,,,,"LookupError: no crires_plus holding covers 5772.146 +/- 0.360 A (solar_crires_plus_y_wide_rya1054 9800.0-10796.0 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement."
crires_plus,solar_crires_plus_h_rya1094,Si I,5772.146,5.0823,-1.65,VIS,0.12,unserved,,,,,"LookupError: no crires_plus holding covers 5772.146 +/- 0.360 A (solar_crires_plus_h_rya1094 15007.1-17493.7 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement."
crires_plus,solar_vesta_crires_plus_idp,Si I,5772.146,5.0823,-1.65,VIS,0.12,unserved,,,,,"TelluricNotCorrected: crires_plus covers 5772.146 A but no holding may be measured there. solar_vesta_crires_plus_idp: telluric_applied=not-applied and crires_plus is registered telluric_required=yes (basis 'correction_required'). Route it through the RYA-424 telluric stage (molecfit / cr2res / APERO+Wapiti) BEFORE any IR abundance; before correction the observed flux is not stellar. If you ARE the telluric correction leg and need the uncorrected flux in order to correct it, pass allow_uncorrected=True."
harps,solar_harps,Si I,5793.0727,4.9296,-1.96,VIS,0.12,served,44.0281,0.3043,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_harps · solar_normalized.csv,
harps,solar_harps_molecfit_corrected,Si I,5793.0727,4.9296,-1.96,VIS,0.12,served,44.0278,0.3043,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_harps_molecfit_corrected · solar_normalized_tellcorr.csv,
iag_fts_solar_atlas,solar_iag,Si I,5793.0727,4.9296,-1.96,VIS,0.12,served,45.1488,0.32362,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_iag · iag_telfree_solaratlas.fits,
iag_fts_solar_atlas,solar_iag_reiners2016,Si I,5793.0727,4.9296,-1.96,VIS,0.12,unserved,,,,,"LookupError: no iag_fts_solar_atlas holding covers 5793.073 +/- 0.360 A (solar_iag_reiners2016 4047.5-5001.1 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement."
kpno_solar_atlas,solar_kpno_molecfit_corrected,Si I,5793.0727,4.9296,-1.96,VIS,0.12,served,46.0936,0.33257,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_kpno_molecfit_corrected · lm0576[uncorrected: no telluric band registered],
kpno_solar_atlas,solar_kpno_kurucz2005_corrected,Si I,5793.0727,4.9296,-1.96,VIS,0.12,served,42.7121,0.3183,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat,
crires_plus,solar_crires_plus_y_rya794,Si I,5793.0727,4.9296,-1.96,VIS,0.12,unserved,,,,,"LookupError: no crires_plus holding covers 5793.073 +/- 0.360 A (solar_crires_plus_y_rya794 10280.0-10680.0 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement."
crires_plus,solar_crires_plus_y_wide_rya1054,Si I,5793.0727,4.9296,-1.96,VIS,0.12,unserved,,,,,"LookupError: no crires_plus holding covers 5793.073 +/- 0.360 A (solar_crires_plus_y_wide_rya1054 9800.0-10796.0 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement."
crires_plus,solar_crires_plus_h_rya1094,Si I,5793.0727,4.9296,-1.96,VIS,0.12,unserved,,,,,"LookupError: no crires_plus holding covers 5793.073 +/- 0.360 A (solar_crires_plus_h_rya1094 15007.1-17493.7 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement."
crires_plus,solar_vesta_crires_plus_idp,Si I,5793.0727,4.9296,-1.96,VIS,0.12,unserved,,,,,"TelluricNotCorrected: crires_plus covers 5793.073 A but no holding may be measured there. solar_vesta_crires_plus_idp: telluric_applied=not-applied and crires_plus is registered telluric_required=yes (basis 'correction_required'). Route it through the RYA-424 telluric stage (molecfit / cr2res / APERO+Wapiti) BEFORE any IR abundance; before correction the observed flux is not stellar. If you ARE the telluric correction leg and need the uncorrected flux in order to correct it, pass allow_uncorrected=True."
harps,solar_harps,Si I,6741.628,5.984,-1.65,VIS,0.12,served,20.3091,0.11639,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_harps · solar_normalized.csv,"side-band 95th pct is 0.9670, below 0.97 — the local pseudo-continuum is itself absorbed. The atlas continuum is used, but this window sits in crowded spectrum and the EW may include unresolved neighbours."
harps,solar_harps_molecfit_corrected,Si I,6741.628,5.984,-1.65,VIS,0.12,served,20.2747,0.11625,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_harps_molecfit_corrected · solar_normalized_tellcorr.csv,"side-band 95th pct is 0.9672, below 0.97 — the local pseudo-continuum is itself absorbed. The atlas continuum is used, but this window sits in crowded spectrum and the EW may include unresolved neighbours."
iag_fts_solar_atlas,solar_iag,Si I,6741.628,5.984,-1.65,VIS,0.12,served,16.2816,0.10286,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_iag · iag_telfree_solaratlas.fits,
iag_fts_solar_atlas,solar_iag_reiners2016,Si I,6741.628,5.984,-1.65,VIS,0.12,unserved,,,,,"LookupError: no iag_fts_solar_atlas holding covers 6741.628 +/- 0.360 A (solar_iag_reiners2016 4047.5-5001.1 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement."
kpno_solar_atlas,solar_kpno_molecfit_corrected,Si I,6741.628,5.984,-1.65,VIS,0.12,served,15.0252,0.0985,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_kpno_molecfit_corrected · lm0672[uncorrected: no telluric band registered],
kpno_solar_atlas,solar_kpno_kurucz2005_corrected,Si I,6741.628,5.984,-1.65,VIS,0.12,served,14.6691,0.0959,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat,
crires_plus,solar_crires_plus_y_rya794,Si I,6741.628,5.984,-1.65,VIS,0.12,unserved,,,,,"LookupError: no crires_plus holding covers 6741.628 +/- 0.360 A (solar_crires_plus_y_rya794 10280.0-10680.0 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement."
crires_plus,solar_crires_plus_y_wide_rya1054,Si I,6741.628,5.984,-1.65,VIS,0.12,unserved,,,,,"LookupError: no crires_plus holding covers 6741.628 +/- 0.360 A (solar_crires_plus_y_wide_rya1054 9800.0-10796.0 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement."
crires_plus,solar_crires_plus_h_rya1094,Si I,6741.628,5.984,-1.65,VIS,0.12,unserved,,,,,"LookupError: no crires_plus holding covers 6741.628 +/- 0.360 A (solar_crires_plus_h_rya1094 15007.1-17493.7 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement."
crires_plus,solar_vesta_crires_plus_idp,Si I,6741.628,5.984,-1.65,VIS,0.12,unserved,,,,,"TelluricNotCorrected: crires_plus covers 6741.628 A but no holding may be measured there. solar_vesta_crires_plus_idp: telluric_applied=not-applied and crires_plus is registered telluric_required=yes (basis 'correction_required'). Route it through the RYA-424 telluric stage (molecfit / cr2res / APERO+Wapiti) BEFORE any IR abundance; before correction the observed flux is not stellar. If you ARE the telluric correction leg and need the uncorrected flux in order to correct it, pass allow_uncorrected=True."
harps,solar_harps,Si I,7034.9006,5.8708,-0.78,red-optical,0.12,unserved,,,,,"LookupError: no harps holding covers 7034.901 +/- 0.360 A (solar_harps 3782.6-6910.0 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement."
harps,solar_harps_molecfit_corrected,Si I,7034.9006,5.8708,-0.78,red-optical,0.12,unserved,,,,,"LookupError: no harps holding covers 7034.901 +/- 0.360 A (solar_harps_molecfit_corrected 3782.6-6910.0 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement."
iag_fts_solar_atlas,solar_iag,Si I,7034.9006,5.8708,-0.78,red-optical,0.12,served,57.7628,0.3599,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_iag · iag_telfree_solaratlas.fits,
iag_fts_solar_atlas,solar_iag_reiners2016,Si I,7034.9006,5.8708,-0.78,red-optical,0.12,unserved,,,,,"LookupError: no iag_fts_solar_atlas holding covers 7034.901 +/- 0.360 A (solar_iag_reiners2016 4047.5-5001.1 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement."
kpno_solar_atlas,solar_kpno_molecfit_corrected,Si I,7034.9006,5.8708,-0.78,red-optical,0.12,served,57.8469,0.36052,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_kpno_molecfit_corrected · lm0700[uncorrected: no telluric band registered],
kpno_solar_atlas,solar_kpno_kurucz2005_corrected,Si I,7034.9006,5.8708,-0.78,red-optical,0.12,served,57.1891,0.3554,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat,
crires_plus,solar_crires_plus_y_rya794,Si I,7034.9006,5.8708,-0.78,red-optical,0.12,unserved,,,,,"LookupError: no crires_plus holding covers 7034.901 +/- 0.360 A (solar_crires_plus_y_rya794 10280.0-10680.0 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement."
crires_plus,solar_crires_plus_y_wide_rya1054,Si I,7034.9006,5.8708,-0.78,red-optical,0.12,unserved,,,,,"LookupError: no crires_plus holding covers 7034.901 +/- 0.360 A (solar_crires_plus_y_wide_rya1054 9800.0-10796.0 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement."
crires_plus,solar_crires_plus_h_rya1094,Si I,7034.9006,5.8708,-0.78,red-optical,0.12,unserved,,,,,"LookupError: no crires_plus holding covers 7034.901 +/- 0.360 A (solar_crires_plus_h_rya1094 15007.1-17493.7 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement."
crires_plus,solar_vesta_crires_plus_idp,Si I,7034.9006,5.8708,-0.78,red-optical,0.12,unserved,,,,,"TelluricNotCorrected: crires_plus covers 7034.901 A but no holding may be measured there. solar_vesta_crires_plus_idp: telluric_applied=not-applied and crires_plus is registered telluric_required=yes (basis 'correction_required'). Route it through the RYA-424 telluric stage (molecfit / cr2res / APERO+Wapiti) BEFORE any IR abundance; before correction the observed flux is not stellar. If you ARE the telluric correction leg and need the uncorrected flux in order to correct it, pass allow_uncorrected=True."
harps,solar_harps,Si I,7226.2079,5.6135,-1.41,red-optical,0.12,unserved,,,,,"LookupError: no harps holding covers 7226.208 +/- 0.360 A (solar_harps 3782.6-6910.0 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement."
harps,solar_harps_molecfit_corrected,Si I,7226.2079,5.6135,-1.41,red-optical,0.12,unserved,,,,,"LookupError: no harps holding covers 7226.208 +/- 0.360 A (solar_harps_molecfit_corrected 3782.6-6910.0 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement."
iag_fts_solar_atlas,solar_iag,Si I,7226.2079,5.6135,-1.41,red-optical,0.12,served,35.7529,0.23086,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_iag · iag_telfree_solaratlas.fits,
iag_fts_solar_atlas,solar_iag_reiners2016,Si I,7226.2079,5.6135,-1.41,red-optical,0.12,unserved,,,,,"LookupError: no iag_fts_solar_atlas holding covers 7226.208 +/- 0.360 A (solar_iag_reiners2016 4047.5-5001.1 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement."
kpno_solar_atlas,solar_kpno_molecfit_corrected,Si I,7226.2079,5.6135,-1.41,red-optical,0.12,unserved,,,,,"LookupError: window 7225.85-7226.57 A overlaps REGISTERED telluric band 7160-7340 A (H2O), and RYA-940 produced no admissible correction for it. Refusing to serve uncorrected flux under a corrected holding -- measure it on solar_kpno and label it uncorrected."
kpno_solar_atlas,solar_kpno_kurucz2005_corrected,Si I,7226.2079,5.6135,-1.41,red-optical,0.12,served,35.6544,0.2268,"integrated over +/-0.120 A, atlas continuum trusted (data ship pre-normalised as residual flux)",holding=solar_kpno_kurucz2005_corrected · irradrelwl.dat,
crires_plus,solar_crires_plus_y_rya794,Si I,7226.2079,5.6135,-1.41,red-optical,0.12,unserved,,,,,"LookupError: no crires_plus holding covers 7226.208 +/- 0.360 A (solar_crires_plus_y_rya794 10280.0-10680.0 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement."
crires_plus,solar_crires_plus_y_wide_rya1054,Si I,7226.2079,5.6135,-1.41,red-optical,0.12,unserved,,,,,"LookupError: no crires_plus holding covers 7226.208 +/- 0.360 A (solar_crires_plus_y_wide_rya1054 9800.0-10796.0 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement."
crires_plus,solar_crires_plus_h_rya1094,Si I,7226.2079,5.6135,-1.41,red-optical,0.12,unserved,,,,,"LookupError: no crires_plus holding covers 7226.208 +/- 0.360 A (solar_crires_plus_h_rya1094 15007.1-17493.7 A). Coverage must be TOTAL -- a window half inside a fixed product is a truncated window, not a measurement."
