element,grd,label_staged,ges_lines,ges_hi_A,ges_reaches_ir,extract_hi_A,extract_already_ir,ir_verdict,blocker,extracts
N,nlte_N_scatt_pysme.grd,False,166,9187.9,True,8683.4,True,IR-CAPABLE-BLOCKED-ON-LABEL,"nlte_N_scatt_pysme.grd is staged but label_N.txt is NOT -- level index cannot be resolved, so no line can be located in the grid. This is an extraction from the source tarball, NOT a re-download.",N_Amarsi2020_PySME.csv:7468-8683(29)
Na,nlte_Na_scatt_pysme.grd,False,73,9153.9,True,5688.205,False,IR-CAPABLE-BLOCKED-ON-LABEL,"nlte_Na_scatt_pysme.grd is staged but label_Na.txt is NOT -- level index cannot be resolved, so no line can be located in the grid. This is an extraction from the source tarball, NOT a re-download.",Na_Amarsi2020_PySME.csv:5683-5688(22); Na_Lind2011_INSPECT.csv:5683-5688(144)
Ni,,False,6323,9198.3,True,,False,NO-ENGINE-A,no departure-coefficient .grd staged on Sirius,
O,nlte_O_scatt_pysme.grd,False,136,8446.8,True,,False,IR-CAPABLE-BLOCKED-ON-LABEL,"nlte_O_scatt_pysme.grd is staged but label_O.txt is NOT -- level index cannot be resolved, so no line can be located in the grid. This is an extraction from the source tarball, NOT a re-download.",
P,,False,472,9193.9,True,,False,NO-ENGINE-A,no departure-coefficient .grd staged on Sirius,
S,,False,510,9186.7,True,6757.15,False,NO-ENGINE-A,no departure-coefficient .grd staged on Sirius,S_Amarsi2025_PySME.csv:6749-6757(20)
Sc,,False,1897,9199.4,True,,False,NO-ENGINE-A,no departure-coefficient .grd staged on Sirius,
Si,nlte_Si_scatt_pysme.grd,False,1247,9186.8,True,6253.598,False,IR-CAPABLE-BLOCKED-ON-LABEL,"nlte_Si_scatt_pysme.grd is staged but label_Si.txt is NOT -- level index cannot be resolved, so no line can be located in the grid. This is an extraction from the source tarball, NOT a re-download.",Si_Amarsi2020_PySME.csv:5622-6254(77); Si_Bergemann_MPIA.csv:5622-6068(432)
Sr,,False,102,8719.8,True,4215.519,False,PER-LINE-TABLE-ONLY,"Engine A EXISTS as a per-line table [Sr_Bergemann2012_INSPECT.csv (156 lines, 4078-4216 A)] but no level .grd is staged. This family serves corrections per line from upstream, so reaching a new wavelength is an UPSTREAM QUERY, not local compute. Not 'no Engine A' and not level-extensible either.",Sr_Bergemann2012_INSPECT.csv:4078-4216(156)
Ti,nlte_Ti_pysme.grd,True,7975,9199.7,True,6861.45,False,IR-CAPABLE-NOW,,Ti_Bergemann2011_MPIA.csv:4449-6861(1368); Ti_Mallinson2024_PySME.csv:5649-5689(33)
V,,False,7523,9199.5,True,,False,NO-ENGINE-A,no departure-coefficient .grd staged on Sirius,
Y,,False,1962,9198.3,True,,False,NO-ENGINE-A,no departure-coefficient .grd staged on Sirius,
Zn,,False,24,8579.6,True,,False,NO-ENGINE-A,no departure-coefficient .grd staged on Sirius,
Zr,,False,550,9154.5,True,,False,NO-ENGINE-A,no departure-coefficient .grd staged on Sirius,
