physical_id,line_id,species,wavelength_air_A,excitation_potential_eV,n_components,n_isotopes,isotopes,published_log_gf,correction_term,corrected_log_gf,sibling_gf_linelist_vald,sibling_residual,naive_total,per_isotope_total,per_isotope_spread,loggf_reference,gf_tier,prior_adjudication_status,correction_note,source
pk_b22b29761913,gf_098702,Nd II,4914.3774,0.38,12,7,142;143;144;145;146;148;150,0.1451,-0.845098,-0.7,-0.7,7e-06,0.145105,-0.699993,0.000261,HLSC,OTHER,,"RYA-1075: de-inflated by log10(n_isotopes). The GES v6 source is RYA-684 form (A) (isotope-coded, fraction-free), so each isotope's component set already sums to the full transition gf; the isotope-blind cluster sum that built this row counted it n_isotopes times. Found by RYA-1070's linemake cross-reference.",/Users/ryanschmitt/codex/ispec/input/linelists/transitions/GESv6_atom_hfs_iso.420_920nm/atomic_lines.tsv
pk_d138da083dba,gf_098740,Nd II,5092.7841,0.38,12,7,142;143;144;145;146;148;150,0.2351,-0.845098,-0.61,-0.61,5e-06,0.235103,-0.609995,9e-05,HLSC,OTHER,,"RYA-1075: de-inflated by log10(n_isotopes). The GES v6 source is RYA-684 form (A) (isotope-coded, fraction-free), so each isotope's component set already sums to the full transition gf; the isotope-blind cluster sum that built this row counted it n_isotopes times. Found by RYA-1070's linemake cross-reference.",/Users/ryanschmitt/codex/ispec/input/linelists/transitions/GESv6_atom_hfs_iso.420_920nm/atomic_lines.tsv
pk_630f0ecde641,gf_098692,Nd II,4849.0613,0.471,7,7,142;143;144;145;146;148;150,-0.2449,-0.845098,-1.09,-1.09,0.0,-0.244902,-1.09,0.0,MC,OTHER,,"RYA-1075: de-inflated by log10(n_isotopes). The GES v6 source is RYA-684 form (A) (isotope-coded, fraction-free), so each isotope's component set already sums to the full transition gf; the isotope-blind cluster sum that built this row counted it n_isotopes times. Found by RYA-1070's linemake cross-reference.",/Users/ryanschmitt/codex/ispec/input/linelists/transitions/GESv6_atom_hfs_iso.420_920nm/atomic_lines.tsv
pk_1aedfbdbc40e,gf_098773,Nd II,5234.1957,0.55,10,7,142;143;144;145;146;148;150,0.3351,-0.845098,-0.51,-0.51,-3.9e-05,0.335059,-0.510039,0.000585,HLSC,OTHER,,"RYA-1075: de-inflated by log10(n_isotopes). The GES v6 source is RYA-684 form (A) (isotope-coded, fraction-free), so each isotope's component set already sums to the full transition gf; the isotope-blind cluster sum that built this row counted it n_isotopes times. Found by RYA-1070's linemake cross-reference.",/Users/ryanschmitt/codex/ispec/input/linelists/transitions/GESv6_atom_hfs_iso.420_920nm/atomic_lines.tsv
pk_22e9e57c9a02,gf_098843,Nd II,5548.4327,0.55,10,7,142;143;144;145;146;148;150,-0.4249,-0.845098,-1.27,-1.27,-1.5e-05,-0.424916,-1.270015,0.000382,HLSC,OTHER,,"RYA-1075: de-inflated by log10(n_isotopes). The GES v6 source is RYA-684 form (A) (isotope-coded, fraction-free), so each isotope's component set already sums to the full transition gf; the isotope-blind cluster sum that built this row counted it n_isotopes times. Found by RYA-1070's linemake cross-reference.",/Users/ryanschmitt/codex/ispec/input/linelists/transitions/GESv6_atom_hfs_iso.420_920nm/atomic_lines.tsv
pk_4ed54251cc95,gf_098713,Nd II,4947.017,0.559,15,7,142;143;144;145;146;148;150,-0.2849,-0.845098,-1.13,-1.13,3e-06,-0.284899,-1.129997,0.000118,HLSC,OTHER,,"RYA-1075: de-inflated by log10(n_isotopes). The GES v6 source is RYA-684 form (A) (isotope-coded, fraction-free), so each isotope's component set already sums to the full transition gf; the isotope-blind cluster sum that built this row counted it n_isotopes times. Found by RYA-1070's linemake cross-reference.",/Users/ryanschmitt/codex/ispec/input/linelists/transitions/GESv6_atom_hfs_iso.420_920nm/atomic_lines.tsv
pk_b35909b9d3a6,gf_098750,Nd II,5132.3256,0.559,15,7,142;143;144;145;146;148;150,0.1351,-0.845098,-0.71,-0.71,4e-06,0.135102,-0.709996,0.000124,HLSC,OTHER,,"RYA-1075: de-inflated by log10(n_isotopes). The GES v6 source is RYA-684 form (A) (isotope-coded, fraction-free), so each isotope's component set already sums to the full transition gf; the isotope-blind cluster sum that built this row counted it n_isotopes times. Found by RYA-1070's linemake cross-reference.",/Users/ryanschmitt/codex/ispec/input/linelists/transitions/GESv6_atom_hfs_iso.420_920nm/atomic_lines.tsv
pk_4fa739cd95ef,gf_098766,Nd II,5200.1184,0.559,7,7,142;143;144;145;146;148;150,0.3551,-0.845098,-0.49,-0.49,-0.0,0.355098,-0.49,0.0,MC,OTHER,,"RYA-1075: de-inflated by log10(n_isotopes). The GES v6 source is RYA-684 form (A) (isotope-coded, fraction-free), so each isotope's component set already sums to the full transition gf; the isotope-blind cluster sum that built this row counted it n_isotopes times. Found by RYA-1070's linemake cross-reference.",/Users/ryanschmitt/codex/ispec/input/linelists/transitions/GESv6_atom_hfs_iso.420_920nm/atomic_lines.tsv
pk_a8e41aff8ca9,gf_098802,Nd II,5361.1929,0.559,17,7,142;143;144;145;146;148;150,-0.6349,-0.845098,-1.48,,,-0.634898,-1.479996,0.000103,HLSC,OTHER,,"RYA-1075: de-inflated by log10(n_isotopes). The GES v6 source is RYA-684 form (A) (isotope-coded, fraction-free), so each isotope's component set already sums to the full transition gf; the isotope-blind cluster sum that built this row counted it n_isotopes times. Found by RYA-1070's linemake cross-reference.",/Users/ryanschmitt/codex/ispec/input/linelists/transitions/GESv6_atom_hfs_iso.420_920nm/atomic_lines.tsv
pk_8c54bc9dafcc,gf_098839,Nd II,5533.8167,0.559,7,7,142;143;144;145;146;148;150,-0.3849,-0.845098,-1.23,-1.23,-0.0,-0.384902,-1.23,0.0,HLSC,OTHER,,"RYA-1075: de-inflated by log10(n_isotopes). The GES v6 source is RYA-684 form (A) (isotope-coded, fraction-free), so each isotope's component set already sums to the full transition gf; the isotope-blind cluster sum that built this row counted it n_isotopes times. Found by RYA-1070's linemake cross-reference.",/Users/ryanschmitt/codex/ispec/input/linelists/transitions/GESv6_atom_hfs_iso.420_920nm/atomic_lines.tsv
pk_1a53266dd98b,gf_098909,Nd II,5882.7816,0.559,7,7,142;143;144;145;146;148;150,-0.8449,-0.845098,-1.69,-1.69,0.0,-0.844902,-1.69,0.0,MC,OTHER,,"RYA-1075: de-inflated by log10(n_isotopes). The GES v6 source is RYA-684 form (A) (isotope-coded, fraction-free), so each isotope's component set already sums to the full transition gf; the isotope-blind cluster sum that built this row counted it n_isotopes times. Found by RYA-1070's linemake cross-reference.",/Users/ryanschmitt/codex/ispec/input/linelists/transitions/GESv6_atom_hfs_iso.420_920nm/atomic_lines.tsv
pk_d95a618e8aa6,gf_098717,Nd II,4961.387,0.631,20,7,142;143;144;145;146;148;150,0.1351,-0.845098,-0.71,-0.71,9e-06,0.135107,-0.709991,3.8e-05,MC,OTHER,,"RYA-1075: de-inflated by log10(n_isotopes). The GES v6 source is RYA-684 form (A) (isotope-coded, fraction-free), so each isotope's component set already sums to the full transition gf; the isotope-blind cluster sum that built this row counted it n_isotopes times. Found by RYA-1070's linemake cross-reference.",/Users/ryanschmitt/codex/ispec/input/linelists/transitions/GESv6_atom_hfs_iso.420_920nm/atomic_lines.tsv
pk_9b640ca8bc86,gf_098725,Nd II,4989.9514,0.631,20,7,142;143;144;145;146;148;150,0.3451,-0.845098,-0.5,-0.5,9e-06,0.345107,-0.499991,3.8e-05,MC,OTHER,,"RYA-1075: de-inflated by log10(n_isotopes). The GES v6 source is RYA-684 form (A) (isotope-coded, fraction-free), so each isotope's component set already sums to the full transition gf; the isotope-blind cluster sum that built this row counted it n_isotopes times. Found by RYA-1070's linemake cross-reference.",/Users/ryanschmitt/codex/ispec/input/linelists/transitions/GESv6_atom_hfs_iso.420_920nm/atomic_lines.tsv
pk_825e42faf5e6,gf_098757,Nd II,5165.1386,0.68,7,7,142;143;144;145;146;148;150,0.1051,-0.845098,-0.74,-0.74,-0.0,0.105098,-0.74,0.0,HLSC,OTHER,,"RYA-1075: de-inflated by log10(n_isotopes). The GES v6 source is RYA-684 form (A) (isotope-coded, fraction-free), so each isotope's component set already sums to the full transition gf; the isotope-blind cluster sum that built this row counted it n_isotopes times. Found by RYA-1070's linemake cross-reference.",/Users/ryanschmitt/codex/ispec/input/linelists/transitions/GESv6_atom_hfs_iso.420_920nm/atomic_lines.tsv
pk_ec718307cbd0,gf_098803,Nd II,5361.4726,0.68,14,7,142;143;144;145;146;148;150,0.4751,-0.845098,-0.37,-0.37,-1.4e-05,0.475084,-0.370014,7.2e-05,MC,OTHER,,"RYA-1075: de-inflated by log10(n_isotopes). The GES v6 source is RYA-684 form (A) (isotope-coded, fraction-free), so each isotope's component set already sums to the full transition gf; the isotope-blind cluster sum that built this row counted it n_isotopes times. Found by RYA-1070's linemake cross-reference.",/Users/ryanschmitt/codex/ispec/input/linelists/transitions/GESv6_atom_hfs_iso.420_920nm/atomic_lines.tsv
pk_40cd35b12bde,gf_098818,Nd II,5442.2724,0.68,7,7,142;143;144;145;146;148;150,-0.0649,-0.845098,-0.91,-0.91,0.0,-0.064902,-0.91,0.0,MC,OTHER,,"RYA-1075: de-inflated by log10(n_isotopes). The GES v6 source is RYA-684 form (A) (isotope-coded, fraction-free), so each isotope's component set already sums to the full transition gf; the isotope-blind cluster sum that built this row counted it n_isotopes times. Found by RYA-1070's linemake cross-reference.",/Users/ryanschmitt/codex/ispec/input/linelists/transitions/GESv6_atom_hfs_iso.420_920nm/atomic_lines.tsv
pk_ad9fa3d147ac,gf_098722,Nd II,4987.1578,0.742,16,7,142;143;144;145;146;148;150,0.0551,-0.845098,-0.79,-0.79,-6e-06,0.055092,-0.790006,0.000507,HLSC,OTHER,,"RYA-1075: de-inflated by log10(n_isotopes). The GES v6 source is RYA-684 form (A) (isotope-coded, fraction-free), so each isotope's component set already sums to the full transition gf; the isotope-blind cluster sum that built this row counted it n_isotopes times. Found by RYA-1070's linemake cross-reference.",/Users/ryanschmitt/codex/ispec/input/linelists/transitions/GESv6_atom_hfs_iso.420_920nm/atomic_lines.tsv
pk_014e42a4ad29,gf_098776,Nd II,5250.8117,0.745,10,7,142;143;144;145;146;148;150,0.1251,-0.845098,-0.72,-0.72,-1.2e-05,0.125086,-0.720012,8.5e-05,HLSC,OTHER,,"RYA-1075: de-inflated by log10(n_isotopes). The GES v6 source is RYA-684 form (A) (isotope-coded, fraction-free), so each isotope's component set already sums to the full transition gf; the isotope-blind cluster sum that built this row counted it n_isotopes times. Found by RYA-1070's linemake cross-reference.",/Users/ryanschmitt/codex/ispec/input/linelists/transitions/GESv6_atom_hfs_iso.420_920nm/atomic_lines.tsv
pk_48661bceeb90,gf_098782,Nd II,5276.876,0.859,10,7,142;143;144;145;146;148;150,0.4051,-0.845098,-0.44,-0.44,-1.4e-05,0.405084,-0.440014,0.00038,MC,OTHER,,"RYA-1075: de-inflated by log10(n_isotopes). The GES v6 source is RYA-684 form (A) (isotope-coded, fraction-free), so each isotope's component set already sums to the full transition gf; the isotope-blind cluster sum that built this row counted it n_isotopes times. Found by RYA-1070's linemake cross-reference.",/Users/ryanschmitt/codex/ispec/input/linelists/transitions/GESv6_atom_hfs_iso.420_920nm/atomic_lines.tsv
pk_99dac4329b8e,gf_098787,Nd II,5306.467,0.859,14,7,142;143;144;145;146;148;150,-0.1249,-0.845098,-0.97,-0.97,-9e-06,-0.124911,-0.970009,3.2e-05,HLSC,OTHER,,"RYA-1075: de-inflated by log10(n_isotopes). The GES v6 source is RYA-684 form (A) (isotope-coded, fraction-free), so each isotope's component set already sums to the full transition gf; the isotope-blind cluster sum that built this row counted it n_isotopes times. Found by RYA-1070's linemake cross-reference.",/Users/ryanschmitt/codex/ispec/input/linelists/transitions/GESv6_atom_hfs_iso.420_920nm/atomic_lines.tsv
pk_cc76a9915fc6,gf_098812,Nd II,5416.3835,0.859,10,7,142;143;144;145;146;148;150,-0.0849,-0.845098,-0.93,-0.93,-1.5e-05,-0.084916,-0.930015,0.000382,MC,OTHER,,"RYA-1075: de-inflated by log10(n_isotopes). The GES v6 source is RYA-684 form (A) (isotope-coded, fraction-free), so each isotope's component set already sums to the full transition gf; the isotope-blind cluster sum that built this row counted it n_isotopes times. Found by RYA-1070's linemake cross-reference.",/Users/ryanschmitt/codex/ispec/input/linelists/transitions/GESv6_atom_hfs_iso.420_920nm/atomic_lines.tsv
pk_fcc9ae539cd5,gf_098849,Nd II,5581.6017,0.859,10,7,142;143;144;145;146;148;150,-0.3448,-0.845098,-1.1899,-1.19,5.7e-05,-0.344845,-1.189943,0.000344,HLSC,OTHER,,"RYA-1075: de-inflated by log10(n_isotopes). The GES v6 source is RYA-684 form (A) (isotope-coded, fraction-free), so each isotope's component set already sums to the full transition gf; the isotope-blind cluster sum that built this row counted it n_isotopes times. Found by RYA-1070's linemake cross-reference.",/Users/ryanschmitt/codex/ispec/input/linelists/transitions/GESv6_atom_hfs_iso.420_920nm/atomic_lines.tsv
pk_ac660889d5bc,gf_098895,Nd II,5811.5769,0.859,10,7,142;143;144;145;146;148;150,-0.0148,-0.845098,-0.8599,-0.86,5.3e-05,-0.014849,-0.859947,0.000204,HLSC,OTHER,,"RYA-1075: de-inflated by log10(n_isotopes). The GES v6 source is RYA-684 form (A) (isotope-coded, fraction-free), so each isotope's component set already sums to the full transition gf; the isotope-blind cluster sum that built this row counted it n_isotopes times. Found by RYA-1070's linemake cross-reference.",/Users/ryanschmitt/codex/ispec/input/linelists/transitions/GESv6_atom_hfs_iso.420_920nm/atomic_lines.tsv
pk_147dc02b2d4f,gf_098958,Nd II,6365.509,0.933,7,7,142;143;144;145;146;148;150,-0.3549,-0.845098,-1.2,,,-0.354902,-1.2,0.0,HLSC,OTHER,,"RYA-1075: de-inflated by log10(n_isotopes). The GES v6 source is RYA-684 form (A) (isotope-coded, fraction-free), so each isotope's component set already sums to the full transition gf; the isotope-blind cluster sum that built this row counted it n_isotopes times. Found by RYA-1070's linemake cross-reference.",/Users/ryanschmitt/codex/ispec/input/linelists/transitions/GESv6_atom_hfs_iso.420_920nm/atomic_lines.tsv
pk_819cd58c7e06,gf_098775,Nd II,5249.5784,0.976,7,7,142;143;144;145;146;148;150,1.0451,-0.845098,0.2,0.2,0.0,1.045098,0.2,0.0,HLSC,OTHER,,"RYA-1075: de-inflated by log10(n_isotopes). The GES v6 source is RYA-684 form (A) (isotope-coded, fraction-free), so each isotope's component set already sums to the full transition gf; the isotope-blind cluster sum that built this row counted it n_isotopes times. Found by RYA-1070's linemake cross-reference.",/Users/ryanschmitt/codex/ispec/input/linelists/transitions/GESv6_atom_hfs_iso.420_920nm/atomic_lines.tsv
pk_81f3ff33b7e2,gf_098790,Nd II,5311.4555,0.986,15,7,142;143;144;145;146;148;150,0.4251,-0.845098,-0.42,-0.42,-3e-06,0.425095,-0.420003,3.6e-05,HLSC,OTHER,,"RYA-1075: de-inflated by log10(n_isotopes). The GES v6 source is RYA-684 form (A) (isotope-coded, fraction-free), so each isotope's component set already sums to the full transition gf; the isotope-blind cluster sum that built this row counted it n_isotopes times. Found by RYA-1070's linemake cross-reference.",/Users/ryanschmitt/codex/ispec/input/linelists/transitions/GESv6_atom_hfs_iso.420_920nm/atomic_lines.tsv
pk_6aa15ce0f491,gf_098815,Nd II,5431.5223,1.121,14,7,142;143;144;145;146;148;150,0.3751,-0.845098,-0.47,-0.47,9e-06,0.375107,-0.469991,0.000161,HLSC,OTHER,,"RYA-1075: de-inflated by log10(n_isotopes). The GES v6 source is RYA-684 form (A) (isotope-coded, fraction-free), so each isotope's component set already sums to the full transition gf; the isotope-blind cluster sum that built this row counted it n_isotopes times. Found by RYA-1070's linemake cross-reference.",/Users/ryanschmitt/codex/ispec/input/linelists/transitions/GESv6_atom_hfs_iso.420_920nm/atomic_lines.tsv
pk_a8bd8311200a,gf_098789,Nd II,5310.0457,1.136,7,7,142;143;144;145;146;148;150,-0.1349,-0.845098,-0.98,-0.98,-0.0,-0.134902,-0.98,0.0,HLSC,OTHER,,"RYA-1075: de-inflated by log10(n_isotopes). The GES v6 source is RYA-684 form (A) (isotope-coded, fraction-free), so each isotope's component set already sums to the full transition gf; the isotope-blind cluster sum that built this row counted it n_isotopes times. Found by RYA-1070's linemake cross-reference.",/Users/ryanschmitt/codex/ispec/input/linelists/transitions/GESv6_atom_hfs_iso.420_920nm/atomic_lines.tsv
pk_d478ffd2664c,gf_098876,Nd II,5740.8643,1.16,15,7,142;143;144;145;146;148;150,0.3151,-0.845098,-0.53,-0.53,-3e-06,0.315095,-0.530003,3.6e-05,HLSC,OTHER,,"RYA-1075: de-inflated by log10(n_isotopes). The GES v6 source is RYA-684 form (A) (isotope-coded, fraction-free), so each isotope's component set already sums to the full transition gf; the isotope-blind cluster sum that built this row counted it n_isotopes times. Found by RYA-1070's linemake cross-reference.",/Users/ryanschmitt/codex/ispec/input/linelists/transitions/GESv6_atom_hfs_iso.420_920nm/atomic_lines.tsv
pk_31898be64005,gf_098800,Nd II,5356.995,1.264,7,7,142;143;144;145;146;148;150,0.5651,-0.845098,-0.28,,,0.565098,-0.28,0.0,HLSC,OTHER,,"RYA-1075: de-inflated by log10(n_isotopes). The GES v6 source is RYA-684 form (A) (isotope-coded, fraction-free), so each isotope's component set already sums to the full transition gf; the isotope-blind cluster sum that built this row counted it n_isotopes times. Found by RYA-1070's linemake cross-reference.",/Users/ryanschmitt/codex/ispec/input/linelists/transitions/GESv6_atom_hfs_iso.420_920nm/atomic_lines.tsv
pk_d63d83ca595d,gf_098831,Nd II,5485.6994,1.264,7,7,142;143;144;145;146;148;150,0.7251,-0.845098,-0.12,-0.12,0.0,0.725098,-0.12,0.0,HLSC,OTHER,,"RYA-1075: de-inflated by log10(n_isotopes). The GES v6 source is RYA-684 form (A) (isotope-coded, fraction-free), so each isotope's component set already sums to the full transition gf; the isotope-blind cluster sum that built this row counted it n_isotopes times. Found by RYA-1070's linemake cross-reference.",/Users/ryanschmitt/codex/ispec/input/linelists/transitions/GESv6_atom_hfs_iso.420_920nm/atomic_lines.tsv
pk_c0480ca6aac1,gf_098901,Nd II,5842.3734,1.282,15,7,142;143;144;145;146;148;150,0.2451,-0.845098,-0.6,-0.6,4e-06,0.245102,-0.599996,0.000124,MC,OTHER,,"RYA-1075: de-inflated by log10(n_isotopes). The GES v6 source is RYA-684 form (A) (isotope-coded, fraction-free), so each isotope's component set already sums to the full transition gf; the isotope-blind cluster sum that built this row counted it n_isotopes times. Found by RYA-1070's linemake cross-reference.",/Users/ryanschmitt/codex/ispec/input/linelists/transitions/GESv6_atom_hfs_iso.420_920nm/atomic_lines.tsv
pk_ffa80f9a2805,gf_098994,Nd II,6637.1587,1.452,17,7,142;143;144;145;146;148;150,0.0051,-0.845098,-0.84,,,0.00508,-0.840018,7.2e-05,HLSC,OTHER,,"RYA-1075: de-inflated by log10(n_isotopes). The GES v6 source is RYA-684 form (A) (isotope-coded, fraction-free), so each isotope's component set already sums to the full transition gf; the isotope-blind cluster sum that built this row counted it n_isotopes times. Found by RYA-1070's linemake cross-reference.",/Users/ryanschmitt/codex/ispec/input/linelists/transitions/GESv6_atom_hfs_iso.420_920nm/atomic_lines.tsv
pk_901cddcf9e1f,gf_120199,Sm II,4836.6601,0.104,10,7,144;147;148;149;150;152;154,-1.345,-0.845098,-2.1901,-2.19,-9.4e-05,-1.344996,-2.190094,0.000659,LD-HS,OTHER,,"RYA-1075: de-inflated by log10(n_isotopes). The GES v6 source is RYA-684 form (A) (isotope-coded, fraction-free), so each isotope's component set already sums to the full transition gf; the isotope-blind cluster sum that built this row counted it n_isotopes times. Found by RYA-1070's linemake cross-reference.",/Users/ryanschmitt/codex/ispec/input/linelists/transitions/GESv6_atom_hfs_iso.420_920nm/atomic_lines.tsv
pk_61818d9f0bc9,gf_120192,Sm II,4815.8005,0.185,11,7,144;147;148;149;150;152;154,0.0251,-0.845098,-0.82,-0.82,-3.5e-05,0.025063,-0.820035,0.000235,LD-HS,OTHER,,"RYA-1075: de-inflated by log10(n_isotopes). The GES v6 source is RYA-684 form (A) (isotope-coded, fraction-free), so each isotope's component set already sums to the full transition gf; the isotope-blind cluster sum that built this row counted it n_isotopes times. Found by RYA-1070's linemake cross-reference.",/Users/ryanschmitt/codex/ispec/input/linelists/transitions/GESv6_atom_hfs_iso.420_920nm/atomic_lines.tsv
pk_a548dbf91c20,gf_120204,Sm II,4854.3682,0.378,9,7,144;147;148;149;150;152;154,-0.4049,-0.845098,-1.25,-1.25,-2e-06,-0.404904,-1.250002,1.1e-05,LD-HS,OTHER,,"RYA-1075: de-inflated by log10(n_isotopes). The GES v6 source is RYA-684 form (A) (isotope-coded, fraction-free), so each isotope's component set already sums to the full transition gf; the isotope-blind cluster sum that built this row counted it n_isotopes times. Found by RYA-1070's linemake cross-reference.",/Users/ryanschmitt/codex/ispec/input/linelists/transitions/GESv6_atom_hfs_iso.420_920nm/atomic_lines.tsv
pk_2b2e1ebb63b0,gf_120221,Sm II,4929.5555,0.659,13,7,144;147;148;149;150;152;154,-0.8049,-0.845098,-1.65,-1.65,-1.5e-05,-0.804917,-1.650015,7.5e-05,LD-HS,OTHER,,"RYA-1075: de-inflated by log10(n_isotopes). The GES v6 source is RYA-684 form (A) (isotope-coded, fraction-free), so each isotope's component set already sums to the full transition gf; the isotope-blind cluster sum that built this row counted it n_isotopes times. Found by RYA-1070's linemake cross-reference.",/Users/ryanschmitt/codex/ispec/input/linelists/transitions/GESv6_atom_hfs_iso.420_920nm/atomic_lines.tsv
