bibliography_key,title,doi,url,canonical_record,metadata_basis,local_document_state,local_files,n_copies,adoption_hold,evidence
hase2010,The ACE-FTS atlas of the infrared solar spectrum,10.1016/j.jqsrt.2009.10.020,https://doi.org/10.1016/j.jqsrt.2009.10.020,RESOLVED,extracted,PRESENT,solar-spec.pdf,1,,
heiter2021,Atomic data for the Gaia-ESO Survey,10.1051/0004-6361/201936291,https://doi.org/10.1051/0004-6361/201936291,RESOLVED,crossref,PRESENT,ReadMeGaia-ESO.txt;aa36291-19.pdf;ges_refs.bib,3,,"On-disk PDF verified from page 1: A&A 645, A106 (2021), DOI 10.1051/0004-6361/201936291 — the A&A manuscript number aa36291-19 matches the DOI suffix. Companions in the same library folder: 'ReadMeGaia-ESO.txt' (the VizieR J/A+A/645/A106 byte-by-byte ReadMe) and 'ges_refs.bib' (Heiter+2021's BibTeX companion, 4224 lines). The VizieR data themselves are staged at data/reference/heiter2021_ges/ (RYA-1110), md5-pinned to the FITS renderings in SOURCES.json."
johnson_smith_parkinson1986,Transition probability of the Al II 2669 intersystem line,10.1086/164569,https://doi.org/10.1086/164569,RESOLVED,extracted,PRESENT,1986ApJ...308.1013J,1,,"Metadata and result read from the held ADS scan. Five article pages, 553165 bytes, sha256 8ac85c59ee76e21765459e5211847de5149afe12f49606eed393969f8681b927."
kelleher2008_al,Atomic Transition Probabilities of Aluminum. A Critical Compilation,10.1063/1.2734564,https://doi.org/10.1063/1.2734564,RESOLVED,extracted,PRESENT,jpcrd372008911p.pdf,1,,"Local published PDF inspected: title/authors and J. Phys. Chem. Ref. Data 37, 709 (2008) match the row; 203 pages, 919028 bytes, sha256 7b04a7b68269e3a229ea2f7e1d8aa878fc0d3ab1ea9adc56cb65ce8c8bb0a49b."
koutsouridou2025,Large databases of metal-poor stars corrected for three-dimensional and/or non-local thermodynamic equilibrium effects,10.1051/0004-6361/202554228,https://doi.org/10.1051/0004-6361/202554228,RESOLVED,extracted,PRESENT,2505.13607v1.pdf,1,,On-disk copy is the arXiv v1 preprint (arXiv:2505.13607).
kurucz2014_atlas,Model Atmosphere Codes: ATLAS12 and ATLAS9,10.1007/978-3-319-06956-2_4,https://doi.org/10.1007/978-3-319-06956-2_4,RESOLVED,extracted,PRESENT,atlas9atlas12.pdf,1,,
kurucz_online,Robert L. Kurucz on-line database of observed and predicted atomic transitions,,http://kurucz.harvard.edu/,RESOLVED,publisher,NO_REFERENCE_FOLDER_COPY,,0,,"Living online database, no DOI. URL confirmed HTTP 200 on 2026-08-17."
kurucz_peytremann1975,A Table of Semiempirical gf Values,,https://articles.adsabs.harvard.edu/pdf/1975SAOSR.362.....K,RESOLVED,publisher,NO_REFERENCE_FOLDER_COPY,,0,,"No DOI exists for this SAO Special Report; the link is the ADS scanned report. Bibcode 1975SAOSR.362.....K confirmed by SIMBAD (exact title and authors) and by CDS VizieR catalogue VI/10, the machine-readable table derived from it (https://cdsarc.cds.unistra.fr/viz-bin/cat/VI/10). CAVEAT, stated because it is a real gap: unlike the four A&A scans this 64 MB PDF was NOT downloaded in full — the gateway resolves HTTP 200 but the transfer timed out, so the file itself is unread and the identification rests on SIMBAD and VizieR."
lim2026,Chemical signatures of planetary systems in their host stars: Near-infrared spectroscopy of four planet-hosting wide binaries,10.48550/arXiv.2605.11095,https://arxiv.org/abs/2605.11095,RESOLVED,extracted,PRESENT,2605.11095v1.pdf,1,,arXiv DOI — the A&A version had no DOI at the time of writing. arXiv abs page confirmed HTTP 200 on 2026-08-17.
lodders2025,Solar System Elemental Abundances from the Solar Photosphere and CI-Chondrites,10.1007/s11214-025-01146-w,https://doi.org/10.1007/s11214-025-01146-w,RESOLVED,extracted,PRESENT,AbundancesLodders.pdf,1,,On-disk copy is the accepted manuscript (accepted 2025-02-07); the DOI resolves to the published Space Sci. Rev. article.
magic2013,The Stagger-grid: A grid of 3D stellar atmosphere models. II. Horizontal and temporal averaging and spectral line formation,10.1051/0004-6361/201322252,https://doi.org/10.1051/0004-6361/201322252,RESOLVED,extracted,PRESENT,3D Hydrodynamical Model Atmospheres (Magic et al. 2013).pdf,1,,"docs/references.md cites 'A&A 557, A26' for Magic 2013; the file on disk is paper II, A&A 560, A8. Both papers exist — the one the Codex uses is A560/A8."
mendoza1995_al,Atomic data for opacity calculations. XXIII. The aluminium isoelectronic sequence,10.1088/0953-4075/28/16/006,https://doi.org/10.1088/0953-4075/28/16/006,RESOLVED,crossref,NO_REFERENCE_FOLDER_COPY,,0,,"THEORY, NOT A LAB MEASUREMENT. Prior audits read the truncated bibcode as '1995 J.Phys.B (lab)' and built an experimental-vs-semi-empirical split on it (RYA-716 comment section 4). Refuted by RYA-1001."
nandakumar2024,Composition of Giants 1 Degree North of the Galactic Center: Detailed Abundance Trends for 21 Elements Observed with IGRINS,10.3847/1538-4357/ad4451,https://doi.org/10.3847/1538-4357/ad4451,RESOLVED,extracted,PRESENT,Nandakumar_2024_ApJ_964_96.pdf,1,,"Metadata read from the held published PDF; 14 pages, 1446660 bytes, sha256 5bf4deb280245cd31a4b0a5b1a28a17249c302f6f98aa6c8a8964707fb73c2af. Machine-readable line material used by the pipeline is separately preserved under data/literature/igrins_nandakumar_2024/."
nordlander_lind2017,Non-LTE aluminium abundances in late-type stars,10.1051/0004-6361/201730427,https://doi.org/10.1051/0004-6361/201730427,RESOLVED,extracted,PRESENT,1708.01949v1.pdf;aa30427-17.pdf,2,,"NOT an independent gf source: its Al uncertainties trace to NIST / Kelleher & Podobedova 2008, so counting it as a second source double-counts the NIST rung. Deliberately absent from the RYA-1001 gf ladder. Published local PDF aa30427-17.pdf and alternate arXiv 1708.01949v1.pdf checked on 2026-09-13; one canonical record. Source uncertainties are inherited, not independent measurements."
omara2003,Broadening of Spectral Lines by Collisions with H-atoms,,https://cs12.colorado.edu/proceedings/poster/omaraxx.pdf,RESOLVED,extracted,PRESENT,omaraxx.pdf,1,,"Workshop proceedings; no DOI. The link is the proceedings host at the University of Colorado, and it is the DEFINITIVE identification: the served file is BYTE-IDENTICAL to the local copy (cmp, 96,017 bytes), so the on-disk PDF demonstrably came from there. ADS bibcode 2003csss...12.1097O."
papoulia2019,Extended transition rates and lifetimes in Al I and Al II from systematic multiconfiguration calculations,10.1051/0004-6361/201833764,https://doi.org/10.1051/0004-6361/201833764,RESOLVED,extracted,PRESENT,1808.09478v1 (1).pdf;1808.09478v1.pdf,2,,"Local arXiv v1 PDF inspected: title/authors match; 27 pages, 326159 bytes, sha256 a9f293cd6da156b796861dfbf189fb3e08a7d78ac5a8b1cd88d5cddd87014e6f."
reiners2016,The IAG solar flux atlas: Accurate wavelengths and absolute convective blueshift in standard solar spectra,10.1051/0004-6361/201527530,https://doi.org/10.1051/0004-6361/201527530,RESOLVED,extracted,PRESENT,aa27530-15.pdf,1,,
roederer_lawler2021,Detection of Al II in the Ultraviolet Spectra of Metal-Poor Stars: An Empirical LTE Test of NLTE Aluminum Abundance Calculations,10.3847/1538-4357/abf142,https://doi.org/10.3847/1538-4357/abf142,RESOLVED,extracted,PRESENT,2103.12764v1.pdf,1,,"Local arXiv v1 PDF inspected: title/authors match; 13 pages, 980577 bytes, sha256 b99e0b23d2305e11d91110d7cde8010109434c708c2d781ce03b18b50411adc7."
ryabchikova2015,A major upgrade of the VALD database,10.1088/0031-8949/90/5/054005,https://doi.org/10.1088/0031-8949/90/5/054005,RESOLVED,crossref,NO_REFERENCE_FOLDER_COPY,,0,,
scott2015_light,The elemental composition of the Sun. I. The intermediate mass elements Na to Ca,10.1051/0004-6361/201424109,https://doi.org/10.1051/0004-6361/201424109,RESOLVED,source_table_verified,PRESENT,1405.0279v2.pdf;aa24109-14.pdf,2,,Published local PDF aa24109-14.pdf and alternate arXiv 1405.0279v2.pdf identified from their first pages; one canonical record. DOI/title/authors/journal checked against the published PDF on 2026-09-13.
sneden1973,The nitrogen abundance of the very metal-poor star HD 122563,10.1086/152374,https://doi.org/10.1086/152374,RESOLVED,crossref,NO_REFERENCE_FOLDER_COPY,,0,,
sneden_moog_manual,"MOOG: An LTE Stellar Line Analysis Program (manual, November 2019)",,https://www.as.utexas.edu/~chris/moog.html,RESOLVED,extracted,PRESENT,WRITEnov2019.pdf,1,,Software manual; no DOI. Link is Sneden's MOOG distribution page (content confirmed). Cite sneden1973 for the code itself.
trabert1999_al,Measurement of the B+ and Al+ intercombination and Sc12+ forbidden transition rates at a heavy-ion storage ring,10.1088/0953-4075/32/2/031,https://doi.org/10.1088/0953-4075/32/2/031,RESOLVED,crossref,NO_REFERENCE_FOLDER_COPY,,0,PRIMARY_UNCERTAINTY_REVIEW_REQUIRED,Publisher-deposited Crossref DOI metadata retrieved 2026-09-13. No local full-text copy found; requested from Ryan. The source-hierarchy adoption remains HOLD.
vald3_tool,VALD3 extract-stellar / extract-element interface,,http://vald.astro.uu.se/,RESOLVED,publisher,NO_REFERENCE_FOLDER_COPY,,0,,"Database interface, not a publication — no DOI exists."
vujnovic2002,Absolute transition probabilities of Al I and Al II spectral lines and intensity ratios within multiplets,10.1051/0004-6361:20020560,https://doi.org/10.1051/0004-6361:20020560,RESOLVED,extracted,PRESENT,aa7151.pdf;dataTable6.dat,2,,"Metadata read from page 1 of the held published PDF. This inspection corrected an earlier web-inferred DOI ending 20020554: the paper itself prints 10.1051/0004-6361:20020560. Eight pages, 130287 bytes, sha256 75067f34827525e4f8f4af59d4fe3e95e7e0830b40cdc51dfabdee1e0fb61b4a."
wehrhahn2023_pysme,PySME - Spectroscopy Made Easier,10.1051/0004-6361/202244482,https://arxiv.org/abs/2210.04755,RESOLVED,publisher,NO_REFERENCE_FOLDER_COPY,,0,,Author-deposited arXiv record 2210.04755v2 verified title/authors/published journal and DOI on 2026-09-13. No local Reference Documents PDF.
zhao2023,"The Extreme Stellar-signals Project. III. Combining Solar Data from HARPS, HARPS-N, EXPRES, and NEID",10.3847/1538-3881/acf83e,https://doi.org/10.3847/1538-3881/acf83e,RESOLVED,extracted,PRESENT,Zhao_2023_AJ_166_173.pdf,1,,
