wavelength_air_A,elo_eV,eup_eV,loggf_asplund,rew_agss21,ew_mA_agss21,a_1dlte,a_published_3dnlte_agss21,status,reason,red_chi2,obs_source,fit_seconds,network,domain_reason,aberr,a_3dnlte,in_domain
7008.0,4.1777,5.9464,-1.77,-5.375772,29.5,7.406,7.435,ok,,74.484,holding=solar_kpno_molecfit_corrected · lm0700[uncorrected: no telluric band registered],51.4,gt02,"transition energy Eup-Elo 1.7687 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",,,False
7219.7,4.07581,5.79265,-1.43,-5.168323,49.0,,7.399,no_atlas,"window 7218.68-7220.72 A overlaps REGISTERED telluric band 7160-7340 A (H2O), and RYA-940 produced no admissible correction for it. Refusing to serve uncorrected flux under a corrected holding -- measure it on solar_kpno and label it uncorrected.",,kitt peak atlas segments (default reader),0.01,,no 1D-LTE abundance (no_atlas),,,False
7401.7,4.18636,5.86098,-1.5,-5.250238,41.6,7.302,7.423,ok,,87.749,"holding=solar_kpno_molecfit_corrected · lm0736,lm0740[uncorrected: no telluric band registered]",45.89,gt02,"transition energy Eup-Elo 1.6746 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",,,False
7443.0,4.18636,5.85168,-1.64,-5.316654,35.9,7.469,7.45,ok,,82.0,holding=solar_kpno_molecfit_corrected · lm0744[uncorrected: no telluric band registered],51.93,gt02,"transition energy Eup-Elo 1.6653 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",,,False
7912.9,0.859,2.42543,-4.848,-5.238419,45.7,7.568,7.48,ok,,65.429,holding=solar_kpno_molecfit_corrected · lm0788[uncorrected: no telluric band registered],48.35,lt02,"Eup 2.4254 eV outside training [2.4483, 3.9848] (lt02, n=17); transition energy Eup-Elo 1.5664 eV outside training [1.8382, 2.4829] (lt02, n=17);   -> that is a WAVELENGTH statement: the network saw 4994.1-6739.5 A only, and Eup-Elo is hc/lambda_vac by construction",,,False
8293.5,3.30092,4.79547,-2.203,-5.151582,58.5,7.509,7.486,ok,,48.951,holding=solar_kpno_molecfit_corrected · kp1984_corrected_8100_8400.txt,41.96,gt02,"transition energy Eup-Elo 1.4945 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",,,False
8571.8,5.00952,6.45554,-1.11,-5.432013,31.7,7.527,7.499,ok,,104.885,holding=solar_kpno_molecfit_corrected · lm0856[uncorrected: no telluric band registered],48.93,gt02,"transition energy Eup-Elo 1.4460 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",,,False
8598.8,4.38646,5.82794,-1.2,-5.180855,56.7,7.483,7.419,ok,,84.626,holding=solar_kpno_molecfit_corrected · lm0856[uncorrected: no telluric band registered],59.7,gt02,"transition energy Eup-Elo 1.4415 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",,,False
8876.0,5.02028,6.41674,-1.05,-5.397989,35.5,7.535,7.502,ok,,90.705,holding=solar_kpno_molecfit_corrected · lm0884[uncorrected: no telluric band registered],53.22,gt02,"transition energy Eup-Elo 1.3965 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction; lower level 5.0203 eV is not within 0.02 eV of any level in the training set",,,False
8906.0,5.06378,6.45554,-1.22,-5.556986,24.7,7.457,7.492,ok,,74.637,holding=solar_kpno_molecfit_corrected · lm0888[uncorrected: no telluric band registered],56.07,gt02,"transition energy Eup-Elo 1.3918 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",,,False
9103.6,4.1777,5.53924,-2.19,-5.675912,19.2,7.626,7.481,ok,,160.261,holding=solar_kpno_molecfit_corrected · lm0908[uncorrected: no telluric band registered],56.66,gt02,"transition energy Eup-Elo 1.3615 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",,,False
9786.6,4.60759,5.87412,-1.84,-5.73056,18.2,7.552,7.466,ok,,503.187,holding=solar_kpno_molecfit_corrected · lm0976[uncorrected: no telluric band registered],42.17,gt02,"transition energy Eup-Elo 1.2665 eV outside training [1.8190, 2.5898] (gt02, n=154);   -> that is a WAVELENGTH statement: the network saw 4787.8-6810.3 A only, and Eup-Elo is hc/lambda_vac by construction",,,False
